symbol,description,exchange,listedMarket,securityType
L.BIUS,-1X BIDU,LSE,LSE,EQUITY
L.SBIE,-1X BIDU,LSE,LSE,EQUITY
L.SBIU,-1X BIDU,LSE,LSE,EQUITY
L.DISS,-1X DIS,LSE,LSE,EQUITY
L.SDIE,-1X DIS,LSE,LSE,EQUITY
L.SDIS,-1X DIS,LSE,LSE,EQUITY
L.JD1S,-1X JD,LSE,LSE,EQUITY
L.SJD,-1X JD,LSE,LSE,EQUITY
L.PLTS,-1X PLTR,LSE,LSE,EQUITY
L.SPLR,-1X PLTR,LSE,LSE,EQUITY
L.SPRE,-1X PLTR,LSE,LSE,EQUITY
L.AIS3,-3X SHORT ARTIFICIAL INTELLIGENCE ETP,LSE,LSE,EQUITY
L.GPTS,-3X SHORT ARTIFICIAL INTELLIGENCE ETP,LSE,LSE,EQUITY
L.MAGS,-3X SHORT MAGNIFICENT 7 ETP,LSE,LSE,EQUITY
L.SMAG,-3X SHORT MAGNIFICENT 7 ETP,LSE,LSE,EQUITY
L.3SUS,-3X SHORT UBS ETP,LSE,LSE,EQUITY
L.UB3S,-3X SHORT UBS ETP,LSE,LSE,EQUITY
L.3STL,-3X TSLA,LSE,LSE,EQUITY
L.TS3S,-3X TSLA,LSE,LSE,EQUITY
L.TSLQ,-3X TSLA,LSE,LSE,EQUITY
L.SOXS,-4X SHORT SEMICONDUCTORS ETP,LSE,LSE,EQUITY
L.SX4S,-4X SHORT SEMICONDUCTORS ETP,LSE,LSE,EQUITY
L.0OOQ,1 GARANTOVANA AS,LSE,LSE,EQUITY
L.0OOR,1 GARANTOVANA AS,LSE,LSE,EQUITY
L.0Q7M,1 GARANTOVANA AS,LSE,LSE,EQUITY
L.0A88,10X GENOMICS INC,LSE,LSE,EQUITY
L.0NXT,11 88 0 SOLUTIONS AG,LSE,LSE,EQUITY
L.0RE0,11 BIT STUDIOS SA,LSE,LSE,EQUITY
L.SPA,1SPATIAL PLC,LSE,LSE,EQUITY
L.1VET,1VALOUR ETHEREUM PHYSICAL STAKING,LSE,LSE,EQUITY
L.1AMZ,1X AMZN,LSE,LSE,EQUITY
L.AMZ1,1X AMZN,LSE,LSE,EQUITY
L.AMZN,1X AMZN,LSE,LSE,EQUITY
L.1COI,1X COIN,LSE,LSE,EQUITY
L.COI1,1X COIN,LSE,LSE,EQUITY
L.COIB,1X COIN,LSE,LSE,EQUITY
L.1GOO,1X GOOG,LSE,LSE,EQUITY
L.GOO1,1X GOOG,LSE,LSE,EQUITY
L.GOOG,1X GOOG,LSE,LSE,EQUITY
L.1MSF,1X MSFT,LSE,LSE,EQUITY
L.MSF1,1X MSFT,LSE,LSE,EQUITY
L.MSFT,1X MSFT,LSE,LSE,EQUITY
L.1TSL,1X TSLA,LSE,LSE,EQUITY
L.TSL1,1X TSLA,LSE,LSE,EQUITY
L.TSLA,1X TSLA,LSE,LSE,EQUITY
L.CBTC,21SHARES BITCOIN CORE ETP,LSE,LSE,EQUITY
L.CBTU,21SHARES BITCOIN CORE ETP,LSE,LSE,EQUITY
L.ABTC,21SHARES BITCOIN ETP,LSE,LSE,EQUITY
L.BTCU,21SHARES BITCOIN ETP,LSE,LSE,EQUITY
L.CETU,21SHARES ETHEREUM CORE STAKING ETP,LSE,LSE,EQUITY
L.ETHC,21SHARES ETHEREUM CORE STAKING ETP,LSE,LSE,EQUITY
L.AETH,21SHARES ETHEREUM STAKING ETP,LSE,LSE,EQUITY
L.ETHU,21SHARES ETHEREUM STAKING ETP,LSE,LSE,EQUITY
L.SMC2,2X LONG SUPER MICRO COMPUTER (SMCI) ETP,LSE,LSE,EQUITY
L.SMCI,2X LONG SUPER MICRO COMPUTER (SMCI) ETP,LSE,LSE,EQUITY
L.0QYH,3D SYSTEMS CORP,LSE,LSE,EQUITY
L.III,3I GROUP PLC,LSE,LSE,EQUITY
L.3IN,3I INFRASTRUCTURE PLC,LSE,LSE,EQUITY
L.0QNY,3M CO,LSE,LSEI,EQUITY
L.0HCC,3U HOLDING AG,LSE,LSE,EQUITY
L.3ABE,3X ABNB,LSE,LSE,EQUITY
L.3ABN,3X ABNB,LSE,LSE,EQUITY
L.ABN3,3X ABNB,LSE,LSE,EQUITY
L.3ADE,3X AMD,LSE,LSE,EQUITY
L.3AMD,3X AMD,LSE,LSE,EQUITY
L.AMD3,3X AMD,LSE,LSE,EQUITY
L.3BAB,3X BABA,LSE,LSE,EQUITY
L.3BBE,3X BABA,LSE,LSE,EQUITY
L.BAB3,3X BABA,LSE,LSE,EQUITY
L.3BID,3X BIDU,LSE,LSE,EQUITY
L.BID3,3X BIDU,LSE,LSE,EQUITY
L.3DIE,3X DIS,LSE,LSE,EQUITY
L.3DIS,3X DIS,LSE,LSE,EQUITY
L.DIS3,3X DIS,LSE,LSE,EQUITY
L.3JD,3X JD,LSE,LSE,EQUITY
L.3JDE,3X JD,LSE,LSE,EQUITY
L.JD3,3X JD,LSE,LSE,EQUITY
L.3ARM,3X LONG ARM ETP,LSE,LSE,EQUITY
L.ARM3,3X LONG ARM ETP,LSE,LSE,EQUITY
L.AI3,3X LONG ARTIFICIAL INTELLIGENCE ETP,LSE,LSE,EQUITY
L.GPT3,3X LONG ARTIFICIAL INTELLIGENCE ETP,LSE,LSE,EQUITY
L.3UB,3X LONG UBS ETP,LSE,LSE,EQUITY
L.UBS3,3X LONG UBS ETP,LSE,LSE,EQUITY
L.3PLT,3X PLTR,LSE,LSE,EQUITY
L.3PRE,3X PLTR,LSE,LSE,EQUITY
L.PLT3,3X PLTR,LSE,LSE,EQUITY
L.3UBE,3X UBER,LSE,LSE,EQUITY
L.3UBR,3X UBER,LSE,LSE,EQUITY
L.UBR3,3X UBER,LSE,LSE,EQUITY
L.450,450 PLC,LSE,LSE,EQUITY
L.4BB,4BASEBIO PLC,LSE,LSE,EQUITY
L.0Q42,4FUN MEDIA SA,LSE,LSE,EQUITY
L.FOUR,4IMPRINT GROUP PLC,LSE,LSE,EQUITY
L.0R6U,4SC AG,LSE,LSE,EQUITY
L.SOX4,4X LONG SEMICONDUCTORS ETP,LSE,LSE,EQUITY
L.SOXL,4X LONG SEMICONDUCTORS ETP,LSE,LSE,EQUITY
L.MAG5,5X LONG MAGNIFICENT 7 ETP,LSE,LSE,EQUITY
L.MAG7,5X LONG MAGNIFICENT 7 ETP,LSE,LSE,EQUITY
L.0P5L,74SOFTWARE SA,LSE,LSE,EQUITY
L.0QV6,7C SOLARPARKEN AG,LSE,LSE,EQUITY
L.80M,80 MILE PLC,LSE,LSE,EQUITY
L.88E,88 ENERGY LIMITED,LSE,LSE,EQUITY
L.0IFS,8X8 INC,LSE,LSE,EQUITY
L.0OET,A TSOKKOS HOTELS PUBLIC LTD,LSE,LSE,EQUITY
L.0L7A,A. O. SMITH CORP,LSE,LSE,EQUITY
L.0N54,A2A SPA,LSE,LSEI,EQUITY
L.0GFN,AAC CLYDE SPACE AB,LSE,LSE,EQUITY
L.0RQW,AAGES SA,LSE,LSE,EQUITY
L.0A0J,AAK AB (PUBL),LSE,LSEI,EQUITY
L.0NX1,AALBERTS INDUSTRIES NV,LSE,LSEI,EQUITY
L.0RTV,AALBORG BOLDSPILKLUB A/S,LSE,LSE,EQUITY
L.0N5A,AAP IMPLANTATE AG,LSE,LSE,EQUITY
L.0HF1,AARHUS ELITE A/S,LSE,LSE,EQUITY
L.ABDP,AB DYNAMICS PLC,LSE,LSE,EQUITY
L.0LQS,AB SA,LSE,LSE,EQUITY
L.0Q77,AB SCIENCE SA,LSE,LSE,EQUITY
L.0NWW,AB SKF,LSE,LSE,EQUITY
L.0NWX,AB SKF,LSE,LSEI,EQUITY
L.0UFP,ABACUS MINING AND EXPLORATION CORP,LSE,LSE,EQUITY
L.0A6W,ABB LTD,LSE,LSE,EQUITY
L.0NX2,ABB LTD,LSE,LSEI,EQUITY
L.0Q15,ABBOTT LABORATORIES,LSE,LSE,EQUITY
L.0QCV,ABBVIE INC,LSE,LSEI,EQUITY
L.0OPJ,ABC ARBITRAGE SA,LSE,LSE,EQUITY
L.0RJY,ABEO SAS,LSE,LSE,EQUITY
L.0H7R,ABEONA THERAPEUTICS INC,LSE,LSE,EQUITY
L.0R32,ABERCROMBIE & FITCH CO,LSE,LSE,EQUITY
L.AAIF,ABERDEEN ASIAN INCOME FUND LIMITED,LSE,LSE,EQUITY
L.AEI,ABERDEEN EQUITY INCOME TRUST PLC,LSE,LSE,EQUITY
L.ABDN,ABERDEEN GROUP PLC,LSE,LSE,EQUITY
L.0IEE,ABERDEEN STANDARD PHYSICAL SWISS GOLD SHARES ETF,LSE,LSE,EQUITY
L.AGVI,ABERFORTH GEARED VALUE & INCOME TRUST PLC,LSE,LSE,EQUITY
L.AGZI,ABERFORTH GEARED VALUE & INCOME TRUST PLC,LSE,LSE,EQUITY
L.ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,LSE,LSE,EQUITY
L.0IZM,ABG SUNDAL COLLIER HOLDING ASA,LSE,LSE,EQUITY
L.ABDX,ABINGDON HEALTH PLC,LSE,LSE,EQUITY
L.0RAG,ABIONYX PHARMA SA,LSE,LSE,EQUITY
L.0RA9,ABIVAX SA,LSE,LSE,EQUITY
L.0RDM,ABN AMRO GROUP NV,LSE,LSEI,EQUITY
L.0QXA,ABO GROUP ENVIRONMENT SA,LSE,LSE,EQUITY
L.0A9O,ABOUT YOU HOLDING AG,LSE,LSE,EQUITY
L.ARAW,ABRDN ARAW UCITS ETF - GBX,LSE,LSE,EQUITY
L.ASCH,ABRDN ASCH UCITS ETF - GBX,LSE,LSE,EQUITY
L.AAS,ABRDN ASIA FOCUS PLC,LSE,LSE,EQUITY
L.ADIG,ABRDN DIVERSIFIED INCOME AND GROWTH PLC,LSE,LSE,EQUITY
L.ASLI,ABRDN EUROPEAN LOGISTICS INCOME PLC,LSE,LSE,EQUITY
L.AREG,ABRDN FUTURE REAL ESTATE UCITS ETF (GBX),LSE,LSE,EQUITY
L.ANII,ABRDN NEW INDIA INVESTMENT TRUST PLC,LSE,LSE,EQUITY
L.API,ABRDN PROPERTY INCOME TRUST LIMITED,LSE,LSE,EQUITY
L.AUSC,ABRDN UK SMALLER COMPANIES GROWTH TRUST PLC,LSE,LSE,EQUITY
L.0Q3E,AC SA,LSE,LSE,EQUITY
L.0RHN,ACADEMEDIA AB,LSE,LSEI,EQUITY
L.0A4W,ACADIA PHARMACEUTICALS INC,LSE,LSE,EQUITY
L.0DYL,ACANTHE DEVELOPPEMENT SE,LSE,LSE,EQUITY
L.0A9Z,ACAST AB (PUBL),LSE,LSE,EQUITY
L.AC8,ACCELER8 VENTURES PLC,LSE,LSE,EQUITY
L.0H8E,ACCELERATE DIAGNOSTICS INC,LSE,LSE,EQUITY
L.0ACC,ACCELLERON INDUSTRIES AG,LSE,LSEI,EQUITY
L.0NV3,ACCENTIS NV,LSE,LSE,EQUITY
L.0E80,ACCENTRO REAL ESTATE AG,LSE,LSE,EQUITY
L.0Y0Y,ACCENTURE PLC,LSE,LSE,EQUITY
L.ACSO,ACCESSO TECHNOLOGY GROUP PLC,LSE,LSE,EQUITY
L.0RSJ,"ACCION EUROSTOXX 50 ETF, FI COTIZAD",LSE,LSE,EQUITY
L.0RSK,"ACCION IBEX 35 ETF, FI COTIZADO ARM",LSE,LSEI,EQUITY
L.0H4K,ACCIONA SA,LSE,LSEI,EQUITY
L.0H59,ACCOR SA,LSE,LSEI,EQUITY
L.AXS,ACCSYS TECHNOLOGIES PLC,LSE,LSE,EQUITY
L.0H8I,ACCURAY INC,LSE,LSE,EQUITY
L.0MHD,ACEA SPA,LSE,LSEI,EQUITY
L.0OIQ,ACERINOX SA,LSE,LSEI,EQUITY
L.ACG,ACG METALS LIMITED,LSE,LSE,EQUITY
L.ACGW,ACG METALS LIMITED,LSE,LSE,EQUITY
L.AIC,ACHILLES INVESTMENT COMPANY LIMITED,LSE,LSE,EQUITY
L.0O2I,ACINQUE SPA,LSE,LSE,EQUITY
L.0GYM,ACKERMANS & VAN HAAREN NV,LSE,LSEI,EQUITY
L.0H8T,ACLARIS THERAPEUTICS INC,LSE,LSE,EQUITY
L.0DGD,ACOTEL GROUP SPA,LSE,LSE,EQUITY
L.0HAC,ACS ACTIVIDADES DE CONSTRUCCION Y S,LSE,LSEI,EQUITY
L.0O69,ACTEOS SA,LSE,LSE,EQUITY
L.0OJJ,ACTIA GROUP SA,LSE,LSE,EQUITY
L.0OBH,ACTIBOND GROWTH FUND PCL,LSE,LSE,EQUITY
L.0ROI,ACTIC GROUP AB,LSE,LSE,EQUITY
L.0LQX,ACTION SA,LSE,LSE,EQUITY
L.GSLC,ACTIVBETA US LG CAP ETF USD ACC,LSE,LSE,EQUITY
L.0GQU,ACTIVE BIOTECH AB,LSE,LSE,EQUITY
L.AEG,ACTIVE ENERGY GROUP PLC,LSE,LSE,EQUITY
L.AOM,ACTIVEOPS PLC,LSE,LSE,EQUITY
L.0H90,ACUITY BRANDS INC,LSE,LSE,EQUITY
L.ACRM,ACUITY RM GROUP PLC,LSE,LSE,EQUITY
L.0OOS,AD PEPPER MEDIA INTERNATIONAL NV,LSE,LSE,EQUITY
L.ZAIM,ADALAN VENTURES PLC,LSE,LSE,EQUITY
L.0A4X,ADAMIS PHARMACEUTICALS CORP,LSE,LSE,EQUITY
L.0QNV,ADDEX THERAPEUTICS LTD,LSE,LSE,EQUITY
L.0REZ,ADDLIFE AB,LSE,LSE,EQUITY
L.0GMG,ADDNODE GROUP AB (PUBL),LSE,LSE,EQUITY
L.0QI7,ADDTECH AB,LSE,LSEI,EQUITY
L.0QNM,ADECCO GROUP AG,LSE,LSE,EQUITY
L.0DWL,ADECOAGRO SA,LSE,LSE,EQUITY
L.0M2A,ADEIA INC,LSE,LSE,EQUITY
L.0N5I,ADESSO AG,LSE,LSE,EQUITY
L.0OLD,ADIDAS AG,LSE,LSEI,EQUITY
L.0RKN,ADIUVO INVESTMENTS SA,LSE,LSE,EQUITY
L.0N5X,ADL PARTNER SA,LSE,LSE,EQUITY
L.0RA1,ADLER GROUP S.A.,LSE,LSEI,EQUITY
L.ADME,ADM ENERGY PLC,LSE,LSE,EQUITY
L.ADM,ADMIRAL GROUP PLC,LSE,LSE,EQUITY
