symbol,description,exchange,listedMarket,securityType
CTN.OI.Z,COTTON (NEW) Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
CTN.VOL.Z,COTTON (NEW) Future Total Volume,MCX,MCX,COMBINED_FUTURE
IAL.OI.Z,ALUMINUM Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IAL.VOL.Z,ALUMINUM Future Total Volume,MCX,MCX,COMBINED_FUTURE
IALM.OI.Z,ALUMINUM MINI Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IALM.VOL.Z,ALUMINUM MINI Future Total Volume,MCX,MCX,COMBINED_FUTURE
ICL.OI.Z,CRUDE OIL Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
ICL.VOL.Z,CRUDE OIL Future Total Volume,MCX,MCX,COMBINED_FUTURE
ICLM.OI.Z,CRUDE OIL MINI Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
ICLM.VOL.Z,CRUDE OIL MINI Future Total Volume,MCX,MCX,COMBINED_FUTURE
IGC.OI.Z,GOLD Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IGC.VOL.Z,GOLD Future Total Volume,MCX,MCX,COMBINED_FUTURE
IGCG.OI.Z,GOLD GUINEA Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IGCG.VOL.Z,GOLD GUINEA Future Total Volume,MCX,MCX,COMBINED_FUTURE
IGCM.OI.Z,GOLD MINI Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IGCM.VOL.Z,GOLD MINI Future Total Volume,MCX,MCX,COMBINED_FUTURE
IGCP.OI.Z,GOLD PETAL Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IGCP.VOL.Z,GOLD PETAL Future Total Volume,MCX,MCX,COMBINED_FUTURE
IHG.OI.Z,COPPER Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IHG.VOL.Z,COPPER Future Total Volume,MCX,MCX,COMBINED_FUTURE
IKAP.OI.Z,KAPAS Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IKAP.VOL.Z,KAPAS Future Total Volume,MCX,MCX,COMBINED_FUTURE
IMEN.OI.Z,MENTHAOIL Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IMEN.VOL.Z,MENTHAOIL Future Total Volume,MCX,MCX,COMBINED_FUTURE
ING.OI.Z,NATURAL GAS Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
ING.VOL.Z,NATURAL GAS Future Total Volume,MCX,MCX,COMBINED_FUTURE
INI.OI.Z,NICKEL Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
INI.VOL.Z,NICKEL Future Total Volume,MCX,MCX,COMBINED_FUTURE
IPB5.OI.Z,LEAD Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IPB5.VOL.Z,LEAD Future Total Volume,MCX,MCX,COMBINED_FUTURE
IPBM.OI.Z,LEAD MINI Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IPBM.VOL.Z,LEAD MINI Future Total Volume,MCX,MCX,COMBINED_FUTURE
ISI.OI.Z,SILVER Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
ISI.VOL.Z,SILVER Future Total Volume,MCX,MCX,COMBINED_FUTURE
ISIM.OI.Z,SILVER MINI Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
ISIM.VOL.Z,SILVER MINI Future Total Volume,MCX,MCX,COMBINED_FUTURE
ISMC.OI.Z,SILVER MICRO Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
ISMC.VOL.Z,SILVER MICRO Future Total Volume,MCX,MCX,COMBINED_FUTURE
IZI.OI.Z,ZINC Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IZI.VOL.Z,ZINC Future Total Volume,MCX,MCX,COMBINED_FUTURE
IZIM.OI.Z,ZINC MINI Future Total Open Interest,MCX,MCX,COMBINED_FUTURE
IZIM.VOL.Z,ZINC MINI Future Total Volume,MCX,MCX,COMBINED_FUTURE
