symbol,description,exchange,listedMarket,securityType
KLIN25C.OI.Z,KUALA LUMPUR STOCK EXCH COMP Jul 2025 Future Option Call Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
KLIN25C.VOL.Z,KUALA LUMPUR STOCK EXCH COMP Jul 2025 Future Option Call Total Volume,MDEX,MDEX,COMBINED_FOPTION
KLIN25P.OI.Z,KUALA LUMPUR STOCK EXCH COMP Jul 2025 Future Option Put Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
KLIN25P.VOL.Z,KUALA LUMPUR STOCK EXCH COMP Jul 2025 Future Option Put Total Volume,MDEX,MDEX,COMBINED_FOPTION
KLIQ25C.OI.Z,KUALA LUMPUR STOCK EXCH COMP Aug 2025 Future Option Call Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
KLIQ25C.VOL.Z,KUALA LUMPUR STOCK EXCH COMP Aug 2025 Future Option Call Total Volume,MDEX,MDEX,COMBINED_FOPTION
KLIQ25P.OI.Z,KUALA LUMPUR STOCK EXCH COMP Aug 2025 Future Option Put Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
KLIQ25P.VOL.Z,KUALA LUMPUR STOCK EXCH COMP Aug 2025 Future Option Put Total Volume,MDEX,MDEX,COMBINED_FOPTION
KLIU25C.OI.Z,KUALA LUMPUR STOCK EXCH COMP Sep 2025 Future Option Call Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
KLIU25C.VOL.Z,KUALA LUMPUR STOCK EXCH COMP Sep 2025 Future Option Call Total Volume,MDEX,MDEX,COMBINED_FOPTION
KLIU25P.OI.Z,KUALA LUMPUR STOCK EXCH COMP Sep 2025 Future Option Put Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
KLIU25P.VOL.Z,KUALA LUMPUR STOCK EXCH COMP Sep 2025 Future Option Put Total Volume,MDEX,MDEX,COMBINED_FOPTION
KLIZ25C.OI.Z,KUALA LUMPUR STOCK EXCH COMP Dec 2025 Future Option Call Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
KLIZ25C.VOL.Z,KUALA LUMPUR STOCK EXCH COMP Dec 2025 Future Option Call Total Volume,MDEX,MDEX,COMBINED_FOPTION
KLIZ25P.OI.Z,KUALA LUMPUR STOCK EXCH COMP Dec 2025 Future Option Put Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
KLIZ25P.VOL.Z,KUALA LUMPUR STOCK EXCH COMP Dec 2025 Future Option Put Total Volume,MDEX,MDEX,COMBINED_FOPTION
KPOV25C.OI.Z,CRUDE PALM OIL Oct 2025 Future Option Call Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
KPOV25C.VOL.Z,CRUDE PALM OIL Oct 2025 Future Option Call Total Volume,MDEX,MDEX,COMBINED_FOPTION
KPOV25P.OI.Z,CRUDE PALM OIL Oct 2025 Future Option Put Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
KPOV25P.VOL.Z,CRUDE PALM OIL Oct 2025 Future Option Put Total Volume,MDEX,MDEX,COMBINED_FOPTION
KPOX25C.OI.Z,CRUDE PALM OIL Nov 2025 Future Option Call Total Open Interest,MDEX,MDEX,COMBINED_FOPTION
