symbol,description,exchange,listedMarket,securityType
EPO.OI.Z,EAST MALAYSIAN CRUDE PALM OIL Future Total Open Interest,MDEX,MDEX,COMBINED_FUTURE
EPO.VOL.Z,EAST MALAYSIAN CRUDE PALM OIL Future Total Volume,MDEX,MDEX,COMBINED_FUTURE
FSO.OI.Z,DCE SOYBEAN OIL Future Total Open Interest,MDEX,MDEX,COMBINED_FUTURE
FSO.VOL.Z,DCE SOYBEAN OIL Future Total Volume,MDEX,MDEX,COMBINED_FUTURE
GLD.OI.Z,GOLD Future Total Open Interest,MDEX,MDEX,COMBINED_FUTURE
GLD.VOL.Z,GOLD Future Total Volume,MDEX,MDEX,COMBINED_FUTURE
KLI.OI.Z,KUALA LUMPUR STOCK EXCH COMP Future Total Open Interest,MDEX,MDEX,COMBINED_FUTURE
KLI.VOL.Z,KUALA LUMPUR STOCK EXCH COMP Future Total Volume,MDEX,MDEX,COMBINED_FUTURE
KPK.OI.Z,CRUDE PALM KERNEL OIL Future Total Open Interest,MDEX,MDEX,COMBINED_FUTURE
KPK.VOL.Z,CRUDE PALM KERNEL OIL Future Total Volume,MDEX,MDEX,COMBINED_FUTURE
KPO.OI.Z,CRUDE PALM OIL Future Total Open Interest,MDEX,MDEX,COMBINED_FUTURE
KPO.VOL.Z,CRUDE PALM OIL Future Total Volume,MDEX,MDEX,COMBINED_FUTURE
M70.OI.Z,MINI FTSE BURSA MALAYSIA MID 70 INDEX Future Total Open Interest,MDEX,MDEX,COMBINED_FUTURE
M70.VOL.Z,MINI FTSE BURSA MALAYSIA MID 70 INDEX Future Total Volume,MDEX,MDEX,COMBINED_FUTURE
POL.OI.Z,USD RBD PALM OLEIN Future Total Open Interest,MDEX,MDEX,COMBINED_FUTURE
POL.VOL.Z,USD RBD PALM OLEIN Future Total Volume,MDEX,MDEX,COMBINED_FUTURE
TIN.OI.Z,TIN Future Total Open Interest,MDEX,MDEX,COMBINED_FUTURE
TIN.VOL.Z,TIN Future Total Volume,MDEX,MDEX,COMBINED_FUTURE
UPO.OI.Z,CRUDE PALM OIL (USD) Future Total Open Interest,MDEX,MDEX,COMBINED_FUTURE
UPO.VOL.Z,CRUDE PALM OIL (USD) Future Total Volume,MDEX,MDEX,COMBINED_FUTURE
