symbol,description,exchange,listedMarket,securityType
EPO#C,EAST MALAYSIAN CRUDE PALM OIL Continuous Backadjusted,MDEX,MDEX,FUTURE
EPO#,EAST MALAYSIAN CRUDE PALM OIL Continuous,MDEX,MDEX,FUTURE
EPOQ25,EAST MALAYSIAN CRUDE PALM OIL August 2025,MDEX,MDEX,FUTURE
EPOU25,EAST MALAYSIAN CRUDE PALM OIL September 2025,MDEX,MDEX,FUTURE
EPOV25,EAST MALAYSIAN CRUDE PALM OIL October 2025,MDEX,MDEX,FUTURE
EPOX25,EAST MALAYSIAN CRUDE PALM OIL November 2025,MDEX,MDEX,FUTURE
EPOZ25,EAST MALAYSIAN CRUDE PALM OIL December 2025,MDEX,MDEX,FUTURE
EPOF26,EAST MALAYSIAN CRUDE PALM OIL January 2026,MDEX,MDEX,FUTURE
EPOG26,EAST MALAYSIAN CRUDE PALM OIL February 2026,MDEX,MDEX,FUTURE
EPOH26,EAST MALAYSIAN CRUDE PALM OIL March 2026,MDEX,MDEX,FUTURE
EPOJ26,EAST MALAYSIAN CRUDE PALM OIL April 2026,MDEX,MDEX,FUTURE
EPOK26,EAST MALAYSIAN CRUDE PALM OIL May 2026,MDEX,MDEX,FUTURE
EPOM26,EAST MALAYSIAN CRUDE PALM OIL June 2026,MDEX,MDEX,FUTURE
EPON26,EAST MALAYSIAN CRUDE PALM OIL July 2026,MDEX,MDEX,FUTURE
EPOU26,EAST MALAYSIAN CRUDE PALM OIL September 2026,MDEX,MDEX,FUTURE
EPOX26,EAST MALAYSIAN CRUDE PALM OIL November 2026,MDEX,MDEX,FUTURE
EPOF27,EAST MALAYSIAN CRUDE PALM OIL January 2027,MDEX,MDEX,FUTURE
EPOH27,EAST MALAYSIAN CRUDE PALM OIL March 2027,MDEX,MDEX,FUTURE
EPOK27,EAST MALAYSIAN CRUDE PALM OIL May 2027,MDEX,MDEX,FUTURE
EPON27,EAST MALAYSIAN CRUDE PALM OIL July 2027,MDEX,MDEX,FUTURE
