symbol,description,exchange,listedMarket,securityType
EPOQ25-EPOU25,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Sep 25,MDEX,MDEX,SPREAD
EPOQ25-EPOV25,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Oct 25,MDEX,MDEX,SPREAD
EPOQ25-EPOX25,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Nov 25,MDEX,MDEX,SPREAD
EPOQ25-EPOZ25,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Dec 25,MDEX,MDEX,SPREAD
EPOQ25-EPOF26,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Jan 26,MDEX,MDEX,SPREAD
EPOQ25-EPOG26,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Feb 26,MDEX,MDEX,SPREAD
EPOQ25-EPOH26,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Mar 26,MDEX,MDEX,SPREAD
EPOQ25-EPOJ26,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Apr 26,MDEX,MDEX,SPREAD
EPOQ25-EPOK26,EAST MALAYSIAN CRUDE PALM OIL Aug 25/May 26,MDEX,MDEX,SPREAD
EPOQ25-EPOM26,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Jun 26,MDEX,MDEX,SPREAD
EPOQ25-EPON26,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Jul 26,MDEX,MDEX,SPREAD
EPOQ25-EPOU26,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Sep 26,MDEX,MDEX,SPREAD
EPOQ25-EPOX26,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Nov 26,MDEX,MDEX,SPREAD
EPOQ25-EPOF27,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Jan 27,MDEX,MDEX,SPREAD
EPOQ25-EPOH27,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Mar 27,MDEX,MDEX,SPREAD
EPOQ25-EPOK27,EAST MALAYSIAN CRUDE PALM OIL Aug 25/May 27,MDEX,MDEX,SPREAD
EPOQ25-EPON27,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Jul 27,MDEX,MDEX,SPREAD
EPOQ25-EPOU27,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Sep 27,MDEX,MDEX,SPREAD
EPOQ25-EPOX27,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Nov 27,MDEX,MDEX,SPREAD
EPOQ25-EPOF28,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Jan 28,MDEX,MDEX,SPREAD
EPOQ25-EPOH28,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Mar 28,MDEX,MDEX,SPREAD
EPOQ25-EPOK28,EAST MALAYSIAN CRUDE PALM OIL Aug 25/May 28,MDEX,MDEX,SPREAD
EPOQ25-EPON28,EAST MALAYSIAN CRUDE PALM OIL Aug 25/Jul 28,MDEX,MDEX,SPREAD
EPOU25-EPOV25,EAST MALAYSIAN CRUDE PALM OIL Sep 25/Oct 25,MDEX,MDEX,SPREAD
EPOU25-EPOX25,EAST MALAYSIAN CRUDE PALM OIL Sep 25/Nov 25,MDEX,MDEX,SPREAD
EPOU25-EPOZ25,EAST MALAYSIAN CRUDE PALM OIL Sep 25/Dec 25,MDEX,MDEX,SPREAD
EPOU25-EPOF26,EAST MALAYSIAN CRUDE PALM OIL Sep 25/Jan 26,MDEX,MDEX,SPREAD
EPOU25-EPOG26,EAST MALAYSIAN CRUDE PALM OIL Sep 25/Feb 26,MDEX,MDEX,SPREAD
EPOU25-EPOH26,EAST MALAYSIAN CRUDE PALM OIL Sep 25/Mar 26,MDEX,MDEX,SPREAD
