symbol,description,exchange,listedMarket,securityType
KPOBFQ25U25V25,CRUDE PALM OIL Aug/2025 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFQ25U25X25,CRUDE PALM OIL Aug/2025 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFU25V25X25,CRUDE PALM OIL Sep/2025 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFU25X25F26,CRUDE PALM OIL Sep/2025 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFV25X25Z25,CRUDE PALM OIL Oct/2025 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFV25X25F26,CRUDE PALM OIL Oct/2025 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFX25Z25F26,CRUDE PALM OIL Nov/2025 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFX25F26H26,CRUDE PALM OIL Nov/2025 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFZ25F26G26,CRUDE PALM OIL Dec/2025 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFZ25F26H26,CRUDE PALM OIL Dec/2025 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFF26G26H26,CRUDE PALM OIL Jan/2026 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFF26H26K26,CRUDE PALM OIL Jan/2026 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFG26H26J26,CRUDE PALM OIL Feb/2026 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFG26H26K26,CRUDE PALM OIL Feb/2026 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFH26J26K26,CRUDE PALM OIL Mar/2026 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
KPOBFH26K26N26,CRUDE PALM OIL Mar/2026 BUTTERFLY SPREAD,MDEX,MDEX,STRATSPREAD
