symbol,description,exchange,listedMarket,securityType
@MW#C,HARD RED SPRING WHEAT-MGE Continuous Backadjusted,MGE,MGE_GBX,FUTURE
@MW#,HARD RED SPRING WHEAT-MGE Continuous,MGE,MGE_GBX,FUTURE
@MWU25,HARD RED SPRING WHEAT-MGE September 2025,MGE,MGE_GBX,FUTURE
@MWZ25,HARD RED SPRING WHEAT-MGE December 2025,MGE,MGE_GBX,FUTURE
@MWH26,HARD RED SPRING WHEAT-MGE March 2026,MGE,MGE_GBX,FUTURE
@MWK26,HARD RED SPRING WHEAT-MGE May 2026,MGE,MGE_GBX,FUTURE
@MWN26,HARD RED SPRING WHEAT-MGE July 2026,MGE,MGE_GBX,FUTURE
@MWU26,HARD RED SPRING WHEAT-MGE September 2026,MGE,MGE_GBX,FUTURE
@MWZ26,HARD RED SPRING WHEAT-MGE December 2026,MGE,MGE_GBX,FUTURE
@MWH27,HARD RED SPRING WHEAT-MGE March 2027,MGE,MGE_GBX,FUTURE
@MWK27,HARD RED SPRING WHEAT-MGE May 2027,MGE,MGE_GBX,FUTURE
@MWN27,HARD RED SPRING WHEAT-MGE July 2027,MGE,MGE_GBX,FUTURE
@MWU27,HARD RED SPRING WHEAT-MGE September 2027,MGE,MGE_GBX,FUTURE
@MWZ27,HARD RED SPRING WHEAT-MGE December 2027,MGE,MGE_GBX,FUTURE
@MWH28,HARD RED SPRING WHEAT-MGE March 2028,MGE,MGE_GBX,FUTURE
@MWK28,HARD RED SPRING WHEAT-MGE May 2028,MGE,MGE_GBX,FUTURE
@MWN28,HARD RED SPRING WHEAT-MGE July 2028,MGE,MGE_GBX,FUTURE
