symbol,description,exchange,listedMarket,securityType
@MWU25-@MWZ25,HARD RED SPRING WHEAT-MGE Sep 25/Dec 25,MGE,MGE_GBX,SPREAD
@MWU25-@MWH26,HARD RED SPRING WHEAT-MGE Sep 25/Mar 26,MGE,MGE_GBX,SPREAD
@MWU25-@MWK26,HARD RED SPRING WHEAT-MGE Sep 25/May 26,MGE,MGE_GBX,SPREAD
@MWU25-@MWN26,HARD RED SPRING WHEAT-MGE Sep 25/Jul 26,MGE,MGE_GBX,SPREAD
@MWU25-@MWU26,HARD RED SPRING WHEAT-MGE Sep 25/Sep 26,MGE,MGE_GBX,SPREAD
@MWU25-@MWZ26,HARD RED SPRING WHEAT-MGE Sep 25/Dec 26,MGE,MGE_GBX,SPREAD
@MWZ25-@MWH26,HARD RED SPRING WHEAT-MGE Dec 25/Mar 26,MGE,MGE_GBX,SPREAD
@MWZ25-@MWK26,HARD RED SPRING WHEAT-MGE Dec 25/May 26,MGE,MGE_GBX,SPREAD
@MWZ25-@MWN26,HARD RED SPRING WHEAT-MGE Dec 25/Jul 26,MGE,MGE_GBX,SPREAD
@MWZ25-@MWU26,HARD RED SPRING WHEAT-MGE Dec 25/Sep 26,MGE,MGE_GBX,SPREAD
@MWZ25-@MWZ26,HARD RED SPRING WHEAT-MGE Dec 25/Dec 26,MGE,MGE_GBX,SPREAD
@MWH26-@MWK26,HARD RED SPRING WHEAT-MGE Mar 26/May 26,MGE,MGE_GBX,SPREAD
@MWH26-@MWN26,HARD RED SPRING WHEAT-MGE Mar 26/Jul 26,MGE,MGE_GBX,SPREAD
@MWH26-@MWU26,HARD RED SPRING WHEAT-MGE Mar 26/Sep 26,MGE,MGE_GBX,SPREAD
@MWH26-@MWZ26,HARD RED SPRING WHEAT-MGE Mar 26/Dec 26,MGE,MGE_GBX,SPREAD
@MWK26-@MWN26,HARD RED SPRING WHEAT-MGE May 26/Jul 26,MGE,MGE_GBX,SPREAD
@MWK26-@MWU26,HARD RED SPRING WHEAT-MGE May 26/Sep 26,MGE,MGE_GBX,SPREAD
@MWK26-@MWZ26,HARD RED SPRING WHEAT-MGE May 26/Dec 26,MGE,MGE_GBX,SPREAD
@MWN26-@MWU26,HARD RED SPRING WHEAT-MGE Jul 26/Sep 26,MGE,MGE_GBX,SPREAD
@MWN26-@MWZ26,HARD RED SPRING WHEAT-MGE Jul 26/Dec 26,MGE,MGE_GBX,SPREAD
@MWU26-@MWZ26,HARD RED SPRING WHEAT-MGE Sep 26/Dec 26,MGE,MGE_GBX,SPREAD
@MWU26-@MWH27,HARD RED SPRING WHEAT-MGE Sep 26/Mar 27,MGE,MGE_GBX,SPREAD
@MWZ26-@MWH27,HARD RED SPRING WHEAT-MGE Dec 26/Mar 27,MGE,MGE_GBX,SPREAD
@MWZ26-@MWK27,HARD RED SPRING WHEAT-MGE Dec 26/May 27,MGE,MGE_GBX,SPREAD
@MWH27-@MWK27,HARD RED SPRING WHEAT-MGE Mar 27/May 27,MGE,MGE_GBX,SPREAD
@MWH27-@MWN27,HARD RED SPRING WHEAT-MGE Mar 27/Jul 27,MGE,MGE_GBX,SPREAD
@MWK27-@MWN27,HARD RED SPRING WHEAT-MGE May 27/Jul 27,MGE,MGE_GBX,SPREAD
@MWK27-@MWU27,HARD RED SPRING WHEAT-MGE May 27/Sep 27,MGE,MGE_GBX,SPREAD
@MWN27-@MWU27,HARD RED SPRING WHEAT-MGE Jul 27/Sep 27,MGE,MGE_GBX,SPREAD
@MWN27-@MWZ27,HARD RED SPRING WHEAT-MGE Jul 27/Dec 27,MGE,MGE_GBX,SPREAD
@MWU27-@MWZ27,HARD RED SPRING WHEAT-MGE Sep 27/Dec 27,MGE,MGE_GBX,SPREAD
@MWU27-@MWH28,HARD RED SPRING WHEAT-MGE Sep 27/Mar 28,MGE,MGE_GBX,SPREAD
@MWZ27-@MWH28,HARD RED SPRING WHEAT-MGE Dec 27/Mar 28,MGE,MGE_GBX,SPREAD
@MWZ27-@MWK28,HARD RED SPRING WHEAT-MGE Dec 27/May 28,MGE,MGE_GBX,SPREAD
@MWH28-@MWK28,HARD RED SPRING WHEAT-MGE Mar 28/May 28,MGE,MGE_GBX,SPREAD
@MWH28-@MWN28,HARD RED SPRING WHEAT-MGE Mar 28/Jul 28,MGE,MGE_GBX,SPREAD
@MWK28-@MWN28,HARD RED SPRING WHEAT-MGE May 28/Jul 28,MGE,MGE_GBX,SPREAD
