symbol,description,exchange,listedMarket,securityType
ITRKF,[INTRACOM S A HLDGS,NASDAQ,OTC,EQUITY
IDMBF,[ISHARES DE I INVESTM AG ISH MSCI BRAZIL,NASDAQ,OTC,EQUITY
IGARF,[ITALGAS SPA 2025 SUBSCRIPTION RT,NASDAQ,OTC,EQUITY
JUSCF,[JPMORGAN US SMALLER MPANIES INVESTMENT TRUST SHS,NASDAQ,OTC,EQUITY
LAWIL,[LIGHT & WONDER INC CHESS DEP INT-CDI,NASDAQ,OTC,EQUITY
RGNLF,[REGIONAL FIN GROUPS AND INDUSTRIAL RETAIL,NASDAQ,OTC,EQUITY
OONEF,01 COMMUNIQUE LAB INC COMMON SHARES,NASDAQ,OTC,EQUITY
LNXGF,0187279 B.C. LTD. COMMON SHARES,NASDAQ,OTC,EQUITY
REPCF,0913693 B.C. LTD.,NASDAQ,OTC,EQUITY
FLWS,1-800 FLOWERS.COM,NASDAQ,NGSM,EQUITY
TXG,"10X GENOMICS, INC. CLASS A COMMON STOCK",NASDAQ,NGSM,EQUITY
YI,"111, INC. AMERICAN DEPOSITARY SHARES",NASDAQ,NGM,EQUITY
YSGG,1399 INTERNET TECHNOLOGY APPLICATION GROUP INC,NASDAQ,OTC,EQUITY
ONCP,141 CAPITAL INC,NASDAQ,OTC,EQUITY
MTEK,15607,NASDAQ,NCM,EQUITY
CBDW,1606 CORP COM,NASDAQ,OTC,EQUITY
YQ,17 EDUCATION & TECHNOLOGY GROUP INC. ADS,NASDAQ,NGSM,EQUITY
TURN,180 DEGREE CAPITAL CORP. COMMON STOCK,NASDAQ,NGM,EQUITY
ATNF,180 LIFE SCIENCES CORP,NASDAQ,NCM,EQUITY
ATNFW,180 LIFE SCIENCES CORP WTS,NASDAQ,NCM,EQUITY
KEGS,"1812 BREWING COMPANY, INC.",NASDAQ,OTC,EQUITY
EFRSF,1844 RES INC,NASDAQ,OTC,EQUITY
WFCL,1867 WESTN FINL CORP,NASDAQ,OTC,EQUITY
BCOW,1895 BANCORP OF WISCONSIN INC,NASDAQ,OTC,EQUITY
AUMBF,1911 GOLD CORP ORDINARY SHARES,NASDAQ,OTC,EQUITY
TGIFF,1933 INDS INC COMMON SHARES,NASDAQ,OTC,EQUITY
MILFF,1CM INC,NASDAQ,OTC,EQUITY
OPMZ,"1PM INDUSTRIES, INC. COMMON STOCK",NASDAQ,OTC,EQUITY
ONCHU,1RT ACQUISITION CORP. UNT,NASDAQ,NGM,EQUITY
FCOB,1ST COLONIAL BCP PA,NASDAQ,OTC,EQUITY
FNRC,1ST NRG CORP,NASDAQ,OTC,EQUITY
SRCE,1ST SOURCE,NASDAQ,NGSM,EQUITY
FSMK,1ST SUMMIT BANCRP PA,NASDAQ,OTC,EQUITY
DIBS,"1STDIBS.COM, INC.",NASDAQ,NGM,EQUITY
TTBKF,2020 BULKERS LTD.,NASDAQ,OTC,EQUITY
TWBCF,21SHARES AG,NASDAQ,OTC,EQUITY
TOSRF,21SHARES AG 2019 OPEN END ON XRP RIPPLE,NASDAQ,OTC,EQUITY
TOSHF,21SHARES AG EXCHANGE TRADED PRODUCT 2019-OPEN END,NASDAQ,OTC,EQUITY
TWOCF,21SHARES AG EXCHANGE TRADED PRODUCT 2021 OPEN END,NASDAQ,OTC,EQUITY
TSREF,21SHARES AG PRODUCT 2019 OPEN END ON ETHEREUM,NASDAQ,OTC,EQUITY
TWTBF,21SHARES AG PRODUCT 2019-OPEN END ON BITCOIN),NASDAQ,OTC,EQUITY
TWARF,21SHARES AG PRODUCT 2024 OPEN END AUF RENDER,NASDAQ,OTC,EQUITY
TSAVF,21SHARES AVALANCHE,NASDAQ,OTC,EQUITY
TWONF,21SHARES CRYPTO BASKET INDEX ETP,NASDAQ,OTC,EQUITY
TSHRF,21SHARES POLKADOT,NASDAQ,OTC,EQUITY
TWNSF,21SHARES SOLANA STAKING ETP,NASDAQ,OTC,EQUITY
XXII,"22ND CENTURY GROUP, INC. COMMON STOCK",NASDAQ,NCM,EQUITY
MEHCQ,23ANDME HOLDING CO,NASDAQ,OTC,EQUITY
TWNMF,29 METALS LTD ORDINARY FULLY PAID,NASDAQ,OTC,EQUITY
TCSIF,2CRSI ORD,NASDAQ,OTC,EQUITY
ZGBEF,2G ENERGY AG SHS,NASDAQ,OTC,EQUITY
SOLT,2X SOLANA ETF,NASDAQ,NGM,EQUITY
MASK,3 E NETWORK TECHNOLOGY GROUP LTD CLASS A,NASDAQ,NCM,EQUITY
SAYFF,3 SIXTY RISK SOLUTIONS LTD CS,NASDAQ,OTC,EQUITY
DMTRF,3-D MATRIX,NASDAQ,OTC,EQUITY
QFIN,360 DIGITECH INC,NASDAQ,NGSM,EQUITY
TSIOF,361 DEGREES INTL,NASDAQ,OTC,EQUITY
KRKR,36KR HOLDINGS INC. ADS,NASDAQ,NCM,EQUITY
SCWO,374WATER INC. COMMON STOCK,NASDAQ,NCM,EQUITY
UCL,3883734,NASDAQ,NGM,EQUITY
THDS,3DSHOPPING.COM,NASDAQ,OTC,EQUITY
DDDX,3DX INDUSTRIES INC,NASDAQ,OTC,EQUITY
TGOPF,3I GROUP ORDINARY,NASDAQ,OTC,EQUITY
TGOPY,3I GROUP PLC,NASDAQ,OTC,EQUITY
BTCQF,3IQ BITCOIN ETF UNT,NASDAQ,OTC,EQUITY
PSPW,3POWER ENERGY GR INC,NASDAQ,OTC,EQUITY
TRSBF,3S BIO INC,NASDAQ,OTC,EQUITY
FTPM,"420 PROPERTY MANAGEMENT, INC.",NASDAQ,OTC,EQUITY
FSESF,468 SPAC II SE SHS ORD REG,NASDAQ,OTC,EQUITY
FNINF,49 NORTH RESOURCES,NASDAQ,OTC,EQUITY
CATV,4CABLE TV INTERNATIO,NASDAQ,OTC,EQUITY
FDMT,"4D MOLECULAR THERAPEUTICS, INC.",NASDAQ,NGSM,EQUITY
LBPWQ,4D PHARMA PLC WARRANT   03/22/2026,NASDAQ,OTC,EQUITY
FDMDF,4DMEDICAL LTD,NASDAQ,OTC,EQUITY
FRDSF,4DS MEMORY LTD.,NASDAQ,OTC,EQUITY
FFNTF,4FRONT VENTURES CORP ORDINARY SHARES,NASDAQ,OTC,EQUITY
FRRFF,4IMPRINT GROUP PLC ORD SHR (GB),NASDAQ,OTC,EQUITY
FEAM,"5E ADVANCED MATERIALS, INC.",NASDAQ,NGSM,EQUITY
FEAV,5E ADVANCED MATLS INC CHESS DEPOSITARY INT 10:1,NASDAQ,OTC,EQUITY
MLBEF,5G NETWORKS LTD,NASDAQ,OTC,EQUITY
FPLSF,5N PLUS INC,NASDAQ,OTC,EQUITY
IDGAF,5TH PLANET GAMES SHS (Denmark),NASDAQ,OTC,EQUITY
SXTP,"60 DEGREES PHARMACEUTICALS, INC.",NASDAQ,NCM,EQUITY
SXTPW,"60 DEGREES PHARMACEUTICALS, INC. WT",NASDAQ,NCM,EQUITY
JEM,707 CAYMAN HOLDINGS LIMITED,NASDAQ,NCM,EQUITY
SVNJ,727 COMMUNICATN NEW,NASDAQ,OTC,EQUITY
SVSVF,77 (SEVENTY SEVEN) BANK LTD,NASDAQ,OTC,EQUITY
SCPKF,7C SOLARPARKEN AG O N,NASDAQ,OTC,EQUITY
BLLYF,80 MILE PLC,NASDAQ,OTC,EQUITY
EIGH,8000 INC COMMON,NASDAQ,OTC,EQUITY
RNWR,808 RENEWABLE ENERGY,NASDAQ,OTC,EQUITY
EEENF,88 ENERGY LTD,NASDAQ,OTC,EQUITY
EIHDF,888 HOLDINGS PLC,NASDAQ,OTC,EQUITY
ETNB,89BIO INC.,NASDAQ,NGM,EQUITY
EGHT,8X8 INC,NASDAQ,NGSM,EQUITY
NMTRQ,9 METERS BIOPHARMA INC,NASDAQ,OTC,EQUITY
MASS,908 DEVICES INC. COMMON STOCK,NASDAQ,NGM,EQUITY
JFU,9F INC,NASDAQ,NGM,EQUITY
AWFDF,A & W FOOD SVCS CDA INC,NASDAQ,OTC,EQUITY
ELUXY,A B ELECTRLX S ADR#,NASDAQ,OTC,EQUITY
ACMTA,A C M A T CP CL A,NASDAQ,OTC,EQUITY
AQFD,A CLASSIFIED AD INC,NASDAQ,OTC,EQUITY
DRWN,"A CLEAN SLATE, INC.",NASDAQ,OTC,EQUITY
BAGFF,A G BARR PLC,NASDAQ,OTC,EQUITY
AGFMF,A G F MGMT LTD CL B,NASDAQ,OTC,EQUITY
AISSF,A I S RES LTD CDA,NASDAQ,OTC,EQUITY
ALVSF,A LIVING SMART CITY SVCS CO LTD,NASDAQ,OTC,EQUITY
AMKBY,A P MOLLER-MAERSK A/,NASDAQ,OTC,EQUITY
APADU,A PARADISE ACQUISITION CORP. UNT,NASDAQ,NGM,EQUITY
ASNCF,A SONIC AEROSPACE LTD ORDINARY SHARES,NASDAQ,OTC,EQUITY
SRIOF,A SORIANO CORP ANS,NASDAQ,OTC,EQUITY
ASCBF,A SPAC II ACQUISITION CORP,NASDAQ,OTC,EQUITY
ASCRF,A SPAC II ACQUISITION CORP RTS,NASDAQ,OTC,EQUITY
ASUUF,A SPAC II ACQUISITION CORP UTS,NASDAQ,OTC,EQUITY
ASCWF,A SPAC II ACQUISITION CORP WTS,NASDAQ,OTC,EQUITY
ASPC,A SPAC III ACQUISITION CORP. CLASS A,NASDAQ,NCM,EQUITY
ASPCR,A SPAC III ACQUISITION CORP. RT,NASDAQ,NCM,EQUITY
ASPCU,A SPAC III ACQUISITION CORP. UNT,NASDAQ,NCM,EQUITY
AWON,"A-1 GROUP, INC COMMON STOCK",NASDAQ,OTC,EQUITY
AMRK,"A-MARK PRECIOUS METALS, INC. C",NASDAQ,NGSM,EQUITY
AMKAF,A.P. MOELLER MAERS A,NASDAQ,OTC,EQUITY
AMKBF,A.P. MOELLER MAERS B,NASDAQ,OTC,EQUITY
ACOPF,A2 MILK CO LTD. SHS,NASDAQ,OTC,EQUITY
AEMMY,A2A SPA,NASDAQ,OTC,EQUITY
AEMMF,A2ASPA,NASDAQ,OTC,EQUITY
AZ,A2Z SMART TECHNOLOGIES CORP.,NASDAQ,NCM,EQUITY
AQBN,AAB NATL CO,NASDAQ,OTC,EQUITY
ACCMF,AAC CLYDE SPACE AB SHARE AK,NASDAQ,OTC,EQUITY
AACAY,AAC TEC HOLDINGS ADR,NASDAQ,OTC,EQUITY
AACAF,AAC TECH HOLDINGS,NASDAQ,OTC,EQUITY
ARHUF,AAK AB ORDINARY SHARES,NASDAQ,OTC,EQUITY
AALBF,AALBERTS INDUSTRIES,NASDAQ,OTC,EQUITY
AAXT,AAMAXAN TRANSPORT,NASDAQ,OTC,EQUITY
AAON,AAON,NASDAQ,NGSM,EQUITY
AAPJ,"AAP, INC.",NASDAQ,OTC,EQUITY
PUSOF,AAPKI VENTURES INC,NASDAQ,OTC,EQUITY
AARD,"AARDVARK THERAPEUTICS, INC.",NASDAQ,NGSM,EQUITY
VCEL,"AASTROM BIOSCIENCES, INC. COMM",NASDAQ,NGM,EQUITY
BUFC,AB CONSERVATIVE BUFFER ETF,NASDAQ,NGM,EQUITY
CPLS,AB CORE PLUS BOND ETF,NASDAQ,NGM,EQUITY
EYEG,AB CRP BND ETF,NASDAQ,NGM,EQUITY
ABDDF,AB DYNAMICS PLC,NASDAQ,OTC,EQUITY
BUFI,AB INTERNATIONAL BUFFER ETF,NASDAQ,NGM,EQUITY
ABQQ,AB INTL GROUP CORP COMMON STOCK,NASDAQ,OTC,EQUITY
BUFM,AB MODERATE BUFFER ETF,NASDAQ,NGM,EQUITY
SAGXF,AB SAGAX SHARE AK B (SWEDEN),NASDAQ,OTC,EQUITY
ABSCF,"AB SCIENCE, PARIS",NASDAQ,OTC,EQUITY
ABLLL,"ABACUS GLOBAL MANAGEMENT, INC. 9.875% SRNT 2028",NASDAQ,NGM,EQUITY
ABL,"ABACUS GLOBAL MANAGEMENT, INC. CLASS A",NASDAQ,NCM,EQUITY
