symbol,description,exchange,listedMarket,securityType
QQXT.IV.X,1ST TRST NDQ 100-EX-TECH SECT INDEX FUND,NASDAQ,NASDAQ,INDEX
QCLN.IV.X,1ST TRST NDQ CLEAN EDGE U.S. LQD SERIES,NASDAQ,NASDAQ,INDEX
QQXT.EU.X,1ST TRST NSDQ 100 EX TECH SECT EST VAL,NASDAQ,NASDAQ,INDEX
QQXT.NV.X,1ST TRST NSDQ 100 EX TECH SECT INDEX NAV,NASDAQ,NASDAQ,INDEX
QQXT.SO.X,1ST TRST NSDQ 100 EX TECH SECT SHS OUT,NASDAQ,NASDAQ,INDEX
QQXT.TC.X,1ST TRST NSDQ 100 EX TECH SECT TOT CASH,NASDAQ,NASDAQ,INDEX
QCLN.EU.X,1ST TRST NSDQ CLEAN EDGE U.S. LQD ESTCAS,NASDAQ,NASDAQ,INDEX
QCLN.NV.X,1ST TRST NSDQ CLEAN EDGE U.S. LQD NAV,NASDAQ,NASDAQ,INDEX
QCLN.SO.X,1ST TRST NSDQ CLEAN EDGE U.S. LQD SHS OU,NASDAQ,NASDAQ,INDEX
QCLN.TC.X,1ST TRST NSDQ CLEAN EDGE U.S. LQD TOTCAS,NASDAQ,NASDAQ,INDEX
ABAQ.X,ABA NASDAQ Community Bank,NASDAQ,NASDAQ,INDEX
XABQ.X,ABA NASDAQ COMMUNITY BANK TOTAL RETURN,NASDAQ,NASDAQ,INDEX
BKCH.DV.X,ADVISORSHARES SABRETOOTH ETF,NASDAQ,NASDAQ,INDEX
CIL.DV.X,COMPASS EMP INTERNATIONAL 500 VOLATILITY,NASDAQ,NASDAQ,INDEX
CIL.EU.X,COMPASS EMP INTERNATIONAL 500 VOLATILITY,NASDAQ,NASDAQ,INDEX
CIL.TC.X,COMPASS EMP INTERNATIONAL 500 VOLATILITY,NASDAQ,NASDAQ,INDEX
CFO.EU.X,COMPASS EMP U.S. 500 ENHANCED VOLATILITY,NASDAQ,NASDAQ,INDEX
CFO.TC.X,COMPASS EMP U.S. 500 ENHANCED VOLATILITY,NASDAQ,NASDAQ,INDEX
CFA.EU.X,COMPASS EMP U.S. 500 VOLATILITY WEIGHTED,NASDAQ,NASDAQ,INDEX
CFA.TC.X,COMPASS EMP U.S. 500 VOLATILITY WEIGHTED,NASDAQ,NASDAQ,INDEX
CDC.EU.X,COMPASS EMP US EQINCOME 100 ENHANCED VOL,NASDAQ,NASDAQ,INDEX
CDC.TC.X,COMPASS EMP US EQINCOME 100 ENHANCED VOL,NASDAQ,NASDAQ,INDEX
CDL.EU.X,COMPASS EMP US LARGE CAP HIGH DIVIDEND 1,NASDAQ,NASDAQ,INDEX
CDL.IV.X,COMPASS EMP US LARGE CAP HIGH DIVIDEND 1,NASDAQ,NASDAQ,INDEX
CDL.NV.X,COMPASS EMP US LARGE CAP HIGH DIVIDEND 1,NASDAQ,NASDAQ,INDEX
CDL.SO.X,COMPASS EMP US LARGE CAP HIGH DIVIDEND 1,NASDAQ,NASDAQ,INDEX
CDL.TC.X,COMPASS EMP US LARGE CAP HIGH DIVIDEND 1,NASDAQ,NASDAQ,INDEX
CSB.EU.X,COMPASS EMP US SMALL CAP HIGH DIVIDEND 1,NASDAQ,NASDAQ,INDEX
CSB.TC.X,COMPASS EMP US SMALL CAP HIGH DIVIDEND 1,NASDAQ,NASDAQ,INDEX
CPQ.X,CPQ,NASDAQ,NASDAQ,INDEX
GLDI.IV.X,CREDIT SUISSE GOLD SHARES COVERED,NASDAQ,NASDAQ,INDEX
QGLDID.X,CREDIT SUISSE NASDAQ GOLD FLOWS 103 DIST,NASDAQ,NASDAQ,INDEX
QGLDI.X,CREDIT SUISSE NASDAQ GOLD FLOWSTM103,NASDAQ,NASDAQ,INDEX
QGLDITR.X,CREDIT SUISSE NASDAQ GOLD FLOWSTM103 TR,NASDAQ,NASDAQ,INDEX
QSLVO.X,CREDIT SUISSE NASDAQ SILVER FLOWS 106,NASDAQ,NASDAQ,INDEX
QSLVOD.X,CREDIT SUISSE NASDAQ SILVER FLOWS 108 DI,NASDAQ,NASDAQ,INDEX
QSLVOTR.X,CREDIT SUISSE NASDAQ SILVER FLOWS106 TOT,NASDAQ,NASDAQ,INDEX
SLVO.IV.X,CREDIT SUISSE SILVER SHARES COVERED CALL,NASDAQ,NASDAQ,INDEX
USOI.IV.X,CREDIT SUISSE X-LINKS CRUDE OIL SHARES C,NASDAQ,NASDAQ,INDEX
CRSPCS1.X,CRSP US CONSUMER SERVICES INDEX,NASDAQ,NASDAQ,INDEX
CRSPCST.X,CRSP US CONSUMER SERVICES TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPFN1.X,CRSP US FINANCIALS INDEX,NASDAQ,NASDAQ,INDEX
CRSPFNT.X,CRSP US FINANCIALS TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPHC1.X,CRSP US HEALTH CARE INDEX,NASDAQ,NASDAQ,INDEX
CRSPHCT.X,CRSP US HEALTH CARE TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPID1.X,CRSP US INDUSTRIALS INDEX,NASDAQ,NASDAQ,INDEX
CRSPIDT.X,CRSP US INDUSTRIALS TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPLCG1.X,CRSP US LARGE CAP GROWTH INDEX,NASDAQ,NASDAQ,INDEX
CRSPLCGT.X,CRSP US LARGE CAP GROWTH TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPLC1.X,CRSP US LARGE CAP INDEX,NASDAQ,NASDAQ,INDEX
CRSPLCT.X,CRSP US LARGE CAP TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPLCV1.X,CRSP US LARGE CAP VALUE INDEX,NASDAQ,NASDAQ,INDEX
CRSPLCVT.X,CRSP US LARGE CAP VALUE TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPMT1.X,CRSP US MATERIALS INDEX,NASDAQ,NASDAQ,INDEX
CRSPMTT.X,CRSP US MATERIALS TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPMEG1.X,CRSP US MEGA CAP GROWTH INDEX,NASDAQ,NASDAQ,INDEX
CRSPMEGT.X,CRSP US MEGA CAP GROWTH TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPME1.X,CRSP US MEGA CAP INDEX,NASDAQ,NASDAQ,INDEX
CRSPMET.X,CRSP US MEGA CAP TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPMEV1.X,CRSP US MEGA CAP VALUE INDEX,NASDAQ,NASDAQ,INDEX
CRSPMEVT.X,CRSP US MEGA CAP VALUE TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPMC1.X,CRSP US MICRO CAP INDEX,NASDAQ,NASDAQ,INDEX
CRSPMCT.X,CRSP US MICRO CAP TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPMIG1.X,CRSP US MID CAP GROWTH INDEX,NASDAQ,NASDAQ,INDEX
CRSPMIGT.X,CRSP US MID CAP GROWTH TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPMI1.X,CRSP US MID CAP INDEX,NASDAQ,NASDAQ,INDEX
CRSPMIT.X,CRSP US MID CAP TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPMIV1.X,CRSP US MID CAP VALUE INDEX,NASDAQ,NASDAQ,INDEX
CRSPMIVT.X,CRSP US MID CAP VALUE TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPEN1.X,CRSP US OIL AND GAS INDEX,NASDAQ,NASDAQ,INDEX
CRSPENT.X,CRSP US OIL AND GAS TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPRE1.X,CRSP US REIT INDEX,NASDAQ,NASDAQ,INDEX
CRSPRET.X,CRSP US REIT TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPSX1.X,CRSP US SMALL CAP EX-REIT INDEX,NASDAQ,NASDAQ,INDEX
CRSPSXT.X,CRSP US SMALL CAP EX-REIT TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPSCG1.X,CRSP US SMALL CAP GROWTH INDEX,NASDAQ,NASDAQ,INDEX
CRSPSCGT.X,CRSP US SMALL CAP GROWTH TR INDEX,NASDAQ,NASDAQ,INDEX
CRSPSC1.X,CRSP US SMALL CAP INDEX,NASDAQ,NASDAQ,INDEX
CRSPSCT.X,CRSP US SMALL CAP TR INDEX,NASDAQ,NASDAQ,INDEX
