symbol,description,exchange,listedMarket,securityType
@QG.OI.Z,E-MINI NATURAL GAS Future Total Open Interest,NYMEX,NYMEXMINI,COMBINED_FUTURE
@QG.VOL.Z,E-MINI NATURAL GAS Future Total Volume,NYMEX,NYMEXMINI,COMBINED_FUTURE
@QH.OI.Z,E-MINI NY HARBOR ULSD Future Total Open Interest,NYMEX,NYMEXMINI,COMBINED_FUTURE
@QH.VOL.Z,E-MINI NY HARBOR ULSD Future Total Volume,NYMEX,NYMEXMINI,COMBINED_FUTURE
@QM.OI.Z,E-MINI CRUDE OIL Future Total Open Interest,NYMEX,NYMEXMINI,COMBINED_FUTURE
@QM.VOL.Z,E-MINI CRUDE OIL Future Total Volume,NYMEX,NYMEXMINI,COMBINED_FUTURE
@QU.OI.Z,E-MINI RBOB GASOLINE Future Total Open Interest,NYMEX,NYMEXMINI,COMBINED_FUTURE
@QU.VOL.Z,E-MINI RBOB GASOLINE Future Total Volume,NYMEX,NYMEXMINI,COMBINED_FUTURE
7FT.OI.Z,EUROPEAN GASOIL TAS Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
7FT.VOL.Z,EUROPEAN GASOIL TAS Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
CLT.OI.Z,CRUDE OIL (TAS) Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
CLT.VOL.Z,CRUDE OIL (TAS) Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
HOT.OI.Z,NY HARBOR ULSD TAS Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
HOT.VOL.Z,NY HARBOR ULSD TAS Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
MFB.OI.Z,GC #6 FUEL OIL 3% SULFUR Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
MFB.VOL.Z,GC #6 FUEL OIL 3% SULFUR Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
NGT.OI.Z,NATURAL GAS (TAS) Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
NGT.VOL.Z,NATURAL GAS (TAS) Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
PAT.OI.Z,PALLADIUM TAS Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
PAT.VOL.Z,PALLADIUM TAS Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
PLT.OI.Z,PLATINUM TAS Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
PLT.VOL.Z,PLATINUM TAS Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q0D.OI.Z,MINI EUR 3.5% FUEL OIL RDAM Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q0D.VOL.Z,MINI EUR 3.5% FUEL OIL RDAM Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q1CE.OI.Z,CHICAGO ETHANOL SYNTHETIC 1 MONTH Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q1CE.VOL.Z,CHICAGO ETHANOL SYNTHETIC 1 MONTH Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q1N.OI.Z,SINGAPORE MOGAS 92 UNL Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q1N.VOL.Z,SINGAPORE MOGAS 92 UNL Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q1NB.OI.Z,SINGAPORE MOGAS 92 UNL BRENT CRACK Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q1NB.VOL.Z,SINGAPORE MOGAS 92 UNL BRENT CRACK Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q1R.OI.Z,PROPANE NON-LDH MT BELVIEU OPIS Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q1R.VOL.Z,PROPANE NON-LDH MT BELVIEU OPIS Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q23.OI.Z,NY HARBOR ULSD LAST DAY FINANCIAL Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q23.VOL.Z,NY HARBOR ULSD LAST DAY FINANCIAL Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q26.OI.Z,CRUDE OIL LAST DAY FINANCIAL Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q26.VOL.Z,CRUDE OIL LAST DAY FINANCIAL Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q27.OI.Z,RBOB GASOLINE LAST DAY FINANCIAL Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q27.VOL.Z,RBOB GASOLINE LAST DAY FINANCIAL Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q2CE.OI.Z,CHICAGO ETHANOL SYNTHETIC 2 MONTH Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q2CE.VOL.Z,CHICAGO ETHANOL SYNTHETIC 2 MONTH Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q3CE.OI.Z,CHICAGO ETHANOL SYNTHETIC 3 MONTH Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q3CE.VOL.Z,CHICAGO ETHANOL SYNTHETIC 3 MONTH Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q3NA.OI.Z,ARGUS PROPANE FAR EAST V JAPAN C&F NAPHT Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q3NA.VOL.Z,ARGUS PROPANE FAR EAST V JAPAN C&F NAPHT Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q51.OI.Z,MONT BELVIEU LDH VS EURO PROPANE CIF Future Total Open Interest,NYMEX,NYMEX_GBX,COMBINED_FUTURE
Q51.VOL.Z,MONT BELVIEU LDH VS EURO PROPANE CIF Future Total Volume,NYMEX,NYMEX_GBX,COMBINED_FUTURE
