symbol,description,exchange,listedMarket,securityType
@QGQ25-@QGU25,E-MINI NATURAL GAS Aug 25/Sep 25,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGV25,E-MINI NATURAL GAS Aug 25/Oct 25,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGX25,E-MINI NATURAL GAS Aug 25/Nov 25,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGZ25,E-MINI NATURAL GAS Aug 25/Dec 25,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGF26,E-MINI NATURAL GAS Aug 25/Jan 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGG26,E-MINI NATURAL GAS Aug 25/Feb 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGH26,E-MINI NATURAL GAS Aug 25/Mar 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGJ26,E-MINI NATURAL GAS Aug 25/Apr 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGK26,E-MINI NATURAL GAS Aug 25/May 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGM26,E-MINI NATURAL GAS Aug 25/Jun 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGN26,E-MINI NATURAL GAS Aug 25/Jul 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGQ26,E-MINI NATURAL GAS Aug 25/Aug 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGU26,E-MINI NATURAL GAS Aug 25/Sep 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGV26,E-MINI NATURAL GAS Aug 25/Oct 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGX26,E-MINI NATURAL GAS Aug 25/Nov 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGZ26,E-MINI NATURAL GAS Aug 25/Dec 26,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGF27,E-MINI NATURAL GAS Aug 25/Jan 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGG27,E-MINI NATURAL GAS Aug 25/Feb 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGH27,E-MINI NATURAL GAS Aug 25/Mar 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGJ27,E-MINI NATURAL GAS Aug 25/Apr 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGK27,E-MINI NATURAL GAS Aug 25/May 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGM27,E-MINI NATURAL GAS Aug 25/Jun 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGN27,E-MINI NATURAL GAS Aug 25/Jul 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGQ27,E-MINI NATURAL GAS Aug 25/Aug 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGU27,E-MINI NATURAL GAS Aug 25/Sep 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGV27,E-MINI NATURAL GAS Aug 25/Oct 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGX27,E-MINI NATURAL GAS Aug 25/Nov 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGZ27,E-MINI NATURAL GAS Aug 25/Dec 27,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGF28,E-MINI NATURAL GAS Aug 25/Jan 28,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGG28,E-MINI NATURAL GAS Aug 25/Feb 28,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGH28,E-MINI NATURAL GAS Aug 25/Mar 28,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGJ28,E-MINI NATURAL GAS Aug 25/Apr 28,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGK28,E-MINI NATURAL GAS Aug 25/May 28,NYMEX,NYMEXMINI,SPREAD
@QGQ25-@QGM28,E-MINI NATURAL GAS Aug 25/Jun 28,NYMEX,NYMEXMINI,SPREAD
