symbol,description,exchange,listedMarket,securityType
DTG,145138,NYSE,NYSE,EQUITY
SOFL,2X DAILY SOFTWARE PLATFORM ETF,NYSE,NYSE_ARCA,EQUITY
DDD,3D SYSTEMS,NYSE,NYSE,EQUITY
EDGF,3EDGE DYNAMIC FIXED INCOME ETF,NYSE,NYSE_ARCA,EQUITY
EDGH,3EDGE DYNAMIC HARD ASSETS ETF,NYSE,NYSE_ARCA,EQUITY
EDGI,3EDGE DYNAMIC INTERNATIONAL EQUITY ETF,NYSE,NYSE_ARCA,EQUITY
EDGU,3EDGE DYNAMIC US EQUITY ETF,NYSE,NYSE_ARCA,EQUITY
MMM,3M,NYSE,NYSE,EQUITY
SKE,599538,NYSE,NYSE,EQUITY
SIXL,6 MERIDIAN LOW BETA EQUITY ETF,NYSE,NYSE_ARCA,EQUITY
SIXA,6 MERIDIAN MEGA CAP EQUITY ETF,NYSE,NYSE_ARCA,EQUITY
SXQG,6 MERIDIAN QUALITY GROWTH ETF,NYSE,NYSE_ARCA,EQUITY
SIXS,6 MERIDIAN SMALL CAP EQUITY ETF,NYSE,NYSE_ARCA,EQUITY
AKA,A.K.A. BRANDS HOLDING CORP.,NYSE,NYSE,EQUITY
AOS,A.O.SMITH CORP,NYSE,NYSE,EQUITY
ATEN,"A10 NETWORKS, INC",NYSE,NYSE,EQUITY
AAM.WS,"AA MISSION ACQ WT, EACH WHOLE WT",NYSE,NYSE,EQUITY
AAM.U,AA MISSION ACQUISITION CORP UTS,NYSE,NYSE,EQUITY
AAM,AA MISSION ACQUISITION CORP. CLASS A,NYSE,NYSE,EQUITY
BDIV,AAM BRENTVIEW DIVIDEND GROWTH ETF,NYSE,NYSE_ARCA,EQUITY
PFLD,AAM LOW DURATION PF AND INCOME SECURITIES ETF,NYSE,NYSE_ARCA,EQUITY
SPDV,AAM S&P 500 HIGH DIVIDEND VALUE ETF,NYSE,NYSE_ARCA,EQUITY
SAWG,AAM SAWGRASS US LARGE CAP QUALITY GROWTH ETF,NYSE,NYSE_ARCA,EQUITY
SAWS,AAM SAWGRASS US SMALL CAP QUALITY GROWTH ETF,NYSE,NYSE_ARCA,EQUITY
LODI,AAM SLC LOW DURATION INCOME ETF,NYSE,NYSE_ARCA,EQUITY
TIIV,AAM TODD INTERNATIONAL INTRINSIC VALUE ETF,NYSE,NYSE_ARCA,EQUITY
TRFM,AAM TRANSFORMERS ETF,NYSE,NYSE_ARCA,EQUITY
AIR,AAR,NYSE,NYSE,EQUITY
FWD,AB DISRUPTORS ETF,NYSE,NYSE_ARCA,EQUITY
EMOP,AB EMERGING OPPORTUNITIES ETF,NYSE,NYSE_ARCA,EQUITY
HYFI,AB HIGH YIELD ETF,NYSE,NYSE_ARCA,EQUITY
ILOW,AB INTERNATIONAL LOW VOLATILITY EQUITY ETF,NYSE,NYSE_ARCA,EQUITY
SYFI,AB SHORT DURATION HIGH YIELD ETF,NYSE,NYSE_ARCA,EQUITY
SDFI,AB SHORT DURATION INCOME ETF,NYSE,NYSE_ARCA,EQUITY
TAFM,AB TAX AWARE INTERMEDIATE MUNICIPAL ETF,NYSE,NYSE_ARCA,EQUITY
TAFL,AB TAX AWARE LONG MUNICIPAL ETF,NYSE,NYSE_ARCA,EQUITY
TAFI,AB TAX-AWARE SHORT DURATION MUNI ETF,NYSE,NYSE_ARCA,EQUITY
YEAR,AB ULTRA SHORT INCOME ETF,NYSE,NYSE_ARCA,EQUITY
HIDV,AB US HIGH DIVIDEND ETF,NYSE,NYSE_ARCA,EQUITY
LRGC,AB US LARGE CAP STRATEGIC EQUITIES ETF,NYSE,NYSE_ARCA,EQUITY
LOWV,AB US LOW VOLATILITY EQUITY ETF,NYSE,NYSE_ARCA,EQUITY
ABT,ABBOTT LABORATORIES,NYSE,NYSE,EQUITY
ABBV,ABBVIE INC,NYSE,NYSE,EQUITY
ANF,ABERCROMBIE & FITCH,NYSE,NYSE,EQUITY
ABM,ABM INDUSTRIES,NYSE,NYSE,EQUITY
BCD,ABRDN BLOOMBERG ALL COMMODITY LONGER DATED STRAT,NYSE,NYSE_ARCA,EQUITY
BCI,ABRDN BLOOMBERG ALL MMODITY STRATEGY K-1 FREE,NYSE,NYSE_ARCA,EQUITY
BCIM,ABRDN BLOOMBERG INDUSTRIAL METALS STRATEGY,NYSE,NYSE_ARCA,EQUITY
AGD,ABRDN GLOBAL DYNAMIC DIVIDEND FUND,NYSE,NYSE,EQUITY
ASGI,ABRDN GLOBAL INFRASTRUCTURE INCOME FUND,NYSE,NYSE,EQUITY
AWP,ABRDN GLOBAL PREMIER PROPERTIES FUND,NYSE,NYSE,EQUITY
HQH,ABRDN HEALTHCARE INVESTORS CO,NYSE,NYSE,EQUITY
THQ,ABRDN HEALTHCARE OPPORTUNITIES,NYSE,NYSE,EQUITY
ACP,ABRDN INCOME CREDIT STRATEGIES FUND,NYSE,NYSE,EQUITY
ACP-A,ABRDN INCOME CREDIT STRATEGIES FUND PF A,NYSE,NYSE,EQUITY
JEQ,ABRDN JAPAN EQUITY FUND INC,NYSE,NYSE,EQUITY
HQL,ABRDN LIFE SCIENCES INVESTORS,NYSE,NYSE,EQUITY
SGOL,ABRDN PHYSICAL GOLD SHARES ETF,NYSE,NYSE_ARCA,EQUITY
PALL,ABRDN PHYSICAL PALLADIUM SHARES ETF,NYSE,NYSE_ARCA,EQUITY
PPLT,ABRDN PHYSICAL PLATINUM SHARES ETF,NYSE,NYSE_ARCA,EQUITY
GLTR,ABRDN PHYSICAL PRECIOUS METALS BASKET SHARES ETF,NYSE,NYSE_ARCA,EQUITY
SIVR,ABRDN PHYSICAL SILVER SHARES ETF,NYSE,NYSE_ARCA,EQUITY
AOD,ABRDN TOTAL DYNAMIC DIVIDEND FUND,NYSE,NYSE,EQUITY
THW,ABRDN WORLD HEALTHCARE FUND,NYSE,NYSE,EQUITY
ABEQ,ABSOLUTE VALUE SELECT ETF,NYSE,NYSE_ARCA,EQUITY
FFTY,ACADEMY FUNDS INNOVATOR IBD 50,NYSE,NYSE_ARCA,EQUITY
VETZ,ACADEMY VETERAN IMPACT ETF,NYSE,NYSE_ARCA,EQUITY
AKR,ACADIA REALTY TRUST,NYSE,NYSE,EQUITY
AAMI,ACADIAN ASSET MANAGEMENT INC,NYSE,NYSE,EQUITY
ACEL,ACCEL ENTERTAINMENT,NYSE,NYSE,EQUITY
ARX,ACCELERANT HOLDINGS INC,NYSE,NYSE,EQUITY
ACN,ACCENTURE,NYSE,NYSE,EQUITY
ACCO,ACCO BRANDS,NYSE,NYSE,EQUITY
DEEP,ACQUIRERS SMALL AND MICRO DEEP VALUE ETF,NYSE,NYSE_ARCA,EQUITY
ACR,ACRES COMMERCIAL REALTY CORP,NYSE,NYSE,EQUITY
ACR-C,ACRES COMMERCIAL REALTY CORP SER C PFD,NYSE,NYSE,EQUITY
ACR-D,ACRES COMMERCIAL REALTY CORP SER D PFD,NYSE,NYSE,EQUITY
APCB,ACTIVEPASSIVE CORE BOND ETF,NYSE,NYSE_ARCA,EQUITY
APMU,ACTIVEPASSIVE INTERMEDIATE MUNICIPAL BOND ETF,NYSE,NYSE_ARCA,EQUITY
APIE,ACTIVEPASSIVE INTERNATIONAL EQUITY ETF,NYSE,NYSE_ARCA,EQUITY
APUE,ACTIVEPASSIVE US EQUITY ETF,NYSE,NYSE_ARCA,EQUITY
AYI,ACUITY INC,NYSE,NYSE,EQUITY
TIC,ACUREN CORP,NYSE,NYSE,EQUITY
GOLF,ACUSHNET HOLDINGS CORP,NYSE,NYSE,EQUITY
ACVA,ACV AUCTIONS INC. CLASS A COMMON STOCK,NYSE,NYSE,EQUITY
