symbol,description,exchange,listedMarket,securityType
00917.IV.X,00917 IOPV,NYSE,NYSE_ARCA,INDEX
00960.IV.X,00960 IOPV,NYSE,NYSE_ARCA,INDEX
FPA.EU.X,1ST TRST ASPAC EX-JPN ALPHDX FND EU,NYSE,NYSE_ARCA,INDEX
FPA.IV.X,1ST TRST ASPAC EX-JPN ALPHDX FND IV,NYSE,NYSE_ARCA,INDEX
FPA.NV.X,1ST TRST ASPAC EX-JPN ALPHDX FND NV,NYSE,NYSE_ARCA,INDEX
FPA.SO.X,1ST TRST ASPAC EX-JPN ALPHDX FND SO,NYSE,NYSE_ARCA,INDEX
FPA.TC.X,1ST TRST ASPAC EX-JPN ALPHDX FND TC,NYSE,NYSE_ARCA,INDEX
CAAA.EU.X,1ST TRST COM MORTGAGE OPPORTUNITIES EU,NYSE,NYSE_ARCA,INDEX
CAAA.NV.X,1ST TRST COM MORTGAGE OPPORTUNITIES NV,NYSE,NYSE_ARCA,INDEX
CAAA.SO.X,1ST TRST COM MORTGAGE OPPORTUNITIES SO,NYSE,NYSE_ARCA,INDEX
CAAA.TC.X,1ST TRST COM MORTGAGE OPPORTUNITIES TC,NYSE,NYSE_ARCA,INDEX
FDTS.EU.X,1ST TRST DEV MKT EX-SM CAP ALPHDX FND EU,NYSE,NYSE_ARCA,INDEX
FDTS.IV.X,1ST TRST DEV MKT EX-SM CAP ALPHDX FND IV,NYSE,NYSE_ARCA,INDEX
FDTS.NV.X,1ST TRST DEV MKT EX-SM CAP ALPHDX FND NV,NYSE,NYSE_ARCA,INDEX
FDTS.SO.X,1ST TRST DEV MKT EX-SM CAP ALPHDX FND SO,NYSE,NYSE_ARCA,INDEX
FDTS.TC.X,1ST TRST DEV MKT EX-SM CAP ALPHDX FND TC,NYSE,NYSE_ARCA,INDEX
FGD.EU.X,1ST TRST DOW JONES GBL SEL DIV IFND EU,NYSE,NYSE_ARCA,INDEX
FGD.IV.X,1ST TRST DOW JONES GBL SEL DIV IFND IV,NYSE,NYSE_ARCA,INDEX
FGD.NV.X,1ST TRST DOW JONES GBL SEL DIV IFND NV,NYSE,NYSE_ARCA,INDEX
FGD.SO.X,1ST TRST DOW JONES GBL SEL DIV IFND SO,NYSE,NYSE_ARCA,INDEX
FGD.TC.X,1ST TRST DOW JONES GBL SEL DIV IFND TC,NYSE,NYSE_ARCA,INDEX
FDM.EU.X,1ST TRST DOW JONES SEL MICROCAP IFND EU,NYSE,NYSE_ARCA,INDEX
FDM.IV.X,1ST TRST DOW JONES SEL MICROCAP IFND IV,NYSE,NYSE_ARCA,INDEX
FDM.NV.X,1ST TRST DOW JONES SEL MICROCAP IFND NV,NYSE,NYSE_ARCA,INDEX
FDM.SO.X,1ST TRST DOW JONES SEL MICROCAP IFND SO,NYSE,NYSE_ARCA,INDEX
FDM.TC.X,1ST TRST DOW JONES SEL MICROCAP IFND TC,NYSE,NYSE_ARCA,INDEX
FXR.EU.X,1ST TRST INDUS/PROD DRBLS ALPHDX FUND EU,NYSE,NYSE_ARCA,INDEX
FXR.IV.X,1ST TRST INDUS/PROD DRBLS ALPHDX FUND IV,NYSE,NYSE_ARCA,INDEX
FXR.NV.X,1ST TRST INDUS/PROD DRBLS ALPHDX FUND NV,NYSE,NYSE_ARCA,INDEX
FXR.SO.X,1ST TRST INDUS/PROD DRBLS ALPHDX FUND SO,NYSE,NYSE_ARCA,INDEX
FXR.TC.X,1ST TRST INDUS/PROD DRBLS ALPHDX FUND TC,NYSE,NYSE_ARCA,INDEX
LEGR.EU.X,1ST TRST INDXX INNOV TRNSCTN & PRCS EU,NYSE,NYSE_ARCA,INDEX
LEGR.IV.X,1ST TRST INDXX INNOV TRNSCTN & PRCS IV,NYSE,NYSE_ARCA,INDEX
LEGR.NV.X,1ST TRST INDXX INNOV TRNSCTN & PRCS NV,NYSE,NYSE_ARCA,INDEX
LEGR.SO.X,1ST TRST INDXX INNOV TRNSCTN & PRCS SO,NYSE,NYSE_ARCA,INDEX
LEGR.TC.X,1ST TRST INDXX INNOV TRNSCTN & PRCS TC,NYSE,NYSE_ARCA,INDEX
FPEI.EU.X,1ST TRST INSTITUTIONAL PREF SEC & INC EU,NYSE,NYSE_ARCA,INDEX
FPEI.IV.X,1ST TRST INSTITUTIONAL PREF SEC & INC IV,NYSE,NYSE_ARCA,INDEX
FPEI.NV.X,1ST TRST INSTITUTIONAL PREF SEC & INC NV,NYSE,NYSE_ARCA,INDEX
FPEI.SO.X,1ST TRST INSTITUTIONAL PREF SEC & INC SO,NYSE,NYSE_ARCA,INDEX
FPEI.TC.X,1ST TRST INSTITUTIONAL PREF SEC & INC TC,NYSE,NYSE_ARCA,INDEX
FSIG.EU.X,1ST TRST LIMITED DUR INV GRADE CRP EU,NYSE,NYSE_ARCA,INDEX
