symbol,description,exchange,listedMarket,securityType
COE,51TALK ONLINE EDUCATION GROUP,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
FAX,ABERDEEN ASIA-PACIFIC INCOME FUND INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
IAF,ABRDN AUSTRALIA EQUITY FUND INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AEF,ABRDN EMERGING MARKETS EX-CHINA INCOME FUND INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
FCO,ABRDN GLOBAL INCOME FUND INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
VFL,ABRDN NATIONAL MUNICIPAL INCOME FUND,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
ACCS,ACCESS NEWSWIRE INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
ACU,ACME UNITED,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
ATNM,"ACTINIUM PHARMACEUTICALS, INC.",NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AEON,AEON BIOPHARMA INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
UAVS,AGEAGLE AERIAL SYSTEMS INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AIM,AIM IMMUNO TECH INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AIRI,AIR INDUSTRIES GROUP,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
EAD,ALLSPRING INCOME OPPORTUNITIES FUND,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
ERC,ALLSPRING MULTISECTOR INCOME FUND,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
ERH,ALLSPRING UTILITIES AND HIGH INCOME FUND,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
APT,ALPHA PRO TECH,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AMZE,AMAZE HOLDINGS INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AMBI,AMBIPAR EMERGENCY RESPONSE,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AMBI.WS,AMBIPAR EMERGENCY RESPONSE WTS,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AMBO,AMBOW EDUCATION HOLDING LTD,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
DIT,AMCON DISTRIBUTING,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AMS,AMERICAN SHARED HOSPITAL,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
USAS,AMERICAS SILVER CORP,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AP.WS,AMPCO PITTSBURGH CORP WTS,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
APUS,APIMEDS PHARMACEUTICALS US INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AREN,ARENA GROUP HOLDINGS INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
ARMN,ARIS MINING CORPORATION,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
ARMP,ARMATA PHARMACEUTICALS INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
ATCH,ATLASCLEAR HOLDINGS INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AUST,AUSTIN GOLD CORP,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AWX,AVALON HOLDINGS,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
ASM,AVINO SILVER & GOLD MINES,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AXIL,AXIL BRANDS INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
AZTR,AZITRA INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BTG,B2GOLD CORP.,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BCV,BANCROFT FUND,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BCV-A,BANCROFT FUND LTD 5.375 SERIES A CPS,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BHB,BAR HARBOR BANKSHARES,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BRN,BARNWELL INDUSTRIES,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BATL,BATTALION OIL CORP,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
OZ,BELPOINTE PREP LLC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
PHGE,BIOMX INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BGI,BIRKS GROUP INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BMNR,BITMINE IMMERSION TECHNOLOGIES INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BKTI,BK TECHNOLOGIES CORP,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BRBS,BLUE RIDGE BANKSHARES INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BHM,BLUEROCK HOMES TRUST INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
DMF,BNY MELLON MUNICIPAL INCOME,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BQ,BOQII HOLDING LIMITED,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
GRO,BRAZIL POTASH CORP,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
BRIA,BRILLIA INC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
CMCL,CALEDONIA MINING CORP PLC,NYSE_AMERICAN,NYSE_AMERICAN,EQUITY
