symbol,description,exchange,listedMarket,securityType
RLV.X,AMEX RUSSELL 1000 VALUE,RUSSELL-FL,RUSSELL-FL,INDEX
RLVTR.X,AMEX RUSSELL 1000 VALUE TR,RUSSELL-FL,RUSSELL-FL,INDEX
RU50.X,AMEX RUSSELL TOP 50 INDEX,RUSSELL-FL,RUSSELL-FL,INDEX
RU50TR.X,AMEX RUSSELL TOP 50 INDEX TR,RUSSELL-FL,RUSSELL-FL,INDEX
BARECO.X,FTSE BETA ADVTG RSRCH ENHNCD US EQTY,RUSSELL-FL,RUSSELL-FL,INDEX
BARECOT.X,FTSE BETA ADVTG RSRCH ENHNCD US EQTY TR,RUSSELL-FL,RUSSELL-FL,INDEX
BAREVA.X,FTSE BETA ADVTG RSRCH ENHNCD US VALUE,RUSSELL-FL,RUSSELL-FL,INDEX
BAREVAT.X,FTSE BETA ADVTG RSRCH ENHNCD US VALUE TR,RUSSELL-FL,RUSSELL-FL,INDEX
RUFGDXUU.X,FUNDAMENTAL DEVELOPED EX US,RUSSELL-FL,RUSSELL-FL,INDEX
RUFDXULU.X,FUNDAMENTAL DEVELOPED EX US LG COMP,RUSSELL-FL,RUSSELL-FL,INDEX
RUFDXLNU.X,FUNDAMENTAL DEVELOPED EX US LG COMP NR,RUSSELL-FL,RUSSELL-FL,INDEX
RUFDXLTU.X,FUNDAMENTAL DEVELOPED EX US LG COMP TR,RUSSELL-FL,RUSSELL-FL,INDEX
RUFDXUNU.X,FUNDAMENTAL DEVELOPED EX US NR,RUSSELL-FL,RUSSELL-FL,INDEX
RUFDXUSU.X,FUNDAMENTAL DEVELOPED EX US SM COMP,RUSSELL-FL,RUSSELL-FL,INDEX
RUFDXSNU.X,FUNDAMENTAL DEVELOPED EX US SM COMP NR,RUSSELL-FL,RUSSELL-FL,INDEX
RUFDXSTU.X,FUNDAMENTAL DEVELOPED EX US SM COMP TR,RUSSELL-FL,RUSSELL-FL,INDEX
RUFDXUTU.X,FUNDAMENTAL DEVELOPED EX US TR,RUSSELL-FL,RUSSELL-FL,INDEX
RUFGDLU.X,FUNDAMENTAL DEVELOPED LARGE COMPANY,RUSSELL-FL,RUSSELL-FL,INDEX
RUFGDLNU.X,FUNDAMENTAL DEVELOPED LARGE COMPANY NR,RUSSELL-FL,RUSSELL-FL,INDEX
RUFGDLTU.X,FUNDAMENTAL DEVELOPED LARGE COMPANY TR,RUSSELL-FL,RUSSELL-FL,INDEX
RUFGBLLU.X,FUNDAMENTAL GLOBAL LARGE COMPANY,RUSSELL-FL,RUSSELL-FL,INDEX
RUFGLNU.X,FUNDAMENTAL GLOBAL LARGE COMPANY NR,RUSSELL-FL,RUSSELL-FL,INDEX
RUFGLTU.X,FUNDAMENTAL GLOBAL LARGE COMPANY TR,RUSSELL-FL,RUSSELL-FL,INDEX
RUTMINI.X,MINI RUSSELL 2000,RUSSELL-FL,RUSSELL-FL,INDEX
RT2ICBHCTR.X,RUSEELL TOP 200 HC IND IDX - TR,RUSSELL-FL,RUSSELL-FL,INDEX
RLGSOQ.X,RUSSEL 1000 GROWTH SPECIAL OPEN QUOTE,RUSSELL-FL,RUSSELL-FL,INDEX
RUISOQ.X,RUSSEL 1000 SPECIAL OPEN QUOTE,RUSSELL-FL,RUSSELL-FL,INDEX
RLVSOQ.X,RUSSEL 1000 VALUE SPECIAL OPEN QUOTE,RUSSELL-FL,RUSSELL-FL,INDEX
