symbol,description,exchange,listedMarket,securityType
COPU25C.OI.Z,COPPER Sep 2025 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
COPU25C.VOL.Z,COPPER Sep 2025 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
COPU25P.OI.Z,COPPER Sep 2025 Future Option Put Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
COPU25P.VOL.Z,COPPER Sep 2025 Future Option Put Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
COPZ25C.OI.Z,COPPER Dec 2025 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
COPZ25C.VOL.Z,COPPER Dec 2025 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
COPZ25P.OI.Z,COPPER Dec 2025 Future Option Put Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
COPZ25P.VOL.Z,COPPER Dec 2025 Future Option Put Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
CORU25C.OI.Z,CHICAGO CORN Sep 2025 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
CORU25C.VOL.Z,CHICAGO CORN Sep 2025 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
CORU25P.OI.Z,CHICAGO CORN Sep 2025 Future Option Put Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
CORU25P.VOL.Z,CHICAGO CORN Sep 2025 Future Option Put Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
CORZ25C.OI.Z,CHICAGO CORN Dec 2025 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
CORZ25C.VOL.Z,CHICAGO CORN Dec 2025 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
CORZ25P.OI.Z,CHICAGO CORN Dec 2025 Future Option Put Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
CORZ25P.VOL.Z,CHICAGO CORN Dec 2025 Future Option Put Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
CORH26C.OI.Z,CHICAGO CORN Mar 2026 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
CORH26C.VOL.Z,CHICAGO CORN Mar 2026 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
CORH26P.OI.Z,CHICAGO CORN Mar 2026 Future Option Put Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
CORH26P.VOL.Z,CHICAGO CORN Mar 2026 Future Option Put Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
CORN26C.OI.Z,CHICAGO CORN Jul 2026 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
CORN26C.VOL.Z,CHICAGO CORN Jul 2026 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
CORN26P.OI.Z,CHICAGO CORN Jul 2026 Future Option Put Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
CORN26P.VOL.Z,CHICAGO CORN Jul 2026 Future Option Put Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
GOLU25C.OI.Z,GOLD Sep 2025 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
GOLU25C.VOL.Z,GOLD Sep 2025 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
GOLZ25C.OI.Z,GOLD Dec 2025 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
GOLZ25C.VOL.Z,GOLD Dec 2025 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
GOLZ25P.OI.Z,GOLD Dec 2025 Future Option Put Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
GOLZ25P.VOL.Z,GOLD Dec 2025 Future Option Put Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
PLAU25C.OI.Z,PLATINUM Sep 2025 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
PLAU25C.VOL.Z,PLATINUM Sep 2025 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
PLAZ25C.OI.Z,PLATINUM Dec 2025 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
PLAZ25C.VOL.Z,PLATINUM Dec 2025 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
SLVU25C.OI.Z,SILVER Sep 2025 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
SLVU25C.VOL.Z,SILVER Sep 2025 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
SLVU25P.OI.Z,SILVER Sep 2025 Future Option Put Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
SLVU25P.VOL.Z,SILVER Sep 2025 Future Option Put Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
SLVZ25C.OI.Z,SILVER Dec 2025 Future Option Call Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
SLVZ25C.VOL.Z,SILVER Dec 2025 Future Option Call Total Volume,SAFEX,SAFEX,COMBINED_FOPTION
SLVZ25P.OI.Z,SILVER Dec 2025 Future Option Put Total Open Interest,SAFEX,SAFEX,COMBINED_FOPTION
