symbol,description,exchange,listedMarket,securityType
ALJ.OI.Z,FTSE/JSE TOP 40 INDEX Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
ALJ.VOL.Z,FTSE/JSE TOP 40 INDEX Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
ALM.OI.Z,MINI FTSE/JSE TOP 40 INDEX Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
ALM.VOL.Z,MINI FTSE/JSE TOP 40 INDEX Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
COP.OI.Z,COPPER Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
COP.VOL.Z,COPPER Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
COR.OI.Z,CHICAGO CORN Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
COR.VOL.Z,CHICAGO CORN Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
CTO.OI.Z,FTSE/JSE CAPPED TOP 40 INDEX Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
CTO.VOL.Z,FTSE/JSE CAPPED TOP 40 INDEX Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
EAL.OI.Z,CBOT SOYBEAN MEAL Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
EAL.VOL.Z,CBOT SOYBEAN MEAL Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
EAN.OI.Z,CBOT SOYBEAN Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
EAN.VOL.Z,CBOT SOYBEAN Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
FIN.OI.Z,FTSE/JSE FINANCIAL 15 INDEX Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
FIN.VOL.Z,FTSE/JSE FINANCIAL 15 INDEX Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
FND.OI.Z,FTSE/JSE FINANCIAL AND INDUSTRIAL 30 Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
FND.VOL.Z,FTSE/JSE FINANCIAL AND INDUSTRIAL 30 Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
GOL.OI.Z,GOLD Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
GOL.VOL.Z,GOLD Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
KAN.OI.Z,KCBT HARD RED WINTER WHEAT Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
KAN.VOL.Z,KCBT HARD RED WINTER WHEAT Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
NDI.OI.Z,FTSE/JSE INDI 25 INDEX Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
NDI.VOL.Z,FTSE/JSE INDI 25 INDEX Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
OIL.OI.Z,CBOT SOYBEAN OILS Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
OIL.VOL.Z,CBOT SOYBEAN OILS Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
PLA.OI.Z,PLATINUM Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
PLA.VOL.Z,PLATINUM Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
RED.OI.Z,CHICAGO WHEAT Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
RED.VOL.Z,CHICAGO WHEAT Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
RES.OI.Z,FTSE/JSE RESI 10 INDEX Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
RES.VOL.Z,FTSE/JSE RESI 10 INDEX Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
SLV.OI.Z,SILVER Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
SLV.VOL.Z,SILVER Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
SUN.OI.Z,SUNFLOWER SEEDS Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
SUN.VOL.Z,SUNFLOWER SEEDS Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
WEA.OI.Z,WHEAT RANDFONTEIN Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
WEA.VOL.Z,WHEAT RANDFONTEIN Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
WMA.OI.Z,WHITE MAIZE Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
WMA.VOL.Z,WHITE MAIZE Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
WPT.OI.Z,WHITE MAIZE GRADE 2 Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
WPT.VOL.Z,WHITE MAIZE GRADE 2 Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
WTO.OI.Z,WEST TEXAS INTERMEDIATE CRUDE Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
WTO.VOL.Z,WEST TEXAS INTERMEDIATE CRUDE Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
YMA.OI.Z,YELLOW MAIZE Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
YMA.VOL.Z,YELLOW MAIZE Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
YPT.OI.Z,YELLOW MAIZE GRADE 2 Future Total Open Interest,SAFEX,SAFEX,COMBINED_FUTURE
YPT.VOL.Z,YELLOW MAIZE GRADE 2 Future Total Volume,SAFEX,SAFEX,COMBINED_FUTURE
