symbol,description,exchange,listedMarket,securityType
ALJ#C,FTSE/JSE TOP 40 INDEX Continuous Backadjusted,SAFEX,SAFEX,FUTURE
ALJ#,FTSE/JSE TOP 40 INDEX Continuous,SAFEX,SAFEX,FUTURE
ALJN25,FTSE/JSE TOP 40 INDEX July 2025,SAFEX,SAFEX,FUTURE
ALJQ25,FTSE/JSE TOP 40 INDEX August 2025,SAFEX,SAFEX,FUTURE
ALJU25,FTSE/JSE TOP 40 INDEX September 2025,SAFEX,SAFEX,FUTURE
ALJV25,FTSE/JSE TOP 40 INDEX October 2025,SAFEX,SAFEX,FUTURE
ALJX25,FTSE/JSE TOP 40 INDEX November 2025,SAFEX,SAFEX,FUTURE
ALJZ25,FTSE/JSE TOP 40 INDEX December 2025,SAFEX,SAFEX,FUTURE
ALJF26,FTSE/JSE TOP 40 INDEX January 2026,SAFEX,SAFEX,FUTURE
ALJG26,FTSE/JSE TOP 40 INDEX February 2026,SAFEX,SAFEX,FUTURE
ALJH26,FTSE/JSE TOP 40 INDEX March 2026,SAFEX,SAFEX,FUTURE
ALJJ26,FTSE/JSE TOP 40 INDEX April 2026,SAFEX,SAFEX,FUTURE
ALJK26,FTSE/JSE TOP 40 INDEX May 2026,SAFEX,SAFEX,FUTURE
ALJM26,FTSE/JSE TOP 40 INDEX June 2026,SAFEX,SAFEX,FUTURE
ALJN26,FTSE/JSE TOP 40 INDEX July 2026,SAFEX,SAFEX,FUTURE
ALJQ26,FTSE/JSE TOP 40 INDEX August 2026,SAFEX,SAFEX,FUTURE
ALJU26,FTSE/JSE TOP 40 INDEX September 2026,SAFEX,SAFEX,FUTURE
ALJV26,FTSE/JSE TOP 40 INDEX October 2026,SAFEX,SAFEX,FUTURE
ALJX26,FTSE/JSE TOP 40 INDEX November 2026,SAFEX,SAFEX,FUTURE
ALJF27,FTSE/JSE TOP 40 INDEX January 2027,SAFEX,SAFEX,FUTURE
ALJG27,FTSE/JSE TOP 40 INDEX February 2027,SAFEX,SAFEX,FUTURE
ALJH27,FTSE/JSE TOP 40 INDEX March 2027,SAFEX,SAFEX,FUTURE
ALJJ27,FTSE/JSE TOP 40 INDEX April 2027,SAFEX,SAFEX,FUTURE
ALJK27,FTSE/JSE TOP 40 INDEX May 2027,SAFEX,SAFEX,FUTURE
ALJM27,FTSE/JSE TOP 40 INDEX June 2027,SAFEX,SAFEX,FUTURE
ALJU27,FTSE/JSE TOP 40 INDEX September 2027,SAFEX,SAFEX,FUTURE
ALM#C,MINI FTSE/JSE TOP 40 INDEX Continuous Backadjusted,SAFEX,SAFEX,FUTURE
ALM#,MINI FTSE/JSE TOP 40 INDEX Continuous,SAFEX,SAFEX,FUTURE
ALMU25,MINI FTSE/JSE TOP 40 INDEX September 2025,SAFEX,SAFEX,FUTURE
ALMZ25,MINI FTSE/JSE TOP 40 INDEX December 2025,SAFEX,SAFEX,FUTURE
ALMH26,MINI FTSE/JSE TOP 40 INDEX March 2026,SAFEX,SAFEX,FUTURE
ALMM26,MINI FTSE/JSE TOP 40 INDEX June 2026,SAFEX,SAFEX,FUTURE
COP#C,COPPER Continuous Backadjusted,SAFEX,SAFEX,FUTURE
COP#,COPPER Continuous,SAFEX,SAFEX,FUTURE
COPU25,COPPER September 2025,SAFEX,SAFEX,FUTURE
COPZ25,COPPER December 2025,SAFEX,SAFEX,FUTURE
COR#C,CHICAGO CORN Continuous Backadjusted,SAFEX,SAFEX,FUTURE
COR#,CHICAGO CORN Continuous,SAFEX,SAFEX,FUTURE
CORU25,CHICAGO CORN September 2025,SAFEX,SAFEX,FUTURE
CORZ25,CHICAGO CORN December 2025,SAFEX,SAFEX,FUTURE
CORH26,CHICAGO CORN March 2026,SAFEX,SAFEX,FUTURE
CORN26,CHICAGO CORN July 2026,SAFEX,SAFEX,FUTURE
CTO#C,FTSE/JSE CAPPED TOP 40 INDEX Continuous Backadjusted,SAFEX,SAFEX,FUTURE
CTO#,FTSE/JSE CAPPED TOP 40 INDEX Continuous,SAFEX,SAFEX,FUTURE
CTON25,FTSE/JSE CAPPED TOP 40 INDEX July 2025,SAFEX,SAFEX,FUTURE
CTOQ25,FTSE/JSE CAPPED TOP 40 INDEX August 2025,SAFEX,SAFEX,FUTURE
CTOU25,FTSE/JSE CAPPED TOP 40 INDEX September 2025,SAFEX,SAFEX,FUTURE
CTOV25,FTSE/JSE CAPPED TOP 40 INDEX October 2025,SAFEX,SAFEX,FUTURE
CTOX25,FTSE/JSE CAPPED TOP 40 INDEX November 2025,SAFEX,SAFEX,FUTURE
CTOZ25,FTSE/JSE CAPPED TOP 40 INDEX December 2025,SAFEX,SAFEX,FUTURE
CTOF26,FTSE/JSE CAPPED TOP 40 INDEX January 2026,SAFEX,SAFEX,FUTURE
CTOG26,FTSE/JSE CAPPED TOP 40 INDEX February 2026,SAFEX,SAFEX,FUTURE
CTOH26,FTSE/JSE CAPPED TOP 40 INDEX March 2026,SAFEX,SAFEX,FUTURE
CTOJ26,FTSE/JSE CAPPED TOP 40 INDEX April 2026,SAFEX,SAFEX,FUTURE
CTOK26,FTSE/JSE CAPPED TOP 40 INDEX May 2026,SAFEX,SAFEX,FUTURE
CTOM26,FTSE/JSE CAPPED TOP 40 INDEX June 2026,SAFEX,SAFEX,FUTURE
CTON26,FTSE/JSE CAPPED TOP 40 INDEX July 2026,SAFEX,SAFEX,FUTURE
CTOQ26,FTSE/JSE CAPPED TOP 40 INDEX August 2026,SAFEX,SAFEX,FUTURE
CTOU26,FTSE/JSE CAPPED TOP 40 INDEX September 2026,SAFEX,SAFEX,FUTURE
CTOV26,FTSE/JSE CAPPED TOP 40 INDEX October 2026,SAFEX,SAFEX,FUTURE
CTOX26,FTSE/JSE CAPPED TOP 40 INDEX November 2026,SAFEX,SAFEX,FUTURE
