symbol,description,exchange,listedMarket,securityType
ALJU25-ALJM26,FTSE/JSE TOP 40 INDEX Sep 25/Jun 26,SAFEX,SAFEX,SPREAD
ALJU25-ALJH27,FTSE/JSE TOP 40 INDEX Sep 25/Mar 27,SAFEX,SAFEX,SPREAD
ALJU25-ALJZ27,FTSE/JSE TOP 40 INDEX Sep 25/Dec 27,SAFEX,SAFEX,SPREAD
ALJZ25-ALJU26,FTSE/JSE TOP 40 INDEX Dec 25/Sep 26,SAFEX,SAFEX,SPREAD
ALJZ25-ALJM27,FTSE/JSE TOP 40 INDEX Dec 25/Jun 27,SAFEX,SAFEX,SPREAD
ALJZ25-ALJH28,FTSE/JSE TOP 40 INDEX Dec 25/Mar 28,SAFEX,SAFEX,SPREAD
ALJH26-ALJZ26,FTSE/JSE TOP 40 INDEX Mar 26/Dec 26,SAFEX,SAFEX,SPREAD
ALJH26-ALJU27,FTSE/JSE TOP 40 INDEX Mar 26/Sep 27,SAFEX,SAFEX,SPREAD
ALJM26-ALJH27,FTSE/JSE TOP 40 INDEX Jun 26/Mar 27,SAFEX,SAFEX,SPREAD
ALJM26-ALJU28,FTSE/JSE TOP 40 INDEX Jun 26/Sep 28,SAFEX,SAFEX,SPREAD
ALJU26-ALJH28,FTSE/JSE TOP 40 INDEX Sep 26/Mar 28,SAFEX,SAFEX,SPREAD
CORU25-CORZ25,CHICAGO CORN Sep 25/Dec 25,SAFEX,SAFEX,SPREAD
CORU25-CORH26,CHICAGO CORN Sep 25/Mar 26,SAFEX,SAFEX,SPREAD
CORZ25-CORH26,CHICAGO CORN Dec 25/Mar 26,SAFEX,SAFEX,SPREAD
CORZ25-CORN26,CHICAGO CORN Dec 25/Jul 26,SAFEX,SAFEX,SPREAD
CORH26-CORN26,CHICAGO CORN Mar 26/Jul 26,SAFEX,SAFEX,SPREAD
EALU25-EALZ25,CBOT SOYBEAN MEAL Sep 25/Dec 25,SAFEX,SAFEX,SPREAD
EALU25-EALH26,CBOT SOYBEAN MEAL Sep 25/Mar 26,SAFEX,SAFEX,SPREAD
EALZ25-EALH26,CBOT SOYBEAN MEAL Dec 25/Mar 26,SAFEX,SAFEX,SPREAD
EANU25-EANX25,CBOT SOYBEAN Sep 25/Nov 25,SAFEX,SAFEX,SPREAD
EANU25-EANH26,CBOT SOYBEAN Sep 25/Mar 26,SAFEX,SAFEX,SPREAD
EANU25-EANK26,CBOT SOYBEAN Sep 25/May 26,SAFEX,SAFEX,SPREAD
EANX25-EANH26,CBOT SOYBEAN Nov 25/Mar 26,SAFEX,SAFEX,SPREAD
EANX25-EANK26,CBOT SOYBEAN Nov 25/May 26,SAFEX,SAFEX,SPREAD
EANH26-EANK26,CBOT SOYBEAN Mar 26/May 26,SAFEX,SAFEX,SPREAD
GOLU25-GOLM26,GOLD Sep 25/Jun 26,SAFEX,SAFEX,SPREAD
KANU25-KANZ25,KCBT HARD RED WINTER WHEAT Sep 25/Dec 25,SAFEX,SAFEX,SPREAD
KANU25-KANH26,KCBT HARD RED WINTER WHEAT Sep 25/Mar 26,SAFEX,SAFEX,SPREAD
KANZ25-KANH26,KCBT HARD RED WINTER WHEAT Dec 25/Mar 26,SAFEX,SAFEX,SPREAD
OILU25-OILH26,CBOT SOYBEAN OILS Sep 25/Mar 26,SAFEX,SAFEX,SPREAD
REDU25-REDZ25,CHICAGO WHEAT Sep 25/Dec 25,SAFEX,SAFEX,SPREAD
REDU25-REDH26,CHICAGO WHEAT Sep 25/Mar 26,SAFEX,SAFEX,SPREAD
REDZ25-REDH26,CHICAGO WHEAT Dec 25/Mar 26,SAFEX,SAFEX,SPREAD
SUNQ25-SUNU25,SUNFLOWER SEEDS Aug 25/Sep 25,SAFEX,SAFEX,SPREAD
SUNQ25-SUNZ25,SUNFLOWER SEEDS Aug 25/Dec 25,SAFEX,SAFEX,SPREAD
SUNU25-SUNZ25,SUNFLOWER SEEDS Sep 25/Dec 25,SAFEX,SAFEX,SPREAD
SUNU25-SUNH26,SUNFLOWER SEEDS Sep 25/Mar 26,SAFEX,SAFEX,SPREAD
SUNZ25-SUNH26,SUNFLOWER SEEDS Dec 25/Mar 26,SAFEX,SAFEX,SPREAD
SUNZ25-SUNK26,SUNFLOWER SEEDS Dec 25/May 26,SAFEX,SAFEX,SPREAD
SUNH26-SUNK26,SUNFLOWER SEEDS Mar 26/May 26,SAFEX,SAFEX,SPREAD
SUNH26-SUNN26,SUNFLOWER SEEDS Mar 26/Jul 26,SAFEX,SAFEX,SPREAD
SUNK26-SUNN26,SUNFLOWER SEEDS May 26/Jul 26,SAFEX,SAFEX,SPREAD
WEAN25-WEAQ25,WHEAT RANDFONTEIN Jul 25/Aug 25,SAFEX,SAFEX,SPREAD
WEAN25-WEAU25,WHEAT RANDFONTEIN Jul 25/Sep 25,SAFEX,SAFEX,SPREAD
WEAN25-WEAZ25,WHEAT RANDFONTEIN Jul 25/Dec 25,SAFEX,SAFEX,SPREAD
WEAQ25-WEAU25,WHEAT RANDFONTEIN Aug 25/Sep 25,SAFEX,SAFEX,SPREAD
WEAQ25-WEAZ25,WHEAT RANDFONTEIN Aug 25/Dec 25,SAFEX,SAFEX,SPREAD
WEAU25-WEAZ25,WHEAT RANDFONTEIN Sep 25/Dec 25,SAFEX,SAFEX,SPREAD
WEAU25-WEAH26,WHEAT RANDFONTEIN Sep 25/Mar 26,SAFEX,SAFEX,SPREAD
WEAZ25-WEAH26,WHEAT RANDFONTEIN Dec 25/Mar 26,SAFEX,SAFEX,SPREAD
WEAZ25-WEAK26,WHEAT RANDFONTEIN Dec 25/May 26,SAFEX,SAFEX,SPREAD
WEAH26-WEAK26,WHEAT RANDFONTEIN Mar 26/May 26,SAFEX,SAFEX,SPREAD
WEAH26-WEAN26,WHEAT RANDFONTEIN Mar 26/Jul 26,SAFEX,SAFEX,SPREAD
WEAK26-WEAN26,WHEAT RANDFONTEIN May 26/Jul 26,SAFEX,SAFEX,SPREAD
WMAN25-WMAQ25,WHITE MAIZE Jul 25/Aug 25,SAFEX,SAFEX,SPREAD
WMAN25-WMAU25,WHITE MAIZE Jul 25/Sep 25,SAFEX,SAFEX,SPREAD
WMAN25-WMAZ25,WHITE MAIZE Jul 25/Dec 25,SAFEX,SAFEX,SPREAD
WMAQ25-WMAU25,WHITE MAIZE Aug 25/Sep 25,SAFEX,SAFEX,SPREAD
WMAQ25-WMAZ25,WHITE MAIZE Aug 25/Dec 25,SAFEX,SAFEX,SPREAD
WMAQ25-WMAG26,WHITE MAIZE Aug 25/Feb 26,SAFEX,SAFEX,SPREAD
WMAU25-WMAZ25,WHITE MAIZE Sep 25/Dec 25,SAFEX,SAFEX,SPREAD
