symbol,description,exchange,listedMarket,securityType
BBQ25C.OI.Z,MINI JAPANESE GOVERNMENT BOND Aug 2025 Future Option Call Total Open Interest,SGX,SGX,COMBINED_FOPTION
BBQ25C.VOL.Z,MINI JAPANESE GOVERNMENT BOND Aug 2025 Future Option Call Total Volume,SGX,SGX,COMBINED_FOPTION
BBQ25P.OI.Z,MINI JAPANESE GOVERNMENT BOND Aug 2025 Future Option Put Total Open Interest,SGX,SGX,COMBINED_FOPTION
BBQ25P.VOL.Z,MINI JAPANESE GOVERNMENT BOND Aug 2025 Future Option Put Total Volume,SGX,SGX,COMBINED_FOPTION
BBU25C.OI.Z,MINI JAPANESE GOVERNMENT BOND Sep 2025 Future Option Call Total Open Interest,SGX,SGX,COMBINED_FOPTION
BBU25C.VOL.Z,MINI JAPANESE GOVERNMENT BOND Sep 2025 Future Option Call Total Volume,SGX,SGX,COMBINED_FOPTION
BBU25P.OI.Z,MINI JAPANESE GOVERNMENT BOND Sep 2025 Future Option Put Total Open Interest,SGX,SGX,COMBINED_FOPTION
BBU25P.VOL.Z,MINI JAPANESE GOVERNMENT BOND Sep 2025 Future Option Put Total Volume,SGX,SGX,COMBINED_FOPTION
NNQ25C.OI.Z,NIKKEI 225 YEN INDEX Aug 2025 Future Option Call Total Open Interest,SGX,SGX,COMBINED_FOPTION
NNQ25C.VOL.Z,NIKKEI 225 YEN INDEX Aug 2025 Future Option Call Total Volume,SGX,SGX,COMBINED_FOPTION
NNQ25P.OI.Z,NIKKEI 225 YEN INDEX Aug 2025 Future Option Put Total Open Interest,SGX,SGX,COMBINED_FOPTION
NNQ25P.VOL.Z,NIKKEI 225 YEN INDEX Aug 2025 Future Option Put Total Volume,SGX,SGX,COMBINED_FOPTION
NNU25C.OI.Z,NIKKEI 225 YEN INDEX Sep 2025 Future Option Call Total Open Interest,SGX,SGX,COMBINED_FOPTION
NNU25C.VOL.Z,NIKKEI 225 YEN INDEX Sep 2025 Future Option Call Total Volume,SGX,SGX,COMBINED_FOPTION
NNU25P.OI.Z,NIKKEI 225 YEN INDEX Sep 2025 Future Option Put Total Open Interest,SGX,SGX,COMBINED_FOPTION
NNU25P.VOL.Z,NIKKEI 225 YEN INDEX Sep 2025 Future Option Put Total Volume,SGX,SGX,COMBINED_FOPTION
NNV25C.OI.Z,NIKKEI 225 YEN INDEX Oct 2025 Future Option Call Total Open Interest,SGX,SGX,COMBINED_FOPTION
NNV25C.VOL.Z,NIKKEI 225 YEN INDEX Oct 2025 Future Option Call Total Volume,SGX,SGX,COMBINED_FOPTION
NNV25P.OI.Z,NIKKEI 225 YEN INDEX Oct 2025 Future Option Put Total Open Interest,SGX,SGX,COMBINED_FOPTION
NNV25P.VOL.Z,NIKKEI 225 YEN INDEX Oct 2025 Future Option Put Total Volume,SGX,SGX,COMBINED_FOPTION
NNX25C.OI.Z,NIKKEI 225 YEN INDEX Nov 2025 Future Option Call Total Open Interest,SGX,SGX,COMBINED_FOPTION
NNX25C.VOL.Z,NIKKEI 225 YEN INDEX Nov 2025 Future Option Call Total Volume,SGX,SGX,COMBINED_FOPTION
NNX25P.OI.Z,NIKKEI 225 YEN INDEX Nov 2025 Future Option Put Total Open Interest,SGX,SGX,COMBINED_FOPTION
NNX25P.VOL.Z,NIKKEI 225 YEN INDEX Nov 2025 Future Option Put Total Volume,SGX,SGX,COMBINED_FOPTION
NNZ25C.OI.Z,NIKKEI 225 YEN INDEX Dec 2025 Future Option Call Total Open Interest,SGX,SGX,COMBINED_FOPTION
NNZ25C.VOL.Z,NIKKEI 225 YEN INDEX Dec 2025 Future Option Call Total Volume,SGX,SGX,COMBINED_FOPTION
NNZ25P.OI.Z,NIKKEI 225 YEN INDEX Dec 2025 Future Option Put Total Open Interest,SGX,SGX,COMBINED_FOPTION
NNZ25P.VOL.Z,NIKKEI 225 YEN INDEX Dec 2025 Future Option Put Total Volume,SGX,SGX,COMBINED_FOPTION
NNF26C.OI.Z,NIKKEI 225 YEN INDEX Jan 2026 Future Option Call Total Open Interest,SGX,SGX,COMBINED_FOPTION
