symbol,description,exchange,listedMarket,securityType
2EW.OI.Z,BALTIC PANAMAX 82 ROUTE P2E Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
2EW.VOL.Z,BALTIC PANAMAX 82 ROUTE P2E Future Total Volume,SGX,SGX,COMBINED_FUTURE
AXJ.OI.Z,FTSE ASIA EX-JAPAN INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
AXJ.VOL.Z,FTSE ASIA EX-JAPAN INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
BB.OI.Z,MINI JAPANESE GOVERNMENT BOND Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
BB.VOL.Z,MINI JAPANESE GOVERNMENT BOND Future Total Volume,SGX,SGX,COMBINED_FUTURE
C3F.OI.Z,BALTIC CAPESIZE ROUTE C3 Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
C3F.VOL.Z,BALTIC CAPESIZE ROUTE C3 Future Total Volume,SGX,SGX,COMBINED_FUTURE
C5F.OI.Z,BALTIC CAPESIZE ROUTE C5 Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
C5F.VOL.Z,BALTIC CAPESIZE ROUTE C5 Future Total Volume,SGX,SGX,COMBINED_FUTURE
C7F.OI.Z,BALTIC CAPESIZE ROUTE C7 Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
C7F.VOL.Z,BALTIC CAPESIZE ROUTE C7 Future Total Volume,SGX,SGX,COMBINED_FUTURE
CN.OI.Z,FTSE CHINA A50 Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
CN.VOL.Z,FTSE CHINA A50 Future Total Volume,SGX,SGX,COMBINED_FUTURE
CWF.OI.Z,BALTIC CAPESIZE TIME CHARTER AVG (5 RT) Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
CWF.VOL.Z,BALTIC CAPESIZE TIME CHARTER AVG (5 RT) Future Total Volume,SGX,SGX,COMBINED_FUTURE
EJP.OI.Z,FTSE BLOSSOM JAPAN INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
EJP.VOL.Z,FTSE BLOSSOM JAPAN INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
EMA.OI.Z,FTSE EMERGING MARKET ASIA INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
EMA.VOL.Z,FTSE EMERGING MARKET ASIA INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
FID.OI.Z,FTSE INDONESIA Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
FID.VOL.Z,FTSE INDONESIA Future Total Volume,SGX,SGX,COMBINED_FUTURE
FMY.OI.Z,FTSE MALAYSIA Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
FMY.VOL.Z,FTSE MALAYSIA Future Total Volume,SGX,SGX,COMBINED_FUTURE
FNA.OI.Z,FTSE SAUDI ARABIA NTR (USD) INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
FNA.VOL.Z,FTSE SAUDI ARABIA NTR (USD) INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
FNY.OI.Z,FTSE MALAYSIA NTR (USD) Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
FNY.VOL.Z,FTSE MALAYSIA NTR (USD) Future Total Volume,SGX,SGX,COMBINED_FUTURE
FPH.OI.Z,FTSE PHILIPPINES Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
FPH.VOL.Z,FTSE PHILIPPINES Future Total Volume,SGX,SGX,COMBINED_FUTURE
FTH.OI.Z,FTSE THAILAND INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
FTH.VOL.Z,FTSE THAILAND INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
FVN.OI.Z,FTSE VIETNAM 30  INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
FVN.VOL.Z,FTSE VIETNAM 30  INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
HWF.OI.Z,BALTIC HANDYSIZE TIME CHARTER AVG (7 RT) Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
HWF.VOL.Z,BALTIC HANDYSIZE TIME CHARTER AVG (7 RT) Future Total Volume,SGX,SGX,COMBINED_FUTURE
JG.OI.Z,10 YR JAPANESE GOVERNMENT BOND Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
JG.VOL.Z,10 YR JAPANESE GOVERNMENT BOND Future Total Volume,SGX,SGX,COMBINED_FUTURE
JRT.OI.Z,FTSE EPRA NAREIT ASIA EX JAPAN Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
JRT.VOL.Z,FTSE EPRA NAREIT ASIA EX JAPAN Future Total Volume,SGX,SGX,COMBINED_FUTURE
NAU.OI.Z,FTSE AUSTRALIA NTR (USD) INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
NAU.VOL.Z,FTSE AUSTRALIA NTR (USD) INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
NEA.OI.Z,FTSE EMERGING MARKET ASIA NTR (USD) Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
NEA.VOL.Z,FTSE EMERGING MARKET ASIA NTR (USD) Future Total Volume,SGX,SGX,COMBINED_FUTURE
NID.OI.Z,FTSE INDONESIA NTR (USD) Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
NID.VOL.Z,FTSE INDONESIA NTR (USD) Future Total Volume,SGX,SGX,COMBINED_FUTURE
NN.OI.Z,NIKKEI 225 YEN INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
NN.VOL.Z,NIKKEI 225 YEN INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
NPH.OI.Z,FTSE PHILIPPINES NTR (USD) Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
NPH.VOL.Z,FTSE PHILIPPINES NTR (USD) Future Total Volume,SGX,SGX,COMBINED_FUTURE
NTH.OI.Z,FTSE THAILAND NTR (USD) Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
NTH.VOL.Z,FTSE THAILAND NTR (USD) Future Total Volume,SGX,SGX,COMBINED_FUTURE
NTW.OI.Z,FTSE TAIWAN NTR (USD) INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
NTW.VOL.Z,FTSE TAIWAN NTR (USD) INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
NU.OI.Z,NIKKEI 225 DOLLAR INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
NU.VOL.Z,NIKKEI 225 DOLLAR INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
NXJ.OI.Z,FTSE ASIA EX-JAPAN NTR (USD) INDEX Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
NXJ.VOL.Z,FTSE ASIA EX-JAPAN NTR (USD) INDEX Future Total Volume,SGX,SGX,COMBINED_FUTURE
PVF.OI.Z,BALTIC PANAMAX TIME CHARTER AVG (4 RT) Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
PVF.VOL.Z,BALTIC PANAMAX TIME CHARTER AVG (4 RT) Future Total Volume,SGX,SGX,COMBINED_FUTURE
PWF.OI.Z,BALTIC PANAMAX TIME CHARTER AVG (5 RT) Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
PWF.VOL.Z,BALTIC PANAMAX TIME CHARTER AVG (5 RT) Future Total Volume,SGX,SGX,COMBINED_FUTURE
SND.OI.Z,NIKKEI STOCK AVERAGE DIVIDEND POINT Future Total Open Interest,SGX,SGX,COMBINED_FUTURE
