symbol,description,exchange,listedMarket,securityType
2EW#C,BALTIC PANAMAX 82 ROUTE P2E Continuous Backadjusted,SGX,SGX,FUTURE
2EW#,BALTIC PANAMAX 82 ROUTE P2E Continuous,SGX,SGX,FUTURE
2EWN25,BALTIC PANAMAX 82 ROUTE P2E July 2025,SGX,SGX,FUTURE
2EWQ25,BALTIC PANAMAX 82 ROUTE P2E August 2025,SGX,SGX,FUTURE
2EWU25,BALTIC PANAMAX 82 ROUTE P2E September 2025,SGX,SGX,FUTURE
2EWV25,BALTIC PANAMAX 82 ROUTE P2E October 2025,SGX,SGX,FUTURE
2EWX25,BALTIC PANAMAX 82 ROUTE P2E November 2025,SGX,SGX,FUTURE
2EWZ25,BALTIC PANAMAX 82 ROUTE P2E December 2025,SGX,SGX,FUTURE
2EWF26,BALTIC PANAMAX 82 ROUTE P2E January 2026,SGX,SGX,FUTURE
2EWG26,BALTIC PANAMAX 82 ROUTE P2E February 2026,SGX,SGX,FUTURE
2EWH26,BALTIC PANAMAX 82 ROUTE P2E March 2026,SGX,SGX,FUTURE
2EWJ26,BALTIC PANAMAX 82 ROUTE P2E April 2026,SGX,SGX,FUTURE
2EWK26,BALTIC PANAMAX 82 ROUTE P2E May 2026,SGX,SGX,FUTURE
2EWM26,BALTIC PANAMAX 82 ROUTE P2E June 2026,SGX,SGX,FUTURE
2EWN26,BALTIC PANAMAX 82 ROUTE P2E July 2026,SGX,SGX,FUTURE
2EWQ26,BALTIC PANAMAX 82 ROUTE P2E August 2026,SGX,SGX,FUTURE
2EWU26,BALTIC PANAMAX 82 ROUTE P2E September 2026,SGX,SGX,FUTURE
2EWV26,BALTIC PANAMAX 82 ROUTE P2E October 2026,SGX,SGX,FUTURE
2EWX26,BALTIC PANAMAX 82 ROUTE P2E November 2026,SGX,SGX,FUTURE
2EWZ26,BALTIC PANAMAX 82 ROUTE P2E December 2026,SGX,SGX,FUTURE
2EWF27,BALTIC PANAMAX 82 ROUTE P2E January 2027,SGX,SGX,FUTURE
2EWG27,BALTIC PANAMAX 82 ROUTE P2E February 2027,SGX,SGX,FUTURE
2EWH27,BALTIC PANAMAX 82 ROUTE P2E March 2027,SGX,SGX,FUTURE
2EWJ27,BALTIC PANAMAX 82 ROUTE P2E April 2027,SGX,SGX,FUTURE
2EWK27,BALTIC PANAMAX 82 ROUTE P2E May 2027,SGX,SGX,FUTURE
2EWM27,BALTIC PANAMAX 82 ROUTE P2E June 2027,SGX,SGX,FUTURE
2EWN27,BALTIC PANAMAX 82 ROUTE P2E July 2027,SGX,SGX,FUTURE
2EWQ27,BALTIC PANAMAX 82 ROUTE P2E August 2027,SGX,SGX,FUTURE
2EWU27,BALTIC PANAMAX 82 ROUTE P2E September 2027,SGX,SGX,FUTURE
2EWV27,BALTIC PANAMAX 82 ROUTE P2E October 2027,SGX,SGX,FUTURE
2EWX27,BALTIC PANAMAX 82 ROUTE P2E November 2027,SGX,SGX,FUTURE
2EWZ27,BALTIC PANAMAX 82 ROUTE P2E December 2027,SGX,SGX,FUTURE
2EWF28,BALTIC PANAMAX 82 ROUTE P2E January 2028,SGX,SGX,FUTURE
2EWG28,BALTIC PANAMAX 82 ROUTE P2E February 2028,SGX,SGX,FUTURE
2EWH28,BALTIC PANAMAX 82 ROUTE P2E March 2028,SGX,SGX,FUTURE
2EWJ28,BALTIC PANAMAX 82 ROUTE P2E April 2028,SGX,SGX,FUTURE
2EWK28,BALTIC PANAMAX 82 ROUTE P2E May 2028,SGX,SGX,FUTURE
2EWM28,BALTIC PANAMAX 82 ROUTE P2E June 2028,SGX,SGX,FUTURE
2EWN28,BALTIC PANAMAX 82 ROUTE P2E July 2028,SGX,SGX,FUTURE
2EWQ28,BALTIC PANAMAX 82 ROUTE P2E August 2028,SGX,SGX,FUTURE
2EWU28,BALTIC PANAMAX 82 ROUTE P2E September 2028,SGX,SGX,FUTURE
2EWV28,BALTIC PANAMAX 82 ROUTE P2E October 2028,SGX,SGX,FUTURE
2EWX28,BALTIC PANAMAX 82 ROUTE P2E November 2028,SGX,SGX,FUTURE
2EWZ28,BALTIC PANAMAX 82 ROUTE P2E December 2028,SGX,SGX,FUTURE
AXJ#C,FTSE ASIA EX-JAPAN INDEX Continuous Backadjusted,SGX,SGX,FUTURE
AXJ#,FTSE ASIA EX-JAPAN INDEX Continuous,SGX,SGX,FUTURE
AXJQ25,FTSE ASIA EX-JAPAN INDEX August 2025,SGX,SGX,FUTURE
AXJU25,FTSE ASIA EX-JAPAN INDEX September 2025,SGX,SGX,FUTURE
AXJV25,FTSE ASIA EX-JAPAN INDEX October 2025,SGX,SGX,FUTURE
AXJZ25,FTSE ASIA EX-JAPAN INDEX December 2025,SGX,SGX,FUTURE
AXJH26,FTSE ASIA EX-JAPAN INDEX March 2026,SGX,SGX,FUTURE
AXJM26,FTSE ASIA EX-JAPAN INDEX June 2026,SGX,SGX,FUTURE
AXJU26,FTSE ASIA EX-JAPAN INDEX September 2026,SGX,SGX,FUTURE
AXJZ26,FTSE ASIA EX-JAPAN INDEX December 2026,SGX,SGX,FUTURE
AXJH27,FTSE ASIA EX-JAPAN INDEX March 2027,SGX,SGX,FUTURE
AXJM27,FTSE ASIA EX-JAPAN INDEX June 2027,SGX,SGX,FUTURE
AXJU27,FTSE ASIA EX-JAPAN INDEX September 2027,SGX,SGX,FUTURE
AXJZ27,FTSE ASIA EX-JAPAN INDEX December 2027,SGX,SGX,FUTURE
AXJH28,FTSE ASIA EX-JAPAN INDEX March 2028,SGX,SGX,FUTURE
AXJM28,FTSE ASIA EX-JAPAN INDEX June 2028,SGX,SGX,FUTURE
BB#C,MINI JAPANESE GOVERNMENT BOND Continuous Backadjusted,SGX,SGX,FUTURE
BB#,MINI JAPANESE GOVERNMENT BOND Continuous,SGX,SGX,FUTURE
BBU25,MINI JAPANESE GOVERNMENT BOND September 2025,SGX,SGX,FUTURE
BBZ25,MINI JAPANESE GOVERNMENT BOND December 2025,SGX,SGX,FUTURE
BBH26,MINI JAPANESE GOVERNMENT BOND March 2026,SGX,SGX,FUTURE
BBM26,MINI JAPANESE GOVERNMENT BOND June 2026,SGX,SGX,FUTURE
BBU26,MINI JAPANESE GOVERNMENT BOND September 2026,SGX,SGX,FUTURE
C3F#C,BALTIC CAPESIZE ROUTE C3 Continuous Backadjusted,SGX,SGX,FUTURE
C3F#,BALTIC CAPESIZE ROUTE C3 Continuous,SGX,SGX,FUTURE
C3FN25,BALTIC CAPESIZE ROUTE C3 July 2025,SGX,SGX,FUTURE
C3FQ25,BALTIC CAPESIZE ROUTE C3 August 2025,SGX,SGX,FUTURE
C3FU25,BALTIC CAPESIZE ROUTE C3 September 2025,SGX,SGX,FUTURE
C3FV25,BALTIC CAPESIZE ROUTE C3 October 2025,SGX,SGX,FUTURE
C3FX25,BALTIC CAPESIZE ROUTE C3 November 2025,SGX,SGX,FUTURE
C3FZ25,BALTIC CAPESIZE ROUTE C3 December 2025,SGX,SGX,FUTURE
C3FF26,BALTIC CAPESIZE ROUTE C3 January 2026,SGX,SGX,FUTURE
C3FG26,BALTIC CAPESIZE ROUTE C3 February 2026,SGX,SGX,FUTURE
C3FH26,BALTIC CAPESIZE ROUTE C3 March 2026,SGX,SGX,FUTURE
C3FJ26,BALTIC CAPESIZE ROUTE C3 April 2026,SGX,SGX,FUTURE
C3FK26,BALTIC CAPESIZE ROUTE C3 May 2026,SGX,SGX,FUTURE
C3FM26,BALTIC CAPESIZE ROUTE C3 June 2026,SGX,SGX,FUTURE
C3FN26,BALTIC CAPESIZE ROUTE C3 July 2026,SGX,SGX,FUTURE
C3FQ26,BALTIC CAPESIZE ROUTE C3 August 2026,SGX,SGX,FUTURE
C3FU26,BALTIC CAPESIZE ROUTE C3 September 2026,SGX,SGX,FUTURE
C3FV26,BALTIC CAPESIZE ROUTE C3 October 2026,SGX,SGX,FUTURE
C3FX26,BALTIC CAPESIZE ROUTE C3 November 2026,SGX,SGX,FUTURE
C3FZ26,BALTIC CAPESIZE ROUTE C3 December 2026,SGX,SGX,FUTURE
C3FF27,BALTIC CAPESIZE ROUTE C3 January 2027,SGX,SGX,FUTURE
C3FG27,BALTIC CAPESIZE ROUTE C3 February 2027,SGX,SGX,FUTURE
C3FH27,BALTIC CAPESIZE ROUTE C3 March 2027,SGX,SGX,FUTURE
C3FJ27,BALTIC CAPESIZE ROUTE C3 April 2027,SGX,SGX,FUTURE
C3FK27,BALTIC CAPESIZE ROUTE C3 May 2027,SGX,SGX,FUTURE
C3FM27,BALTIC CAPESIZE ROUTE C3 June 2027,SGX,SGX,FUTURE
C3FN27,BALTIC CAPESIZE ROUTE C3 July 2027,SGX,SGX,FUTURE
C3FQ27,BALTIC CAPESIZE ROUTE C3 August 2027,SGX,SGX,FUTURE
C3FU27,BALTIC CAPESIZE ROUTE C3 September 2027,SGX,SGX,FUTURE
C3FV27,BALTIC CAPESIZE ROUTE C3 October 2027,SGX,SGX,FUTURE
C3FX27,BALTIC CAPESIZE ROUTE C3 November 2027,SGX,SGX,FUTURE
C3FZ27,BALTIC CAPESIZE ROUTE C3 December 2027,SGX,SGX,FUTURE
C3FF28,BALTIC CAPESIZE ROUTE C3 January 2028,SGX,SGX,FUTURE
C3FG28,BALTIC CAPESIZE ROUTE C3 February 2028,SGX,SGX,FUTURE
C3FH28,BALTIC CAPESIZE ROUTE C3 March 2028,SGX,SGX,FUTURE
C3FJ28,BALTIC CAPESIZE ROUTE C3 April 2028,SGX,SGX,FUTURE
C3FK28,BALTIC CAPESIZE ROUTE C3 May 2028,SGX,SGX,FUTURE
C3FM28,BALTIC CAPESIZE ROUTE C3 June 2028,SGX,SGX,FUTURE
C3FN28,BALTIC CAPESIZE ROUTE C3 July 2028,SGX,SGX,FUTURE
C3FQ28,BALTIC CAPESIZE ROUTE C3 August 2028,SGX,SGX,FUTURE
C3FU28,BALTIC CAPESIZE ROUTE C3 September 2028,SGX,SGX,FUTURE
C3FV28,BALTIC CAPESIZE ROUTE C3 October 2028,SGX,SGX,FUTURE
