symbol,description,exchange,listedMarket,securityType
CASN25C.OI.Z,COKING COAL FOB AUSTRALIA SWAP Jul 2025 Future Option Call Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASN25C.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Jul 2025 Future Option Call Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASN25P.OI.Z,COKING COAL FOB AUSTRALIA SWAP Jul 2025 Future Option Put Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASN25P.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Jul 2025 Future Option Put Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASQ25C.OI.Z,COKING COAL FOB AUSTRALIA SWAP Aug 2025 Future Option Call Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASQ25C.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Aug 2025 Future Option Call Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASQ25P.OI.Z,COKING COAL FOB AUSTRALIA SWAP Aug 2025 Future Option Put Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASQ25P.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Aug 2025 Future Option Put Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASU25C.OI.Z,COKING COAL FOB AUSTRALIA SWAP Sep 2025 Future Option Call Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASU25C.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Sep 2025 Future Option Call Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASU25P.OI.Z,COKING COAL FOB AUSTRALIA SWAP Sep 2025 Future Option Put Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASU25P.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Sep 2025 Future Option Put Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASV25C.OI.Z,COKING COAL FOB AUSTRALIA SWAP Oct 2025 Future Option Call Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASV25C.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Oct 2025 Future Option Call Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASV25P.OI.Z,COKING COAL FOB AUSTRALIA SWAP Oct 2025 Future Option Put Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASV25P.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Oct 2025 Future Option Put Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASX25C.OI.Z,COKING COAL FOB AUSTRALIA SWAP Nov 2025 Future Option Call Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASX25C.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Nov 2025 Future Option Call Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASX25P.OI.Z,COKING COAL FOB AUSTRALIA SWAP Nov 2025 Future Option Put Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASX25P.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Nov 2025 Future Option Put Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASZ25C.OI.Z,COKING COAL FOB AUSTRALIA SWAP Dec 2025 Future Option Call Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASZ25C.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Dec 2025 Future Option Call Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
CASZ25P.OI.Z,COKING COAL FOB AUSTRALIA SWAP Dec 2025 Future Option Put Total Open Interest,SGXAC,SGXAC,COMBINED_FOPTION
CASZ25P.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Dec 2025 Future Option Put Total Volume,SGXAC,SGXAC,COMBINED_FOPTION
