symbol,description,exchange,listedMarket,securityType
58M.OI.Z,SGX MB IRON ORE 58% DERIVATIVES SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
58M.VOL.Z,SGX MB IRON ORE 58% DERIVATIVES SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
65S.OI.Z,SGX MB IRON ORE 65% DERIVATIVES SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
65S.VOL.Z,SGX MB IRON ORE 65% DERIVATIVES SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
AMA.OI.Z,AMMONIA CFR EAST ASIA Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
AMA.VOL.Z,AMMONIA CFR EAST ASIA Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
AMM.OI.Z,AMMONIA FOB MIDDLE EAST Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
AMM.VOL.Z,AMMONIA FOB MIDDLE EAST Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
BNS.OI.Z,BZ-NAPHTHA SPREAD SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
BNS.VOL.Z,BZ-NAPHTHA SPREAD SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
BZN.OI.Z,BZ-NAPHTHA SPREAD Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
BZN.VOL.Z,BZ-NAPHTHA SPREAD Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
BZS.OI.Z,BENZENE FOB KOREA SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
BZS.VOL.Z,BENZENE FOB KOREA SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
CAS.OI.Z,COKING COAL FOB AUSTRALIA SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
CAS.VOL.Z,COKING COAL FOB AUSTRALIA SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
F1S.OI.Z,FUEL OIL (MINI/FULL SIZED)180CST SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
F1S.VOL.Z,FUEL OIL (MINI/FULL SIZED)180CST SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
F3S.OI.Z,FUEL OIL (MINI/FULL SIZED)380CST SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
F3S.VOL.Z,FUEL OIL (MINI/FULL SIZED)380CST SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
F5F.OI.Z,SGX PLATTS MARINE FUEL 0.5% FOB Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
F5F.VOL.Z,SGX PLATTS MARINE FUEL 0.5% FOB Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
FES.OI.Z,SGX TSI IRON ORE 62% DERIVATIVES SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
FES.VOL.Z,SGX TSI IRON ORE 62% DERIVATIVES SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
GOS.OI.Z,GASOIL FOB SINGAPORE SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
GOS.VOL.Z,GASOIL FOB SINGAPORE SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
ICM.OI.Z,ICIS METHANOL CFR S.E. ASIA Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
ICM.VOL.Z,ICIS METHANOL CFR S.E. ASIA Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
LP.OI.Z,LUMP PREMIUM Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
LP.VOL.Z,LUMP PREMIUM Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
LPS.OI.Z,LUMP PREMIUM SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
LPS.VOL.Z,LUMP PREMIUM SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
M42.OI.Z,INDONESIAN 4200KC GAR FOB (M42) Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
M42.VOL.Z,INDONESIAN 4200KC GAR FOB (M42) Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
M58.OI.Z,SGX MB IRON ORE 58% DERIVATIVES Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
M58.VOL.Z,SGX MB IRON ORE 58% DERIVATIVES Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
M65.OI.Z,SGX MB IRON ORE 65% DERIVATIVES Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
M65.VOL.Z,SGX MB IRON ORE 65% DERIVATIVES Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
MC.OI.Z,ICIS METHANOL CFR CHINA SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
MC.VOL.Z,ICIS METHANOL CFR CHINA SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
MCF.OI.Z,ICIS METHANOL CFR CHINA Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
MCF.VOL.Z,ICIS METHANOL CFR CHINA Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
MEG.OI.Z,MONO ETHYLENE GLYCOL Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
MEG.VOL.Z,MONO ETHYLENE GLYCOL Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
MF5.OI.Z,SGX PLATTS MARINE FUEL 0.5% FOB SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
MF5.VOL.Z,SGX PLATTS MARINE FUEL 0.5% FOB SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
MS.OI.Z,ICIS METHANOL CFR S.E. ASIA SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
MS.VOL.Z,ICIS METHANOL CFR S.E. ASIA SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
MTF.OI.Z,PLATTS METHANOL CFR CHINA Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
MTF.VOL.Z,PLATTS METHANOL CFR CHINA Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
MTX.OI.Z,PLATTS METHANOL CFR CHINA SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
MTX.VOL.Z,PLATTS METHANOL CFR CHINA SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
MXF.OI.Z,ISOMER MX FOB KOREA Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
MXF.VOL.Z,ISOMER MX FOB KOREA Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
NJS.OI.Z,NAPHTHA CFR JAPAN SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
NJS.VOL.Z,NAPHTHA CFR JAPAN SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
PXN.OI.Z,PX-NAPHTHA SPREAD Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
PXN.VOL.Z,PX-NAPHTHA SPREAD Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
PXT.OI.Z,PX CFR TAIWAN/CHINA SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
PXT.VOL.Z,PX CFR TAIWAN/CHINA SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
RBF.OI.Z,SHANGHAI REBAR Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
RBF.VOL.Z,SHANGHAI REBAR Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
RRT.OI.Z,SGX SICOM RSS 3 FUTURES Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
RRT.VOL.Z,SGX SICOM RSS 3 FUTURES Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
RTF.OI.Z,SGX SICOM TSR 20 FUTURES Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
RTF.VOL.Z,SGX SICOM TSR 20 FUTURES Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
S42.OI.Z,INDONESIAN 4200KC GAR FOB (M42) SWAP Future Total Open Interest,SGXAC,SGXAC,COMBINED_FUTURE
S42.VOL.Z,INDONESIAN 4200KC GAR FOB (M42) SWAP Future Total Volume,SGXAC,SGXAC,COMBINED_FUTURE
