symbol,description,exchange,listedMarket,securityType
CASQ25C18000,COKING COAL FOB AUSTRALIA August 2025 Call 18000,SGXAC,SGXAC,FOPTION
CASQ25P18000,COKING COAL FOB AUSTRALIA August 2025 Put 18000,SGXAC,SGXAC,FOPTION
CASU25C18000,COKING COAL FOB AUSTRALIA September 2025 Call 18000,SGXAC,SGXAC,FOPTION
CASU25P18000,COKING COAL FOB AUSTRALIA September 2025 Put 18000,SGXAC,SGXAC,FOPTION
CASV25C18000,COKING COAL FOB AUSTRALIA October 2025 Call 18000,SGXAC,SGXAC,FOPTION
CASV25P18000,COKING COAL FOB AUSTRALIA October 2025 Put 18000,SGXAC,SGXAC,FOPTION
CASX25C18000,COKING COAL FOB AUSTRALIA November 2025 Call 18000,SGXAC,SGXAC,FOPTION
CASX25P18000,COKING COAL FOB AUSTRALIA November 2025 Put 18000,SGXAC,SGXAC,FOPTION
CASZ25C18000,COKING COAL FOB AUSTRALIA December 2025 Call 18000,SGXAC,SGXAC,FOPTION
CASZ25P18000,COKING COAL FOB AUSTRALIA December 2025 Put 18000,SGXAC,SGXAC,FOPTION
CASF26C24000,COKING COAL FOB AUSTRALIA January 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASF26P24000,COKING COAL FOB AUSTRALIA January 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASG26C24000,COKING COAL FOB AUSTRALIA February 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASG26P24000,COKING COAL FOB AUSTRALIA February 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASH26C24000,COKING COAL FOB AUSTRALIA March 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASH26P24000,COKING COAL FOB AUSTRALIA March 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASJ26C24000,COKING COAL FOB AUSTRALIA April 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASJ26P24000,COKING COAL FOB AUSTRALIA April 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASK26C24000,COKING COAL FOB AUSTRALIA May 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASK26P24000,COKING COAL FOB AUSTRALIA May 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASM26C24000,COKING COAL FOB AUSTRALIA June 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASM26P24000,COKING COAL FOB AUSTRALIA June 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASN26C24000,COKING COAL FOB AUSTRALIA July 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASN26P24000,COKING COAL FOB AUSTRALIA July 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASQ26C24000,COKING COAL FOB AUSTRALIA August 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASQ26P24000,COKING COAL FOB AUSTRALIA August 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASU26C24000,COKING COAL FOB AUSTRALIA September 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASU26P24000,COKING COAL FOB AUSTRALIA September 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASV26C24000,COKING COAL FOB AUSTRALIA October 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASV26P24000,COKING COAL FOB AUSTRALIA October 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASX26C24000,COKING COAL FOB AUSTRALIA November 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASX26P24000,COKING COAL FOB AUSTRALIA November 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASZ26C24000,COKING COAL FOB AUSTRALIA December 2026 Call 24000,SGXAC,SGXAC,FOPTION
CASZ26P24000,COKING COAL FOB AUSTRALIA December 2026 Put 24000,SGXAC,SGXAC,FOPTION
CASF27C24000,COKING COAL FOB AUSTRALIA January 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASF27P24000,COKING COAL FOB AUSTRALIA January 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASG27C24000,COKING COAL FOB AUSTRALIA February 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASG27P24000,COKING COAL FOB AUSTRALIA February 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASH27C24000,COKING COAL FOB AUSTRALIA March 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASH27P24000,COKING COAL FOB AUSTRALIA March 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASJ27C24000,COKING COAL FOB AUSTRALIA April 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASJ27P24000,COKING COAL FOB AUSTRALIA April 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASK27C24000,COKING COAL FOB AUSTRALIA May 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASK27P24000,COKING COAL FOB AUSTRALIA May 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASM27C24000,COKING COAL FOB AUSTRALIA June 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASM27P24000,COKING COAL FOB AUSTRALIA June 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASN27C24000,COKING COAL FOB AUSTRALIA July 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASN27P24000,COKING COAL FOB AUSTRALIA July 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASQ27C24000,COKING COAL FOB AUSTRALIA August 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASQ27P24000,COKING COAL FOB AUSTRALIA August 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASU27C24000,COKING COAL FOB AUSTRALIA September 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASU27P24000,COKING COAL FOB AUSTRALIA September 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASV27C24000,COKING COAL FOB AUSTRALIA October 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASV27P24000,COKING COAL FOB AUSTRALIA October 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASX27C24000,COKING COAL FOB AUSTRALIA November 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASX27P24000,COKING COAL FOB AUSTRALIA November 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASZ27C24000,COKING COAL FOB AUSTRALIA December 2027 Call 24000,SGXAC,SGXAC,FOPTION
CASZ27P24000,COKING COAL FOB AUSTRALIA December 2027 Put 24000,SGXAC,SGXAC,FOPTION
CASF28C24000,COKING COAL FOB AUSTRALIA January 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASF28P24000,COKING COAL FOB AUSTRALIA January 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASG28C24000,COKING COAL FOB AUSTRALIA February 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASG28P24000,COKING COAL FOB AUSTRALIA February 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASH28C24000,COKING COAL FOB AUSTRALIA March 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASH28P24000,COKING COAL FOB AUSTRALIA March 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASJ28C24000,COKING COAL FOB AUSTRALIA April 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASJ28P24000,COKING COAL FOB AUSTRALIA April 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASK28C24000,COKING COAL FOB AUSTRALIA May 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASK28P24000,COKING COAL FOB AUSTRALIA May 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASM28C24000,COKING COAL FOB AUSTRALIA June 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASM28P24000,COKING COAL FOB AUSTRALIA June 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASN28C24000,COKING COAL FOB AUSTRALIA July 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASN28P24000,COKING COAL FOB AUSTRALIA July 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASQ28C24000,COKING COAL FOB AUSTRALIA August 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASQ28P24000,COKING COAL FOB AUSTRALIA August 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASU28C24000,COKING COAL FOB AUSTRALIA September 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASU28P24000,COKING COAL FOB AUSTRALIA September 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASV28C24000,COKING COAL FOB AUSTRALIA October 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASV28P24000,COKING COAL FOB AUSTRALIA October 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASX28C24000,COKING COAL FOB AUSTRALIA November 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASX28P24000,COKING COAL FOB AUSTRALIA November 2028 Put 24000,SGXAC,SGXAC,FOPTION
CASZ28C24000,COKING COAL FOB AUSTRALIA December 2028 Call 24000,SGXAC,SGXAC,FOPTION
CASZ28P24000,COKING COAL FOB AUSTRALIA December 2028 Put 24000,SGXAC,SGXAC,FOPTION
FESQ25C10000,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10000,SGXAC,SGXAC,FOPTION
FESQ25P10000,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Put 10000,SGXAC,SGXAC,FOPTION
FESQ25C10100,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10100,SGXAC,SGXAC,FOPTION
FESQ25P10100,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Put 10100,SGXAC,SGXAC,FOPTION
FESQ25C10200,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10200,SGXAC,SGXAC,FOPTION
FESQ25P10200,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Put 10200,SGXAC,SGXAC,FOPTION
FESQ25C10250,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10250,SGXAC,SGXAC,FOPTION
FESQ25C10300,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10300,SGXAC,SGXAC,FOPTION
FESQ25P10300,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Put 10300,SGXAC,SGXAC,FOPTION
FESQ25C10350,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10350,SGXAC,SGXAC,FOPTION
FESQ25C10400,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10400,SGXAC,SGXAC,FOPTION
FESQ25P10400,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Put 10400,SGXAC,SGXAC,FOPTION
FESQ25C10500,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10500,SGXAC,SGXAC,FOPTION
FESQ25P10500,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Put 10500,SGXAC,SGXAC,FOPTION
FESQ25C10600,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10600,SGXAC,SGXAC,FOPTION
FESQ25P10600,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Put 10600,SGXAC,SGXAC,FOPTION
FESQ25C10700,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10700,SGXAC,SGXAC,FOPTION
FESQ25P10700,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Put 10700,SGXAC,SGXAC,FOPTION
FESQ25C10800,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Call 10800,SGXAC,SGXAC,FOPTION
FESQ25P10800,SGX TSI IRON ORE 62% DERIVATIVES SWAP August 2025 Put 10800,SGXAC,SGXAC,FOPTION
