symbol,description,exchange,listedMarket,securityType
58M#C,SGX MB IRON ORE 58% DERIVATIVES SWAP Continuous Backadjusted,SGXAC,SGXAC,FUTURE
58M#,SGX MB IRON ORE 58% DERIVATIVES SWAP Continuous,SGXAC,SGXAC,FUTURE
58MN25,SGX MB IRON ORE 58% DERIVATIVES SWAP July 2025,SGXAC,SGXAC,FUTURE
58MQ25,SGX MB IRON ORE 58% DERIVATIVES SWAP August 2025,SGXAC,SGXAC,FUTURE
58MU25,SGX MB IRON ORE 58% DERIVATIVES SWAP September 2025,SGXAC,SGXAC,FUTURE
58MV25,SGX MB IRON ORE 58% DERIVATIVES SWAP October 2025,SGXAC,SGXAC,FUTURE
58MX25,SGX MB IRON ORE 58% DERIVATIVES SWAP November 2025,SGXAC,SGXAC,FUTURE
58MZ25,SGX MB IRON ORE 58% DERIVATIVES SWAP December 2025,SGXAC,SGXAC,FUTURE
58MF26,SGX MB IRON ORE 58% DERIVATIVES SWAP January 2026,SGXAC,SGXAC,FUTURE
58MG26,SGX MB IRON ORE 58% DERIVATIVES SWAP February 2026,SGXAC,SGXAC,FUTURE
58MH26,SGX MB IRON ORE 58% DERIVATIVES SWAP March 2026,SGXAC,SGXAC,FUTURE
58MJ26,SGX MB IRON ORE 58% DERIVATIVES SWAP April 2026,SGXAC,SGXAC,FUTURE
58MK26,SGX MB IRON ORE 58% DERIVATIVES SWAP May 2026,SGXAC,SGXAC,FUTURE
58MM26,SGX MB IRON ORE 58% DERIVATIVES SWAP June 2026,SGXAC,SGXAC,FUTURE
58MN26,SGX MB IRON ORE 58% DERIVATIVES SWAP July 2026,SGXAC,SGXAC,FUTURE
58MQ26,SGX MB IRON ORE 58% DERIVATIVES SWAP August 2026,SGXAC,SGXAC,FUTURE
58MU26,SGX MB IRON ORE 58% DERIVATIVES SWAP September 2026,SGXAC,SGXAC,FUTURE
58MV26,SGX MB IRON ORE 58% DERIVATIVES SWAP October 2026,SGXAC,SGXAC,FUTURE
58MX26,SGX MB IRON ORE 58% DERIVATIVES SWAP November 2026,SGXAC,SGXAC,FUTURE
58MZ26,SGX MB IRON ORE 58% DERIVATIVES SWAP December 2026,SGXAC,SGXAC,FUTURE
58MF27,SGX MB IRON ORE 58% DERIVATIVES SWAP January 2027,SGXAC,SGXAC,FUTURE
58MG27,SGX MB IRON ORE 58% DERIVATIVES SWAP February 2027,SGXAC,SGXAC,FUTURE
58MH27,SGX MB IRON ORE 58% DERIVATIVES SWAP March 2027,SGXAC,SGXAC,FUTURE
58MJ27,SGX MB IRON ORE 58% DERIVATIVES SWAP April 2027,SGXAC,SGXAC,FUTURE
58MK27,SGX MB IRON ORE 58% DERIVATIVES SWAP May 2027,SGXAC,SGXAC,FUTURE
58MM27,SGX MB IRON ORE 58% DERIVATIVES SWAP June 2027,SGXAC,SGXAC,FUTURE
58MN27,SGX MB IRON ORE 58% DERIVATIVES SWAP July 2027,SGXAC,SGXAC,FUTURE
58MQ27,SGX MB IRON ORE 58% DERIVATIVES SWAP August 2027,SGXAC,SGXAC,FUTURE
58MU27,SGX MB IRON ORE 58% DERIVATIVES SWAP September 2027,SGXAC,SGXAC,FUTURE
58MV27,SGX MB IRON ORE 58% DERIVATIVES SWAP October 2027,SGXAC,SGXAC,FUTURE
58MX27,SGX MB IRON ORE 58% DERIVATIVES SWAP November 2027,SGXAC,SGXAC,FUTURE
58MZ27,SGX MB IRON ORE 58% DERIVATIVES SWAP December 2027,SGXAC,SGXAC,FUTURE
58MF28,SGX MB IRON ORE 58% DERIVATIVES SWAP January 2028,SGXAC,SGXAC,FUTURE
58MG28,SGX MB IRON ORE 58% DERIVATIVES SWAP February 2028,SGXAC,SGXAC,FUTURE
58MH28,SGX MB IRON ORE 58% DERIVATIVES SWAP March 2028,SGXAC,SGXAC,FUTURE
58MJ28,SGX MB IRON ORE 58% DERIVATIVES SWAP April 2028,SGXAC,SGXAC,FUTURE
58MK28,SGX MB IRON ORE 58% DERIVATIVES SWAP May 2028,SGXAC,SGXAC,FUTURE
58MM28,SGX MB IRON ORE 58% DERIVATIVES SWAP June 2028,SGXAC,SGXAC,FUTURE
58MN28,SGX MB IRON ORE 58% DERIVATIVES SWAP July 2028,SGXAC,SGXAC,FUTURE
58MQ28,SGX MB IRON ORE 58% DERIVATIVES SWAP August 2028,SGXAC,SGXAC,FUTURE
58MU28,SGX MB IRON ORE 58% DERIVATIVES SWAP September 2028,SGXAC,SGXAC,FUTURE
58MV28,SGX MB IRON ORE 58% DERIVATIVES SWAP October 2028,SGXAC,SGXAC,FUTURE
58MX28,SGX MB IRON ORE 58% DERIVATIVES SWAP November 2028,SGXAC,SGXAC,FUTURE
58MZ28,SGX MB IRON ORE 58% DERIVATIVES SWAP December 2028,SGXAC,SGXAC,FUTURE
65S#C,SGX MB IRON ORE 65% DERIVATIVES SWAP Continuous Backadjusted,SGXAC,SGXAC,FUTURE
65S#,SGX MB IRON ORE 65% DERIVATIVES SWAP Continuous,SGXAC,SGXAC,FUTURE
65SN25,SGX MB IRON ORE 65% DERIVATIVES SWAP July 2025,SGXAC,SGXAC,FUTURE
65SQ25,SGX MB IRON ORE 65% DERIVATIVES SWAP August 2025,SGXAC,SGXAC,FUTURE
65SU25,SGX MB IRON ORE 65% DERIVATIVES SWAP September 2025,SGXAC,SGXAC,FUTURE
65SV25,SGX MB IRON ORE 65% DERIVATIVES SWAP October 2025,SGXAC,SGXAC,FUTURE
65SX25,SGX MB IRON ORE 65% DERIVATIVES SWAP November 2025,SGXAC,SGXAC,FUTURE
65SZ25,SGX MB IRON ORE 65% DERIVATIVES SWAP December 2025,SGXAC,SGXAC,FUTURE
65SF26,SGX MB IRON ORE 65% DERIVATIVES SWAP January 2026,SGXAC,SGXAC,FUTURE
65SG26,SGX MB IRON ORE 65% DERIVATIVES SWAP February 2026,SGXAC,SGXAC,FUTURE
65SH26,SGX MB IRON ORE 65% DERIVATIVES SWAP March 2026,SGXAC,SGXAC,FUTURE
65SJ26,SGX MB IRON ORE 65% DERIVATIVES SWAP April 2026,SGXAC,SGXAC,FUTURE
65SK26,SGX MB IRON ORE 65% DERIVATIVES SWAP May 2026,SGXAC,SGXAC,FUTURE
65SM26,SGX MB IRON ORE 65% DERIVATIVES SWAP June 2026,SGXAC,SGXAC,FUTURE
65SN26,SGX MB IRON ORE 65% DERIVATIVES SWAP July 2026,SGXAC,SGXAC,FUTURE
65SQ26,SGX MB IRON ORE 65% DERIVATIVES SWAP August 2026,SGXAC,SGXAC,FUTURE
65SU26,SGX MB IRON ORE 65% DERIVATIVES SWAP September 2026,SGXAC,SGXAC,FUTURE
65SV26,SGX MB IRON ORE 65% DERIVATIVES SWAP October 2026,SGXAC,SGXAC,FUTURE
65SX26,SGX MB IRON ORE 65% DERIVATIVES SWAP November 2026,SGXAC,SGXAC,FUTURE
65SZ26,SGX MB IRON ORE 65% DERIVATIVES SWAP December 2026,SGXAC,SGXAC,FUTURE
65SF27,SGX MB IRON ORE 65% DERIVATIVES SWAP January 2027,SGXAC,SGXAC,FUTURE
65SG27,SGX MB IRON ORE 65% DERIVATIVES SWAP February 2027,SGXAC,SGXAC,FUTURE
65SH27,SGX MB IRON ORE 65% DERIVATIVES SWAP March 2027,SGXAC,SGXAC,FUTURE
65SJ27,SGX MB IRON ORE 65% DERIVATIVES SWAP April 2027,SGXAC,SGXAC,FUTURE
65SK27,SGX MB IRON ORE 65% DERIVATIVES SWAP May 2027,SGXAC,SGXAC,FUTURE
65SM27,SGX MB IRON ORE 65% DERIVATIVES SWAP June 2027,SGXAC,SGXAC,FUTURE
65SN27,SGX MB IRON ORE 65% DERIVATIVES SWAP July 2027,SGXAC,SGXAC,FUTURE
65SQ27,SGX MB IRON ORE 65% DERIVATIVES SWAP August 2027,SGXAC,SGXAC,FUTURE
65SU27,SGX MB IRON ORE 65% DERIVATIVES SWAP September 2027,SGXAC,SGXAC,FUTURE
65SV27,SGX MB IRON ORE 65% DERIVATIVES SWAP October 2027,SGXAC,SGXAC,FUTURE
65SX27,SGX MB IRON ORE 65% DERIVATIVES SWAP November 2027,SGXAC,SGXAC,FUTURE
65SZ27,SGX MB IRON ORE 65% DERIVATIVES SWAP December 2027,SGXAC,SGXAC,FUTURE
AMA#C,AMMONIA CFR EAST ASIA Continuous Backadjusted,SGXAC,SGXAC,FUTURE
AMA#,AMMONIA CFR EAST ASIA Continuous,SGXAC,SGXAC,FUTURE
AMAN25,AMMONIA CFR EAST ASIA July 2025,SGXAC,SGXAC,FUTURE
AMAQ25,AMMONIA CFR EAST ASIA August 2025,SGXAC,SGXAC,FUTURE
AMAU25,AMMONIA CFR EAST ASIA September 2025,SGXAC,SGXAC,FUTURE
AMAV25,AMMONIA CFR EAST ASIA October 2025,SGXAC,SGXAC,FUTURE
AMAX25,AMMONIA CFR EAST ASIA November 2025,SGXAC,SGXAC,FUTURE
AMAZ25,AMMONIA CFR EAST ASIA December 2025,SGXAC,SGXAC,FUTURE
AMAF26,AMMONIA CFR EAST ASIA January 2026,SGXAC,SGXAC,FUTURE
AMAG26,AMMONIA CFR EAST ASIA February 2026,SGXAC,SGXAC,FUTURE
AMAH26,AMMONIA CFR EAST ASIA March 2026,SGXAC,SGXAC,FUTURE
AMAJ26,AMMONIA CFR EAST ASIA April 2026,SGXAC,SGXAC,FUTURE
AMAK26,AMMONIA CFR EAST ASIA May 2026,SGXAC,SGXAC,FUTURE
AMAM26,AMMONIA CFR EAST ASIA June 2026,SGXAC,SGXAC,FUTURE
AMAN26,AMMONIA CFR EAST ASIA July 2026,SGXAC,SGXAC,FUTURE
AMAQ26,AMMONIA CFR EAST ASIA August 2026,SGXAC,SGXAC,FUTURE
AMAU26,AMMONIA CFR EAST ASIA September 2026,SGXAC,SGXAC,FUTURE
AMAV26,AMMONIA CFR EAST ASIA October 2026,SGXAC,SGXAC,FUTURE
AMAX26,AMMONIA CFR EAST ASIA November 2026,SGXAC,SGXAC,FUTURE
AMAZ26,AMMONIA CFR EAST ASIA December 2026,SGXAC,SGXAC,FUTURE
AMAF27,AMMONIA CFR EAST ASIA January 2027,SGXAC,SGXAC,FUTURE
AMAG27,AMMONIA CFR EAST ASIA February 2027,SGXAC,SGXAC,FUTURE
AMAH27,AMMONIA CFR EAST ASIA March 2027,SGXAC,SGXAC,FUTURE
AMAJ27,AMMONIA CFR EAST ASIA April 2027,SGXAC,SGXAC,FUTURE
AMAK27,AMMONIA CFR EAST ASIA May 2027,SGXAC,SGXAC,FUTURE
AMAM27,AMMONIA CFR EAST ASIA June 2027,SGXAC,SGXAC,FUTURE
AMM#C,AMMONIA FOB MIDDLE EAST Continuous Backadjusted,SGXAC,SGXAC,FUTURE
AMM#,AMMONIA FOB MIDDLE EAST Continuous,SGXAC,SGXAC,FUTURE
AMMN25,AMMONIA FOB MIDDLE EAST July 2025,SGXAC,SGXAC,FUTURE
AMMQ25,AMMONIA FOB MIDDLE EAST August 2025,SGXAC,SGXAC,FUTURE
AMMU25,AMMONIA FOB MIDDLE EAST September 2025,SGXAC,SGXAC,FUTURE
AMMV25,AMMONIA FOB MIDDLE EAST October 2025,SGXAC,SGXAC,FUTURE
AMMX25,AMMONIA FOB MIDDLE EAST November 2025,SGXAC,SGXAC,FUTURE
AMMZ25,AMMONIA FOB MIDDLE EAST December 2025,SGXAC,SGXAC,FUTURE
AMMF26,AMMONIA FOB MIDDLE EAST January 2026,SGXAC,SGXAC,FUTURE
AMMG26,AMMONIA FOB MIDDLE EAST February 2026,SGXAC,SGXAC,FUTURE
AMMH26,AMMONIA FOB MIDDLE EAST March 2026,SGXAC,SGXAC,FUTURE
AMMJ26,AMMONIA FOB MIDDLE EAST April 2026,SGXAC,SGXAC,FUTURE
AMMK26,AMMONIA FOB MIDDLE EAST May 2026,SGXAC,SGXAC,FUTURE
