symbol,description,exchange,listedMarket,securityType
AFNGBP.COMP,Afghan Afghani vs Pound Sterling - Composite Symbol,TENFORE,TENFORE,FOREX
AFNGBP.EUAM,Afghan Afghani vs Pound Sterling - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
AFNUSD.COMP,Afghan Afghani vs US Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
AFNUSD.EUAM,Afghan Afghani vs US Dollar - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ALLEUR.COMP,Albanian Lek vs Euro - Composite Symbol,TENFORE,TENFORE,FOREX
ALLEUR.EUAM,Albanian Lek vs Euro - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ALLGBP.COMP,Albanian Lek vs Pound Sterling - Composite Symbol,TENFORE,TENFORE,FOREX
ALLGBP.EUAM,Albanian Lek vs Pound Sterling - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ALLUSD.COMP,Albanian Lek vs US Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
ALLUSD.EUAM,Albanian Lek vs US Dollar - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
DZDEUR.COMP,Algerian Dinar vs Euro - Composite Symbol,TENFORE,TENFORE,FOREX
DZDEUR.EUAM,Algerian Dinar vs Euro - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
DZDUSD.COMP,Algerian Dinar vs US Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
DZDUSD.EUAM,Algerian Dinar vs US Dollar - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSAUD.COMP,Argentine Peso vs Australian Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
ARSAUD.EUAM,Argentine Peso vs Australian Dollar - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSBRL.COMP,Argentine Peso vs Brazilian Real - Composite Symbol,TENFORE,TENFORE,FOREX
ARSBRL.EUAM,Argentine Peso vs Brazilian Real - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSCAD.COMP,Argentine Peso vs Canadian Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
ARSCAD.EUAM,Argentine Peso vs Canadian Dollar - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSCLP.COMP,Argentine Peso vs Chilean Peso - Composite Symbol,TENFORE,TENFORE,FOREX
ARSCLP.EUAM,Argentine Peso vs Chilean Peso - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSCOP.COMP,Argentine Peso vs Colombian Peso - Composite Symbol,TENFORE,TENFORE,FOREX
ARSCOP.EUAM,Argentine Peso vs Colombian Peso - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSEUR.COMP,Argentine Peso vs Euro - Composite Symbol,TENFORE,TENFORE,FOREX
ARSEUR.EUAM,Argentine Peso vs Euro - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSHKD.COMP,Argentine Peso vs Hong Kong Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
ARSHKD.EUAM,Argentine Peso vs Hong Kong Dollar - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSJPY.COMP,Argentine Peso vs Japanese Yen - Composite Symbol,TENFORE,TENFORE,FOREX
ARSJPY.EUAM,Argentine Peso vs Japanese Yen - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSMXN.COMP,Argentine Peso vs Mexican Peso - Composite Symbol,TENFORE,TENFORE,FOREX
ARSMXN.EUAM,Argentine Peso vs Mexican Peso - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSPEN.COMP,Argentine Peso vs Peruvian Nuevo Sol - Composite Symbol,TENFORE,TENFORE,FOREX
ARSPEN.EUAM,Argentine Peso vs Peruvian Nuevo Sol - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSGBP.COMP,Argentine Peso vs Pound Sterling - Composite Symbol,TENFORE,TENFORE,FOREX
ARSGBP.EUAM,Argentine Peso vs Pound Sterling - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSSGD.COMP,Argentine Peso vs Singapore Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
ARSSGD.EUAM,Argentine Peso vs Singapore Dollar - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSZAR.COMP,Argentine Peso vs South African Rand - Composite Symbol,TENFORE,TENFORE,FOREX
ARSZAR.EUAM,Argentine Peso vs South African Rand - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSCHF.COMP,Argentine Peso vs Swiss Franc - Composite Symbol,TENFORE,TENFORE,FOREX
ARSCHF.EUAM,Argentine Peso vs Swiss Franc - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
ARSUSD.COMP,Argentine Peso vs US Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
ARSUSD.EUAM,Argentine Peso vs US Dollar - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
AMDEUR.COMP,Armenian Dram vs Euro - Composite Symbol,TENFORE,TENFORE,FOREX
AMDEUR.EUAM,Armenian Dram vs Euro - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
AMDGBP.COMP,Armenian Dram vs Pound Sterling - Composite Symbol,TENFORE,TENFORE,FOREX
AMDGBP.EUAM,Armenian Dram vs Pound Sterling - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
AMDUSD.COMP,Armenian Dram vs US Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
AMDUSD.EUAM,Armenian Dram vs US Dollar - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
AWGGBP.COMP,Aruban Guilder vs Pound Sterling - Composite Symbol,TENFORE,TENFORE,FOREX
AWGGBP.EUAM,Aruban Guilder vs Pound Sterling - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
AWGSRD.COMP,Aruban Guilder vs Surinamese Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
AWGSRD.EUAM,Aruban Guilder vs Surinamese Dollar - TenforeX Synthetic Symbol,TENFORE,TENFORE,FOREX
AWGUSD.COMP,Aruban Guilder vs US Dollar - Composite Symbol,TENFORE,TENFORE,FOREX
