symbol,description,exchange,listedMarket,securityType
XAUARSO.COMP,Gold - Argentine Peso - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUARSO.EUAM,Gold - Argentine Peso - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUAUDO.COMP,Gold - Australian Dollar - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUAUDO.SAXO,Gold - Australian Dollar - Ounce - Saxo Bank - TENFORE,TENFORE,TENFORE,PRECMTL
XAUAUDO.EUAM,Gold - Australian Dollar - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUBRLO.COMP,Gold - Brazilian Real - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUBRLO.EUAM,Gold - Brazilian Real - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUCADO.COMP,Gold - Canadian Dollar - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUCADO.EUAM,Gold - Canadian Dollar - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUEURO.COMP,Gold - Euro - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUEURO.SAXO,Gold - Euro - Ounce - Saxo Bank - TENFORE,TENFORE,TENFORE,PRECMTL
XAUEURO.EUAM,Gold - Euro - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUHKDO.COMP,Gold - Hong Kong Dollar - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUHKDO.SAXO,Gold - Hong Kong Dollar - Ounce - Saxo Bank - TENFORE,TENFORE,TENFORE,PRECMTL
XAUINRO.COMP,Gold - Indian Rupee - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUINRO.EUAM,Gold - Indian Rupee - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUJPYO.COMP,Gold - Japanese Yen - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUJPYO.SAXO,Gold - Japanese Yen - Ounce - Saxo Bank - TENFORE,TENFORE,TENFORE,PRECMTL
XAUJPYO.EUAM,Gold - Japanese Yen - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUMXNO.COMP,Gold - Mexican Peso - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUMXNO.EUAM,Gold - Mexican Peso - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUGBPO.COMP,Gold - Pound Sterling - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUGBPO.EUAM,Gold - Pound Sterling - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAURUBO.COMP,Gold - Russian Ruble - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAURUBO.EUAM,Gold - Russian Ruble - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUSARO.COMP,Gold - Saudi Riyal - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUSARO.EUAM,Gold - Saudi Riyal - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUSGDO.COMP,Gold - Singapore Dollar - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUSGDO.EUAM,Gold - Singapore Dollar - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUZARO.COMP,Gold - South African Rand - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUZARO.EUAM,Gold - South African Rand - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUKRWO.COMP,Gold - South Korean Won - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUKRWO.EUAM,Gold - South Korean Won - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUTHBO.COMP,Gold - Thai Baht - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUTHBO.SAXO,Gold - Thai Baht - Ounce - Saxo Bank - TENFORE,TENFORE,TENFORE,PRECMTL
XAUTRYO.COMP,Gold - Turkish Lira - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUTRYO.SAXO,Gold - Turkish Lira - Ounce - Saxo Bank - TENFORE,TENFORE,TENFORE,PRECMTL
XAUUSDO.COMP,Gold - US Dollar - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUUSDO.MORN,Gold - US Dollar - Ounce - Morningstar Synthetic - TENFORE,TENFORE,TENFORE,PRECMTL
XAUUSDO.SAXO,Gold - US Dollar - Ounce - Saxo Bank - TENFORE,TENFORE,TENFORE,PRECMTL
XAUUSDO.ABBA,Gold - US Dollar - Ounce - TenForex Average  Best Bid/Ask - TENFORE,TENFORE,TENFORE,PRECMTL
XAUUSDO.EUAM,Gold - US Dollar - Ounce - TenforeX Synthetic Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
XAUCNYO.COMP,Gold - Yuan Renminbi - Ounce - Composite Symbol - TENFORE,TENFORE,TENFORE,PRECMTL
