symbol,description,exchange,listedMarket,securityType
C.AAV.DB,ADVANTAGE ENERGY LTD 5% DEBS,TSE,TSE,BONDS
C.AFN.DB.J,AG GROWTH INTERNATIONAL INC 5.2% DEBS,TSE,TSE,BONDS
C.AFN.DB.H,AG GROWTH INTERNATIONAL INC 5.25% DEBS,TSE,TSE,BONDS
C.AFN.DB.I,AG GROWTH INTERNATIONAL INC 5% DEBS,TSE,TSE,BONDS
C.AFN.DB.K,AG GROWTH INTERNATIONAL INC 7.5% DEBS,TSE,TSE,BONDS
C.AD.DB.B,ALARIS EQUITY PARTNERS INCOME 6.5% DEBS,TSE,TSE,BONDS
C.AD.DB.A,ALARIS EQUITY PARTNERS INCOME TRUST 6.25,TSE,TSE,BONDS
C.AH.DB.B,ALEAFIA HEALTH INC 8.5% DEBS SER B,TSE,TSE,BONDS
C.AH.DB.C,ALEAFIA HEALTH INC 8.5% DEBS SER C,TSE,TSE,BONDS
C.AAUC.DB.U,ALLIED GOLD CORP 8.75% DEBS,TSE,TSE,BONDS
C.HOT.DB.V,AMERICAN HOTEL INCOME PROPERTIES REIT 6%,TSE,TSE,BONDS
C.ADB.SB.A,ASIAN DEVELOPMENT BANK 0.75% GREEN BOND,TSE,TSE,BONDS
C.AI.DB.G,ATRIUM MORTGAGE INVESTMENT CORP 5.1% DEB,TSE,TSE,BONDS
C.AI.DB.D,ATRIUM MORTGAGE INVESTMENT CORP 5.5% DEB,TSE,TSE,BONDS
C.AI.DB.F,ATRIUM MORTGAGE INVESTMENT CORP 5% DEBS,TSE,TSE,BONDS
C.BYL.DB,BAYLIN TECHNOLOGIES INC. 8.5% DEBS,TSE,TSE,BONDS
C.BTB.DB.I,BEB REIT SER I 7.25% DEBS,TSE,TSE,BONDS
C.BTB.DB.H,BTB REIT 7% SER H DEBS,TSE,TSE,BONDS
C.WEED.DB,CANOPY GROWTH COMPANY 8% DEBS,TSE,TSE,BONDS
C.CJ.DB,CARDINAL ENERGY LTD 7.75% DEBS,TSE,TSE,BONDS
C.CJT.DB.F,CARGOJET INC 5.25% DEBS,TSE,TSE,BONDS
C.CHE.DB.G,CHEMTRADE LOGISTICS INCOME FUND 6.25% DE,TSE,TSE,BONDS
C.CHE.DB.E,CHEMTRADE LOGISTICS INCOME FUND 6.5% DEB,TSE,TSE,BONDS
C.CHE.DB.H,CHEMTRADE LOGISTICS INCOME FUND 7% DEBS,TSE,TSE,BONDS
C.CHR.DB.C,CHORUS AVIATION INC 5.75% DEBS,TSE,TSE,BONDS
C.CHR.DB.B,CHORUS AVIATION INC 6% DEBS,TSE,TSE,BONDS
C.CGX.DB.B,CINEPLEX INC 5.75% DEBS,TSE,TSE,BONDS
C.CSU.DB,CONSTELLATION SOFTWARE 8.5% DEBENTURE,TSE,TSE,BONDS
C.DRT.DB,DIRTT ENVIRONMENTAL SOLUTIONS LTD. 6.00%,TSE,TSE,BONDS
