symbol,description,exchange,listedMarket,securityType
C.IGBT.UN,2028 INVESTMENT GRADE BOND TRUST,TSE,TSE,EQUITY
C.BTCQ,3IQ BITCOIN ETF,TSE,TSE,EQUITY
C.BTCQ.U,3IQ BITCOIN ETF USD,TSE,TSE,EQUITY
C.ETHQ,3IQ ETHER STAKING ETF,TSE,TSE,EQUITY
C.ETHQ.U,3IQ ETHER STAKING ETF USD,TSE,TSE,EQUITY
C.SOLQ,3IQ SOLANA STAKING ETF,TSE,TSE,EQUITY
C.SOLQ.U,3IQ SOLANA STAKING ETF USD,TSE,TSE,EQUITY
C.XRPQ,3IQ XRP ETF,TSE,TSE,EQUITY
C.XRPQ.U,3IQ XRP ETF USD,TSE,TSE,EQUITY
C.PWF-S,4.80% NON-CUMULATIVE FIRST PRE,TSE,TSE,EQUITY
C.PWF-R,5.5% NON CUMULATIVE FIRST PREF,TSE,TSE,EQUITY
C.VNP,5N PLUS INC,TSE,TSE,EQUITY
C.AW,A&W FOOD SERVICES OF CANADA INC,TSE,TSE,EQUITY
C.AAB,ABERDEEN INTL INC,TSE,TSE,EQUITY
C.ABRA,ABRASILVER RESOURCE CORP,TSE,TSE,EQUITY
C.FAP,ABRDN ASIA-PACIFIC INCOME FUND VCC,TSE,TSE,EQUITY
C.ADN,ACADIAN TIMBER CORP,TSE,TSE,EQUITY
C.HDGE,ACCELERATE ABSOLUTE RETURN FUND,TSE,TSE,EQUITY
C.HDGE.U,ACCELERATE ABSOLUTE RETURN FUND USD,TSE,TSE,EQUITY
C.ARB,ACCELERATE ARBITRAGE FUND,TSE,TSE,EQUITY
C.ATSX,ACCELERATE CANADIAN LONG SHORT EQUITY FUND,TSE,TSE,EQUITY
C.INCM,ACCELERATE DIVERSIFIED CREDIT INCOME FUND,TSE,TSE,EQUITY
C.INCM.B,ACCELERATE DIVERSIFIED CREDIT INCOME FUND HEDGED,TSE,TSE,EQUITY
C.INCM.U,ACCELERATE DIVERSIFIED CREDIT INCOME FUND USD,TSE,TSE,EQUITY
C.ONEC,ACCELERATE ONECHOICE ALTERNATIVE MULTI-ASSET,TSE,TSE,EQUITY
C.ACD,ACCORD FINANCIAL CORP,TSE,TSE,EQUITY
C.ARA,ACLARA RESOURCES INC,TSE,TSE,EQUITY
C.ACX,ACT ENERGY TECHNOLOGIES LTD,TSE,TSE,EQUITY
C.ADCO,ADCORE INC,TSE,TSE,EQUITY
C.ADEN,ADENTRA INC,TSE,TSE,EQUITY
C.DRX,ADF GROUP INC,TSE,TSE,EQUITY
C.AMD,ADVANCED MICRO DEVICES CDR (CAD HEDGED),TSE,TSE,EQUITY
C.AAV,ADVANTAGE ENERGY LTD,TSE,TSE,EQUITY
C.ARE,AECON GROUP INC,TSE,TSE,EQUITY
C.AEG,AEGIS BRANDS INC,TSE,TSE,EQUITY
C.AFN,AG GROWTH INTL INC,TSE,TSE,EQUITY
C.AGF.B,AGF MANAGEMENT LTD,TSE,TSE,EQUITY
C.QBTL,AGF US MARKET NEUTRAL ANTI-BETA CAD-HEDGED ETF,TSE,TSE,EQUITY
C.AEM,AGNICO EAGLE MINES LIMITED,TSE,TSE,EQUITY
C.AIM,AIMIA INC,TSE,TSE,EQUITY
C.AIM-C,AIMIA INC CUMULATIVE RATE PREF,TSE,TSE,EQUITY
C.AIM-A,AIMIA INC PREF,TSE,TSE,EQUITY
C.AIM-D,AIMIA SER 4 PFD,TSE,TSE,EQUITY
C.AC,AIR CANADA,TSE,TSE,EQUITY
C.BOS,AIRBOSS OF AMERICA CORP,TSE,TSE,EQUITY
C.AKT.A,AKITA DRILLING LTD,TSE,TSE,EQUITY
C.AKT.B,AKITA DRILLING LTD. CL 'B',TSE,TSE,EQUITY
C.AGI,ALAMOS GOLD CLASS A,TSE,TSE,EQUITY
C.AD.UN,ALARIS EQUITY PARTNERS INCOME TRUST,TSE,TSE,EQUITY
C.ALC,ALGOMA CENTRAL CORP,TSE,TSE,EQUITY
C.ASTL,ALGOMA STEEL GROUP INC,TSE,TSE,EQUITY
C.ASTL.WT,ALGOMA STEEL GROUP INC WTS,TSE,TSE,EQUITY
C.AQN-A,ALGONQUIN POWER & UTILITIES PR,TSE,TSE,EQUITY
C.AQN-D,ALGONQUIN POWER & UTILITIES PR,TSE,TSE,EQUITY
C.AQN,ALGOONQUIN POWER & UTLITIES CO,TSE,TSE,EQUITY
C.ATD,ALIMENTATION COUCHE-TARD INC,TSE,TSE,EQUITY
C.ALYA,ALITHYA GROUP INC,TSE,TSE,EQUITY
C.AAUC,ALLIED GOLD CORP,TSE,TSE,EQUITY
C.AP.UN,ALLIED PROPERTIES RE INV,TSE,TSE,EQUITY
C.AMM,ALMADEN MINERALS LTD,TSE,TSE,EQUITY
C.AII,ALMONTY INDUSTRIES INC,TSE,TSE,EQUITY
C.GOOG,ALPHABET CDR (CAD HEDGED),TSE,TSE,EQUITY
C.ATCU,ALTA COPPER CORP,TSE,TSE,EQUITY
C.ALA,ALTAGAS LTD,TSE,TSE,EQUITY
C.ALA-A,ALTAGAS LTD PFD A,TSE,TSE,EQUITY
C.ALA-B,ALTAGAS LTD PFD B,TSE,TSE,EQUITY
C.ALA-G,ALTAGAS LTD SERIES G PFD,TSE,TSE,EQUITY
C.ALS,ALTIUS MINERALS CORP,TSE,TSE,EQUITY
C.AIF,ALTUS GROUP LTD,TSE,TSE,EQUITY
C.AMZN,AMAZON.COM CDR (CAD HEDGED),TSE,TSE,EQUITY
C.HOT.UN,AMERICAN  HOTEL INCOME PRPTYS,TSE,TSE,EQUITY
C.HOT.U,AMERICAN HOTEL INCOME PROP REIT USD,TSE,TSE,EQUITY
C.USA,AMERICAS GOLD AND SILVER CORPORATION,TSE,TSE,EQUITY
C.ARG,AMERIGO RESOURCES LTD,TSE,TSE,EQUITY
C.ANRG,ANAERGIA INC,TSE,TSE,EQUITY
C.APM,ANDEAN PRECIOUS METALS CORP,TSE,TSE,EQUITY
C.AND,ANDLAUER HEALTHCARE GROUP INC,TSE,TSE,EQUITY
C.ADW.A,ANDREW PELLER LTD,TSE,TSE,EQUITY
C.ADW.B,ANDREW PELLER LTD,TSE,TSE,EQUITY
C.ECOR,ANGLO PACIFIC GROUP PLC,TSE,TSE,EQUITY
C.APLI,APPILI THERAPEUTICS INC,TSE,TSE,EQUITY
C.AAPL,APPLE CDR (CAD HEDGED),TSE,TSE,EQUITY
C.APS,APTOSE BIOSCIENCES INC,TSE,TSE,EQUITY
C.ARX,ARC RESOURCES LTD.,TSE,TSE,EQUITY
C.ARIS,ARIS GOLD CORP,TSE,TSE,EQUITY
C.ATZ,ARITZIA INC,TSE,TSE,EQUITY
C.AMC,ARIZONA METALS CORP,TSE,TSE,EQUITY
C.ASCU,ARIZONA SONORAN COPPER COMPANY INC,TSE,TSE,EQUITY
C.ADIV,ARROW EC EQUITY ADVANTAGE ALTERNATIVE FUND,TSE,TSE,EQUITY
C.RATE,ARROW EC INCOME ADVANTAGE ALTERNATIVE FUND,TSE,TSE,EQUITY
C.ACAA,ARROW LONG/SHORT ALTERNATIVE FUND,TSE,TSE,EQUITY
C.AX.UN,ARTIS RE INVESTMENT TRUST,TSE,TSE,EQUITY
C.AX-E,ARTIS REIT PREF SERIES E,TSE,TSE,EQUITY
C.AX-I,ARTIS REIT SER I PFD,TSE,TSE,EQUITY
C.AOT,ASCOT RESOURCES LTD,TSE,TSE,EQUITY
C.ACO.X,ATCO LTD,TSE,TSE,EQUITY
C.ACO.Y,ATCO LTD,TSE,TSE,EQUITY
C.ATH,ATHABASCA OIL CORPORATION,TSE,TSE,EQUITY
C.AI,ATRIUM MORTGAGE INVESTMENT COR,TSE,TSE,EQUITY
C.ATS,ATS CORP.,TSE,TSE,EQUITY
C.G,AUGUSTA GOLD CORP,TSE,TSE,EQUITY
C.ORA,AURA MINERALS INC,TSE,TSE,EQUITY
C.ACB,AURORA CANNABIS INC,TSE,TSE,EQUITY
C.ACQ,AUTOCANADA INC,TSE,TSE,EQUITY
C.APR.UN,AUTOMOTIVE PROPERTIES REIT UNITS,TSE,TSE,EQUITY
C.XLY,AUXLY CANNABIS GROUP INC,TSE,TSE,EQUITY
C.AVL,AVALON ADVANCED MATERIALS INC,TSE,TSE,EQUITY
C.AVNT,AVANT BRANDS INC,TSE,TSE,EQUITY
C.AVCN,AVICANNA INC,TSE,TSE,EQUITY
C.ASM,AVINO SILVER & GOLD MINES,TSE,TSE,EQUITY
C.AYA,AYA GOLD & SILVER INC,TSE,TSE,EQUITY
C.AYZ.A,AYZ.A,TSE,TSE,EQUITY
C.AYZ.B,AYZ.B,TSE,TSE,EQUITY
C.AYZ.C,AYZ.C,TSE,TSE,EQUITY
C.AYZ.D,AYZ.D,TSE,TSE,EQUITY
C.AYZT,AYZT,TSE,TSE,EQUITY
C.BCE-S,B C E INC,TSE,TSE,EQUITY
C.BCE-T,B C E INC,TSE,TSE,EQUITY
C.BCE-Y,B C E INC/BELL CDA ENTRPS,TSE,TSE,EQUITY
C.BTO,B2GOLD CORP,TSE,TSE,EQUITY
C.BDGI,BADGER INFRASTRUCTURE SOLUTIONS LTD,TSE,TSE,EQUITY
C.BLDP,BALLARD POWER SYSTEMS INC,TSE,TSE,EQUITY
C.BMO,BANK OF MONTREAL,TSE,TSE,EQUITY
C.BMO-E,BANK OF MONTREAL CLASS B PFD,TSE,TSE,EQUITY
C.BMO-Y,BANK OF MONTREAL PFD SER 33 CL B,TSE,TSE,EQUITY
C.BNS,BANK OF NOVA SCOTIA,TSE,TSE,EQUITY
C.ABX,BARRICK MINING INC,TSE,TSE,EQUITY
C.BLCO,BAUSCH + LOMB CORP,TSE,TSE,EQUITY
C.BHC,BAUSCH HEALTH COS INC,TSE,TSE,EQUITY
C.BYL,BAYLIN TECHNOLOGIES INC,TSE,TSE,EQUITY
C.BTE,BAYTEX ENERGY CORP,TSE,TSE,EQUITY
