symbol,description,exchange,listedMarket,securityType
C.TXBB.X,S&P TSX COMPOSITE BUYBACK INDEX,TSE,TSE,INDEX
C.STNC.X,S&P TSX NORTH AMERICAN PREF STOCK PR CAD,TSE,TSE,INDEX
C.STNU.X,S&P TSX NORTH AMERICAN PREF STOCK PR USD,TSE,TSE,INDEX
C.TX6C.X,S&P/TSX 60 CAPPED INDEX,TSE,TSE,INDEX
C.TXBA.X,S&P/TSX 60 COMPOSITE INDEX BANKS,TSE,TSE,INDEX
C.TXEW.X,S&P/TSX 60 EQUAL WEIGHT INDEX,TSE,TSE,INDEX
C.TSXE.X,S&P/TSX 60 ESG INDEX,TSE,TSE,INDEX
C.TX60.X,S&P/TSX 60 INDEX,TSE,TSE,INDEX
C.TXSI.X,S&P/TSX 60 SHARIAH INDEX,TSE,TSE,INDEX
C.TXDV.X,S&P/TSX CANADIAN DIVIDEND ARISTOCRATS,TSE,TSE,INDEX
C.TX40.X,S&P/TSX CANADIAN MIDCAP INDEX,TSE,TSE,INDEX
C.TX20.X,S&P/TSX CANADIAN SMALLCAP INDEX,TSE,TSE,INDEX
C.T00C.X,S&P/TSX CAPPED COMPOSITE,TSE,TSE,INDEX
C.TTCD.X,S&P/TSX CAPPED CONSUMER DISCRETIONARY,TSE,TSE,INDEX
C.TTCS.X,S&P/TSX CAPPED CONSUMER STAPLES SECTOR,TSE,TSE,INDEX
C.TTEN.X,S&P/TSX CAPPED ENERGY SECTOR INDEX,TSE,TSE,INDEX
C.TTFS.X,S&P/TSX CAPPED FINANCIALS SECTOR INDEX,TSE,TSE,INDEX
C.TTHC.X,S&P/TSX CAPPED HEALTH CARE SECTOR INDEX,TSE,TSE,INDEX
C.RTCM.X,S&P/TSX CAPPED INCOME TRUST INDEX,TSE,TSE,INDEX
C.TTIN.X,S&P/TSX CAPPED INDUSTRIALS SECTOR INDEX,TSE,TSE,INDEX
C.TTTK.X,S&P/TSX CAPPED INFORMATION TECH SECTOR,TSE,TSE,INDEX
C.TTMT.X,S&P/TSX CAPPED MATERIALS SECTOR INDEX,TSE,TSE,INDEX
C.TTRE.X,S&P/TSX CAPPED REAL ESTATE SECTOR INDEX,TSE,TSE,INDEX
C.RTRE.X,S&P/TSX CAPPED REIT INDEX,TSE,TSE,INDEX
C.TTTS.X,S&P/TSX CAPPED TELECOMMUNICATIONS SRVCS,TSE,TSE,INDEX
C.TTUT.X,S&P/TSX CAPPED UTILITIES INDEX,TSE,TSE,INDEX
C.TXCT.X,S&P/TSX CLEAN TECHNOLOGY INDEX,TSE,TSE,INDEX
C.TXDC.X,S&P/TSX COMPOSITE DIVIDEND INDEX,TSE,TSE,INDEX
C.TXSG.X,S&P/TSX COMPOSITE ESG INDEX,TSE,TSE,INDEX
C.TXHB.X,S&P/TSX COMPOSITE HIGH BETA INDEX,TSE,TSE,INDEX
C.TXEI.X,S&P/TSX COMPOSITE HIGH DIVIDEND INDEX,TSE,TSE,INDEX
C.T0000.X,S&P/TSX COMPOSITE INDEX,TSE,TSE,INDEX
C.TXLV.X,S&P/TSX COMPOSITE LOW VOLATILITY INDEX,TSE,TSE,INDEX
C.TXCE.X,S&P/TSX COMPOSITE WEIGHT INDEX,TSE,TSE,INDEX
C.TXDE.X,S&P/TSX EQUAL WEIGHT DIVERS BANKS,TSE,TSE,INDEX
C.TXBE.X,S&P/TSX EQUAL WEIGHT GLB BASE METAL,TSE,TSE,INDEX
C.TXGE.X,S&P/TSX EQUAL WEIGHT GLOBAL GOLD INDEX,TSE,TSE,INDEX
C.TXIE.X,S&P/TSX EQUAL WEIGHT INDUSTRIALS INDEX,TSE,TSE,INDEX
C.TXOE.X,S&P/TSX EQUAL WEIGHT OIL GAS,TSE,TSE,INDEX
C.TXBM.X,S&P/TSX GLB BASE METAL,TSE,TSE,INDEX
C.TTGD.X,S&P/TSX GLOBAL GOLD INDEX,TSE,TSE,INDEX
C.TXGM.X,S&P/TSX GLOBAL MINING INDEX,TSE,TSE,INDEX
C.TXHE.X,S&P/TSX HIGH INCOME ENERGY INDEX,TSE,TSE,INDEX
C.TXHU.X,S&P/TSX HIGH INCOME ENERGY INDEX,TSE,TSE,INDEX
C.TXPR.X,S&P/TSX PREFERRED SHARE INDEX,TSE,TSE,INDEX
C.JX.X,S&P/TSX VENTURE COMPOSITE INDEX,TSE,TSE,INDEX
