symbol,description,exchange,listedMarket,securityType
UW_BF_BEGSTK.US,BEEF BEGINNING STOCKS MILLION LBS UNITED STATES,WASDE,WASDE,GENERICRPT
MW_BF_BEGSTK.US.23,BEEF BEGINNING STOCKS MILLION LBS UNITED STATES 2023,WASDE,WASDE,GENERICRPT
MW_BF_BEGSTK.US.24,BEEF BEGINNING STOCKS MILLION LBS UNITED STATES 2024,WASDE,WASDE,GENERICRPT
MW_BF_BEGSTK.US.25,BEEF BEGINNING STOCKS MILLION LBS UNITED STATES 2025,WASDE,WASDE,GENERICRPT
MW_BF_BEGSTK.US.26,BEEF BEGINNING STOCKS MILLION LBS UNITED STATES 2026,WASDE,WASDE,GENERICRPT
PW_BF_BEGSTK.US,BEEF BEGINNING STOCKS MILLION LBS UNITED STATES PRIOR YEAR,WASDE,WASDE,GENERICRPT
MW_BF_BEGSTK.US.22,BEEF BEGINNING STOCKS MILLION POUNDS UNITED STATES 2022,WASDE,WASDE,GENERICRPT
UW_BF_ENDSTK.US,BEEF ENDING STOCKS MILLION LBS UNITED STATES,WASDE,WASDE,GENERICRPT
MW_BF_ENDSTK.US.23,BEEF ENDING STOCKS MILLION LBS UNITED STATES 2023,WASDE,WASDE,GENERICRPT
MW_BF_ENDSTK.US.24,BEEF ENDING STOCKS MILLION LBS UNITED STATES 2024,WASDE,WASDE,GENERICRPT
MW_BF_ENDSTK.US.25,BEEF ENDING STOCKS MILLION LBS UNITED STATES 2025,WASDE,WASDE,GENERICRPT
MW_BF_ENDSTK.US.26,BEEF ENDING STOCKS MILLION LBS UNITED STATES 2026,WASDE,WASDE,GENERICRPT
PW_BF_ENDSTK.US,BEEF ENDING STOCKS MILLION LBS UNITED STATES PRIOR YEAR,WASDE,WASDE,GENERICRPT
MW_BF_ENDSTK.US.22,BEEF ENDING STOCKS MILLION POUNDS UNITED STATES 2022,WASDE,WASDE,GENERICRPT
UW_BF_EXPORT.US,BEEF EXPORTS MILLION LBS UNITED STATES,WASDE,WASDE,GENERICRPT
MW_BF_EXPORT.US.23,BEEF EXPORTS MILLION LBS UNITED STATES 2023,WASDE,WASDE,GENERICRPT
MW_BF_EXPORT.US.24,BEEF EXPORTS MILLION LBS UNITED STATES 2024,WASDE,WASDE,GENERICRPT
MW_BF_EXPORT.US.25,BEEF EXPORTS MILLION LBS UNITED STATES 2025,WASDE,WASDE,GENERICRPT
MW_BF_EXPORT.US.26,BEEF EXPORTS MILLION LBS UNITED STATES 2026,WASDE,WASDE,GENERICRPT
PW_BF_EXPORT.US,BEEF EXPORTS MILLION LBS UNITED STATES PRIOR YEAR,WASDE,WASDE,GENERICRPT
MW_BF_EXPORT.US.22,BEEF EXPORTS MILLION POUNDS UNITED STATES 2022,WASDE,WASDE,GENERICRPT
UW_BF_IMPORT.US,BEEF IMPORTS MILLION LBS UNITED STATES,WASDE,WASDE,GENERICRPT
MW_BF_IMPORT.US.23,BEEF IMPORTS MILLION LBS UNITED STATES 2023,WASDE,WASDE,GENERICRPT
MW_BF_IMPORT.US.24,BEEF IMPORTS MILLION LBS UNITED STATES 2024,WASDE,WASDE,GENERICRPT
MW_BF_IMPORT.US.25,BEEF IMPORTS MILLION LBS UNITED STATES 2025,WASDE,WASDE,GENERICRPT
MW_BF_IMPORT.US.26,BEEF IMPORTS MILLION LBS UNITED STATES 2026,WASDE,WASDE,GENERICRPT
PW_BF_IMPORT.US,BEEF IMPORTS MILLION LBS UNITED STATES PRIOR YEAR,WASDE,WASDE,GENERICRPT
MW_BF_IMPORT.US.22,BEEF IMPORTS MILLION POUNDS UNITED STATES 2022,WASDE,WASDE,GENERICRPT
UW_BF_PERCAP.US,BEEF PER CAPITA MILLION LBS UNITED STATES,WASDE,WASDE,GENERICRPT
MW_BF_PERCAP.US.23,BEEF PER CAPITA MILLION LBS UNITED STATES 2023,WASDE,WASDE,GENERICRPT
MW_BF_PERCAP.US.24,BEEF PER CAPITA MILLION LBS UNITED STATES 2024,WASDE,WASDE,GENERICRPT
MW_BF_PERCAP.US.25,BEEF PER CAPITA MILLION LBS UNITED STATES 2025,WASDE,WASDE,GENERICRPT
MW_BF_PERCAP.US.26,BEEF PER CAPITA MILLION LBS UNITED STATES 2026,WASDE,WASDE,GENERICRPT
PW_BF_PERCAP.US,BEEF PER CAPITA MILLION LBS UNITED STATES PRIOR YEAR,WASDE,WASDE,GENERICRPT
MW_BF_PERCAP.US.22,BEEF PER CAPITA MILLION POUNDS UNITED STATES 2022,WASDE,WASDE,GENERICRPT
UW_BF_PRODCT.US,BEEF PRODUCTION MILLION LBS UNITED STATES,WASDE,WASDE,GENERICRPT
MW_BF_PRODCT.US.23,BEEF PRODUCTION MILLION LBS UNITED STATES 2023,WASDE,WASDE,GENERICRPT
MW_BF_PRODCT.US.24,BEEF PRODUCTION MILLION LBS UNITED STATES 2024,WASDE,WASDE,GENERICRPT
MW_BF_PRODCT.US.25,BEEF PRODUCTION MILLION LBS UNITED STATES 2025,WASDE,WASDE,GENERICRPT
MW_BF_PRODCT.US.26,BEEF PRODUCTION MILLION LBS UNITED STATES 2026,WASDE,WASDE,GENERICRPT
PW_BF_PRODCT.US,BEEF PRODUCTION MILLION LBS UNITED STATES PRIOR YEAR,WASDE,WASDE,GENERICRPT
