symbol,description,exchange,listedMarket,securityType
ZCF.OI.Z,COTTON NO. 1 Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZCF.VOL.Z,COTTON NO. 1 Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZFG.OI.Z,FLAT GLASS Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZFG.VOL.Z,FLAT GLASS Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZJR.OI.Z,JAPONICA RICE Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZJR.VOL.Z,JAPONICA RICE Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZLR.OI.Z,LATE INDICA RICE Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZLR.VOL.Z,LATE INDICA RICE Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZMA.OI.Z,METHANOL Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZMA.VOL.Z,METHANOL Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZOI.OI.Z,RAPESEED OIL Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZOI.VOL.Z,RAPESEED OIL Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZPM.OI.Z,COMMON WHEAT Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZPM.VOL.Z,COMMON WHEAT Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZRI.OI.Z,EARLY RICE Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZRI.VOL.Z,EARLY RICE Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZRM.OI.Z,RAPESEED MEAL Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZRM.VOL.Z,RAPESEED MEAL Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZRS.OI.Z,RAPESEED Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZRS.VOL.Z,RAPESEED Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZSF.OI.Z,FERROSILICON Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZSF.VOL.Z,FERROSILICON Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZSM.OI.Z,MANGANESE SILICON Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZSM.VOL.Z,MANGANESE SILICON Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZSR.OI.Z,WHITE SUGAR Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZSR.VOL.Z,WHITE SUGAR Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZTA.OI.Z,PURE TEREPHTHALIC ACID Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZTA.VOL.Z,PURE TEREPHTHALIC ACID Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZWH.OI.Z,STRONG GLUTEN WHEAT Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZWH.VOL.Z,STRONG GLUTEN WHEAT Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
ZZC.OI.Z,THERMAL COAL Future Total Open Interest,ZCE,ZCE,COMBINED_FUTURE
ZZC.VOL.Z,THERMAL COAL Future Total Volume,ZCE,ZCE,COMBINED_FUTURE
