symbol,description,exchange,listedMarket,securityType
ZCF#C,COTTON NO. 1 Continuous Backadjusted,ZCE,ZCE,FUTURE
ZCF#,COTTON NO. 1 Continuous,ZCE,ZCE,FUTURE
ZCFU25,COTTON NO. 1 September 2025,ZCE,ZCE,FUTURE
ZCFX25,COTTON NO. 1 November 2025,ZCE,ZCE,FUTURE
ZCFF26,COTTON NO. 1 January 2026,ZCE,ZCE,FUTURE
ZCFH26,COTTON NO. 1 March 2026,ZCE,ZCE,FUTURE
ZCFK26,COTTON NO. 1 May 2026,ZCE,ZCE,FUTURE
ZCFN26,COTTON NO. 1 July 2026,ZCE,ZCE,FUTURE
ZFG#C,FLAT GLASS Continuous Backadjusted,ZCE,ZCE,FUTURE
ZFG#,FLAT GLASS Continuous,ZCE,ZCE,FUTURE
ZFGQ25,FLAT GLASS August 2025,ZCE,ZCE,FUTURE
ZFGU25,FLAT GLASS September 2025,ZCE,ZCE,FUTURE
ZFGV25,FLAT GLASS October 2025,ZCE,ZCE,FUTURE
ZFGX25,FLAT GLASS November 2025,ZCE,ZCE,FUTURE
ZFGZ25,FLAT GLASS December 2025,ZCE,ZCE,FUTURE
ZFGF26,FLAT GLASS January 2026,ZCE,ZCE,FUTURE
ZFGG26,FLAT GLASS February 2026,ZCE,ZCE,FUTURE
ZFGH26,FLAT GLASS March 2026,ZCE,ZCE,FUTURE
ZFGJ26,FLAT GLASS April 2026,ZCE,ZCE,FUTURE
ZFGK26,FLAT GLASS May 2026,ZCE,ZCE,FUTURE
ZFGM26,FLAT GLASS June 2026,ZCE,ZCE,FUTURE
ZFGN26,FLAT GLASS July 2026,ZCE,ZCE,FUTURE
ZJR#C,JAPONICA RICE Continuous Backadjusted,ZCE,ZCE,FUTURE
ZJR#,JAPONICA RICE Continuous,ZCE,ZCE,FUTURE
ZJRU25,JAPONICA RICE September 2025,ZCE,ZCE,FUTURE
ZJRX25,JAPONICA RICE November 2025,ZCE,ZCE,FUTURE
ZJRF26,JAPONICA RICE January 2026,ZCE,ZCE,FUTURE
ZJRH26,JAPONICA RICE March 2026,ZCE,ZCE,FUTURE
ZJRK26,JAPONICA RICE May 2026,ZCE,ZCE,FUTURE
ZJRN26,JAPONICA RICE July 2026,ZCE,ZCE,FUTURE
ZLR#C,LATE INDICA RICE Continuous Backadjusted,ZCE,ZCE,FUTURE
ZLR#,LATE INDICA RICE Continuous,ZCE,ZCE,FUTURE
ZLRU25,LATE INDICA RICE September 2025,ZCE,ZCE,FUTURE
ZLRX25,LATE INDICA RICE November 2025,ZCE,ZCE,FUTURE
ZLRF26,LATE INDICA RICE January 2026,ZCE,ZCE,FUTURE
ZMA#C,METHANOL Continuous Backadjusted,ZCE,ZCE,FUTURE
ZMA#,METHANOL Continuous,ZCE,ZCE,FUTURE
ZMAQ25,METHANOL August 2025,ZCE,ZCE,FUTURE
ZMAU25,METHANOL September 2025,ZCE,ZCE,FUTURE
ZMAV25,METHANOL October 2025,ZCE,ZCE,FUTURE
ZMAX25,METHANOL November 2025,ZCE,ZCE,FUTURE
ZMAZ25,METHANOL December 2025,ZCE,ZCE,FUTURE
ZMAF26,METHANOL January 2026,ZCE,ZCE,FUTURE
ZMAG26,METHANOL February 2026,ZCE,ZCE,FUTURE
ZMAH26,METHANOL March 2026,ZCE,ZCE,FUTURE
ZMAJ26,METHANOL April 2026,ZCE,ZCE,FUTURE
ZMAK26,METHANOL May 2026,ZCE,ZCE,FUTURE
ZMAM26,METHANOL June 2026,ZCE,ZCE,FUTURE
ZMAN26,METHANOL July 2026,ZCE,ZCE,FUTURE
ZOI#C,RAPESEED OIL Continuous Backadjusted,ZCE,ZCE,FUTURE
ZOI#,RAPESEED OIL Continuous,ZCE,ZCE,FUTURE
ZOIU25,RAPESEED OIL September 2025,ZCE,ZCE,FUTURE
ZOIX25,RAPESEED OIL November 2025,ZCE,ZCE,FUTURE
ZOIF26,RAPESEED OIL January 2026,ZCE,ZCE,FUTURE
ZOIH26,RAPESEED OIL March 2026,ZCE,ZCE,FUTURE
ZOIK26,RAPESEED OIL May 2026,ZCE,ZCE,FUTURE
ZOIN26,RAPESEED OIL July 2026,ZCE,ZCE,FUTURE
ZPM#C,COMMON WHEAT Continuous Backadjusted,ZCE,ZCE,FUTURE
ZPM#,COMMON WHEAT Continuous,ZCE,ZCE,FUTURE
ZPMU25,COMMON WHEAT September 2025,ZCE,ZCE,FUTURE
ZPMX25,COMMON WHEAT November 2025,ZCE,ZCE,FUTURE
ZPMF26,COMMON WHEAT January 2026,ZCE,ZCE,FUTURE
ZPMH26,COMMON WHEAT March 2026,ZCE,ZCE,FUTURE
ZPMK26,COMMON WHEAT May 2026,ZCE,ZCE,FUTURE
ZPMN26,COMMON WHEAT July 2026,ZCE,ZCE,FUTURE
ZRI#C,EARLY RICE Continuous Backadjusted,ZCE,ZCE,FUTURE
ZRI#,EARLY RICE Continuous,ZCE,ZCE,FUTURE
ZRIU25,EARLY RICE September 2025,ZCE,ZCE,FUTURE
ZRIX25,EARLY RICE November 2025,ZCE,ZCE,FUTURE
ZRIF26,EARLY RICE January 2026,ZCE,ZCE,FUTURE
ZRIH26,EARLY RICE March 2026,ZCE,ZCE,FUTURE
ZRIK26,EARLY RICE May 2026,ZCE,ZCE,FUTURE
ZRIN26,EARLY RICE July 2026,ZCE,ZCE,FUTURE
ZRM#C,RAPESEED MEAL Continuous Backadjusted,ZCE,ZCE,FUTURE
ZRM#,RAPESEED MEAL Continuous,ZCE,ZCE,FUTURE
ZRMQ25,RAPESEED MEAL August 2025,ZCE,ZCE,FUTURE
ZRMU25,RAPESEED MEAL September 2025,ZCE,ZCE,FUTURE
ZRMX25,RAPESEED MEAL November 2025,ZCE,ZCE,FUTURE
ZRMF26,RAPESEED MEAL January 2026,ZCE,ZCE,FUTURE
ZRMH26,RAPESEED MEAL March 2026,ZCE,ZCE,FUTURE
ZRMK26,RAPESEED MEAL May 2026,ZCE,ZCE,FUTURE
ZRMN26,RAPESEED MEAL July 2026,ZCE,ZCE,FUTURE
ZRS#C,RAPESEED Continuous Backadjusted,ZCE,ZCE,FUTURE
ZRS#,RAPESEED Continuous,ZCE,ZCE,FUTURE
ZRSQ25,RAPESEED August 2025,ZCE,ZCE,FUTURE
ZRSU25,RAPESEED September 2025,ZCE,ZCE,FUTURE
ZRSX25,RAPESEED November 2025,ZCE,ZCE,FUTURE
ZRSN26,RAPESEED July 2026,ZCE,ZCE,FUTURE
ZSF#C,FERROSILICON Continuous Backadjusted,ZCE,ZCE,FUTURE
ZSF#,FERROSILICON Continuous,ZCE,ZCE,FUTURE
ZSFQ25,FERROSILICON August 2025,ZCE,ZCE,FUTURE
ZSFU25,FERROSILICON September 2025,ZCE,ZCE,FUTURE
ZSFV25,FERROSILICON October 2025,ZCE,ZCE,FUTURE
ZSFX25,FERROSILICON November 2025,ZCE,ZCE,FUTURE
ZSFZ25,FERROSILICON December 2025,ZCE,ZCE,FUTURE
ZSFF26,FERROSILICON January 2026,ZCE,ZCE,FUTURE
ZSFG26,FERROSILICON February 2026,ZCE,ZCE,FUTURE
ZSFH26,FERROSILICON March 2026,ZCE,ZCE,FUTURE
ZSFJ26,FERROSILICON April 2026,ZCE,ZCE,FUTURE
ZSFK26,FERROSILICON May 2026,ZCE,ZCE,FUTURE
ZSFM26,FERROSILICON June 2026,ZCE,ZCE,FUTURE
ZSFN26,FERROSILICON July 2026,ZCE,ZCE,FUTURE
ZSM#C,MANGANESE SILICON Continuous Backadjusted,ZCE,ZCE,FUTURE
ZSM#,MANGANESE SILICON Continuous,ZCE,ZCE,FUTURE
ZSMQ25,MANGANESE SILICON August 2025,ZCE,ZCE,FUTURE
ZSMU25,MANGANESE SILICON September 2025,ZCE,ZCE,FUTURE
ZSMV25,MANGANESE SILICON October 2025,ZCE,ZCE,FUTURE
ZSMX25,MANGANESE SILICON November 2025,ZCE,ZCE,FUTURE
ZSMZ25,MANGANESE SILICON December 2025,ZCE,ZCE,FUTURE
ZSMF26,MANGANESE SILICON January 2026,ZCE,ZCE,FUTURE
ZSMG26,MANGANESE SILICON February 2026,ZCE,ZCE,FUTURE
ZSMH26,MANGANESE SILICON March 2026,ZCE,ZCE,FUTURE
ZSMJ26,MANGANESE SILICON April 2026,ZCE,ZCE,FUTURE
ZSMK26,MANGANESE SILICON May 2026,ZCE,ZCE,FUTURE
ZSMM26,MANGANESE SILICON June 2026,ZCE,ZCE,FUTURE
ZSMN26,MANGANESE SILICON July 2026,ZCE,ZCE,FUTURE
ZSR#C,WHITE SUGAR Continuous Backadjusted,ZCE,ZCE,FUTURE
ZSR#,WHITE SUGAR Continuous,ZCE,ZCE,FUTURE
ZSRU25,WHITE SUGAR September 2025,ZCE,ZCE,FUTURE
ZSRX25,WHITE SUGAR November 2025,ZCE,ZCE,FUTURE
ZSRF26,WHITE SUGAR January 2026,ZCE,ZCE,FUTURE
ZSRH26,WHITE SUGAR March 2026,ZCE,ZCE,FUTURE
ZSRK26,WHITE SUGAR May 2026,ZCE,ZCE,FUTURE
ZSRN26,WHITE SUGAR July 2026,ZCE,ZCE,FUTURE
ZTA#C,PURE TEREPHTHALIC ACID Continuous Backadjusted,ZCE,ZCE,FUTURE
ZTA#,PURE TEREPHTHALIC ACID Continuous,ZCE,ZCE,FUTURE
ZTAQ25,PURE TEREPHTHALIC ACID August 2025,ZCE,ZCE,FUTURE
ZTAU25,PURE TEREPHTHALIC ACID September 2025,ZCE,ZCE,FUTURE
ZTAV25,PURE TEREPHTHALIC ACID October 2025,ZCE,ZCE,FUTURE
ZTAX25,PURE TEREPHTHALIC ACID November 2025,ZCE,ZCE,FUTURE
ZTAZ25,PURE TEREPHTHALIC ACID December 2025,ZCE,ZCE,FUTURE
ZTAF26,PURE TEREPHTHALIC ACID January 2026,ZCE,ZCE,FUTURE
ZTAG26,PURE TEREPHTHALIC ACID February 2026,ZCE,ZCE,FUTURE
ZTAH26,PURE TEREPHTHALIC ACID March 2026,ZCE,ZCE,FUTURE
ZTAJ26,PURE TEREPHTHALIC ACID April 2026,ZCE,ZCE,FUTURE
ZTAK26,PURE TEREPHTHALIC ACID May 2026,ZCE,ZCE,FUTURE
ZTAM26,PURE TEREPHTHALIC ACID June 2026,ZCE,ZCE,FUTURE
ZTAN26,PURE TEREPHTHALIC ACID July 2026,ZCE,ZCE,FUTURE
ZWH#C,STRONG GLUTEN WHEAT Continuous Backadjusted,ZCE,ZCE,FUTURE
ZWH#,STRONG GLUTEN WHEAT Continuous,ZCE,ZCE,FUTURE
ZWHU25,STRONG GLUTEN WHEAT September 2025,ZCE,ZCE,FUTURE
ZWHX25,STRONG GLUTEN WHEAT November 2025,ZCE,ZCE,FUTURE
ZWHF26,STRONG GLUTEN WHEAT January 2026,ZCE,ZCE,FUTURE
ZWHH26,STRONG GLUTEN WHEAT March 2026,ZCE,ZCE,FUTURE
ZWHK26,STRONG GLUTEN WHEAT May 2026,ZCE,ZCE,FUTURE
ZWHN26,STRONG GLUTEN WHEAT July 2026,ZCE,ZCE,FUTURE
ZZC#C,THERMAL COAL Continuous Backadjusted,ZCE,ZCE,FUTURE
ZZC#,THERMAL COAL Continuous,ZCE,ZCE,FUTURE
ZZCQ25,THERMAL COAL August 2025,ZCE,ZCE,FUTURE
ZZCU25,THERMAL COAL September 2025,ZCE,ZCE,FUTURE
ZZCV25,THERMAL COAL October 2025,ZCE,ZCE,FUTURE
ZZCX25,THERMAL COAL November 2025,ZCE,ZCE,FUTURE
ZZCZ25,THERMAL COAL December 2025,ZCE,ZCE,FUTURE
ZZCF26,THERMAL COAL January 2026,ZCE,ZCE,FUTURE
ZZCG26,THERMAL COAL February 2026,ZCE,ZCE,FUTURE
ZZCH26,THERMAL COAL March 2026,ZCE,ZCE,FUTURE
ZZCJ26,THERMAL COAL April 2026,ZCE,ZCE,FUTURE
ZZCK26,THERMAL COAL May 2026,ZCE,ZCE,FUTURE
ZZCM26,THERMAL COAL June 2026,ZCE,ZCE,FUTURE
ZZCN26,THERMAL COAL July 2026,ZCE,ZCE,FUTURE
